
"Actions", "Darbības"
"An error occurred while marking notification as read.", "Kļūda marķējumu paziņojumu par lasīt."
"An error occurred while marking the messages as read.", "Kļūda atzīmējot ziņojumus kā lasīt."
"An error occurred while removing messages.", "Kļūda noņemot ziņojumus."
"An error occurred while removing the message.", "Kļūda noņemot ziņu."
"Are you sure?", "Vai esat pārliecināts?"
"Date Added", "Pievienots"
"Last Update", "Pēdējās izmaiņas"
"Mark as Read", "Atzīmēt kā izlasītu"
"Mark as read", "Atzīmēt kā lasītu"
"Message", "Ziņu"
"Messages Inbox", "Ziņas Inbox"
"Notifications", "Paziņojumi"
"Please select messages.", "Lūdzu, izvēlieties ziņas."
"Read Details", "Lasīt vairāk"
"Remove", "Noņemt"
"Severity", "Smagums"
"Show List", "Rādīt sarakstu"
"Show Toolbar", "Rādīt rīkjoslu"
"The message has been marked as read.", "Ziņojums ir atzīmēts kā lasīt."
"The message has been removed.", "Ziņa ir noņemta."
"Total of %d record(s) have been marked as read.", "Kopā% d ierakstu (-s), ir atzīmēti kā lasīt."
"Total of %d record(s) have been removed.", "Kopā% d ieraksta (-i) ir noņemts."
"Unable to proceed. Please, "Nevar turpināt. Lūdzu
"Update Frequency", "Atjaunināt Frequency"
"Use HTTPS to Get Feed", "Izmantojiet HTTPS Get Feed"
"Wrong message type", "Nepareizs ziņojuma veids"
"critical", "Kritiskā"
"major", "Liela"
"minor", "Nepilngadīgais"
"notice", "Paziņojums"
