
" The customer does not exist in the system anymore.", "Klients neeksistē sistēmā vairs."
" You will need to navigate to your ", "Jums būs nepieciešams, lai virzītos uz savu"
" [deleted]", "[Svītrots]"
" and ", "Un"
" and go to the ", "Un doties uz"
" sections for your Hosted Checkout Pages.", "Sadaļas Jūsu Hosted norēķinu lapās."
"%s (Default Template from Locale)", "%s (noklusējuma veidni no Locale)"
"%s cache type(s) disabled.", "%s kešatmiņa tips (-i) invalīdiem."
"%s cache type(s) enabled.", "%s kešatmiņa tips (-i) iespējots."
"%s cache type(s) refreshed.", "%s kešatmiņa tips (-i) atsvaidzināts."
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, "(Tipa" "Vietējais Servera" "vajag izmantot relatīvo ceļu uz Magento instalēt var / eksporta vai var / importa
"(For US 2-letter state names)", "(ASV 2 burtu valsts nosaukumiem)"
"(If left empty will be auto-generated)", "(Ja kreisā tukšs tiks automātiski ģenerē)"
"(Leave empty for first spreadsheet)", "(Atstāt tukšu par pirmo izklājlapu)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)", "(Produkti tiks pievienoti / atjaunināt uz šo veikalu, ja 'veikala' kolonna ir tukša vai trūkst importa failā.)"
"(Shift-)Click or drag to change value", "(Shift-) Click vai velciet, lai mainītu vērtību"
"(Starting with)", "(Sākot ar)"
"(When 'No', "(Ja" Nē "
"(You have to increase php memory_limit before changing this value)", "(Jums ir palielināt php memory_limit pirms mainot šo vērtību)"
"(\t for tab)", "(\ T)"
"* - If indexing is in progress, "* - Ja indeksācija ir progress
"* Required Fields", "* Obligātie lauki"
"- Click on any of the time parts to increase it", "- Noklikšķiniet uz jebkuru no laika daļām, lai palielinātu to"
"- Hold mouse button on any of the above buttons for faster selection.", "- Turi nospiestu peles pogu uz jebkuru no augstāk minētajām pogām, lai paātrinātu izvēli."
"- Use the %s buttons to select month", "- Izmantojiet% s pogas, lai izvēlētos mēnesi"
"- Use the %s, "- Izmanto% s
"- or Shift-click to decrease it", "- Vai Shift-click, lai samazinātu to"
"- or click and drag for faster selection.", "- Vai noklikšķiniet un velciet, lai paātrinātu izvēli."
"-- Not Selected --", "- Nav Atlasīts -"
"-- Please Select --", "- Lūdzu izvēlieties -"
"-- Please Select Billing Agreement--", "- Lūdzu izvēlieties Norēķinu nolīgumu -"
"-- Please Select a Category --", "- Lūdzu izvēlieties kategoriju -"
"-- Please select --", "- Lūdzu, izvēlieties -"
"--Please Select--", "- Lūdzu izvēlieties -"
"1 Hour", "1 stunda"
"1. set up", "1. Izveidota"
"12 Hours", "12 Hours"
"12h AM/PM", "12h AM / PM"
"2 Hours", "2 Hours"
"2. customize", "2. Pielāgot"
"24 Hours", "24 Hours"
"24h", "24h"
"2YTD", "2YTD"
"6 Hours", "6 Hours"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>", "<h1 Class=""page-heading""> 404 kļūda </ h1> <p> Lapa nav atrasta. </ P>"
"<strong>%s</strong> requests access to your account", "<strong>%s </ strong> pieprasa piekļuvi jūsu kontam"
"<strong>Attention</strong>: Captcha is case sensitive.", "<strong> Uzmanību </ strong>:. Captcha ir reģistrjutīga"
"A user with the same user name or email aleady exists.", "Ar to pašu lietotāja vārdu vai e-pasta aleady lietotājam eksistē."
"API Key", "API atslēga"
"API Key Confirmation", "API atslēga apstiprināšana"
"ASCII", "ASCII"
"Abandoned Carts", "Abandoned ratiņi"
"About the calendar", "Par kalendāru"
"Access Denied", "Pieeja liegta"
"Access denied", "Pieeja liegta"
"Access denied.", "Pieeja liegta."
"Account Created in:", "Konta Izveidots:"
"Account Created on (%s):", "Konta Izveidots (% s):"
"Account Created on:", "Konta Izveidots:"
"Account Information", "Konta informācija"
"Account Status", "Konta statuss"
"Account status", "Konta statuss"
"Action", "Darbība"
"Actions", "Darbības"
"Actions XML", "Darbības XML"
"Active", "Aktīvs"
"Add", "Pievienot"
"Add Exception", "Pievienot izņēmums"
"Add Field Mapping", "Pievienot lauku kartēšana"
"Add Field with URL:", "Pievienot lauks ar URL:"
"Add New", "Pievienot jaunu"
"Add New Image", "Pievienot jaunu attēlu"
"Add New Profile", "Pievienot jaunu lietotāju"
"Add New Role", "Pievienot jaunu loma"
"Add New Template", "Pievienot jaunu veidni"
"Add New URL Rewrite", "Pievienot jaunu URL Rewrite"
"Add New User", "Pievienot jaunu lietotāju"
"Add New Variable", "Pievienot jaunu Mainīgais"
"Add Products", "Pievienot produktus"
"Add URL Rewrite", "Pievienot URL Rewrite"
"Add URL Rewrite for a Category", "Pievienot URL Rewrite kategorijai"
"Add URL Rewrite for a Product", "Pievienot URL Rewrite attiecībā uz produktu"
"Add after", "Pievienot pēc"
"Additional Cache Management", "Papildu Cache Management"
"Address Type:", "Adrese tips:"
"Admin", "Admin"
"Advanced Admin Section", "Advanced Admin sadaļa"
"Advanced Profiles", "Advanced Profili"
"Advanced Section", "Advanced sadaļa"
"After authorization application will have access to you account.", "Pēc atļaujas pieteikumu būs pieejami jums konta."
"All", "Visi"
"All Allowed Countries", "Visi Atļauts valstis"
"All Cache", "Visi Cache"
"All Files", "Visi faili"
"All Reviews", "Visi apskats"
"All Store Views", "Visi Store Skati"
"All Tags", "Visi Birkas"
"All Websites", "Visi vietnēs"
"All countries", "Visas valstis"
"All fields", "Visi lauki"
"All possible rates were fetched, "Visas iespējamās likmes tika piesaistīti
"All rates were fetched, "Visas cenas atnesa
"All valid rates have been saved.", "Visi derīgi cenas ir saglabātas."
"Always (during development)", "Vienmēr (izstrādes gaitā)"
"Amounts", "Summas"
"An error has occured while syncronizing media storages.", "Konstatēta kļūda syncronizing nesējiem."
"An error occurred while clearing the JavaScript/CSS cache.", "Kļūda mijieskaita JavaScript / CSS kešatmiņa."
"An error occurred while clearing the image cache.", "Kļūda attīrot attēlu kešatmiņu."
"An error occurred while deleting URL Rewrite.", "Kļūda dzēšot URL Rewrite."
"An error occurred while deleting email template data. Please review log and try again.", "Kļūda dzēšot e-pasta veidnes datus. Lūdzu pārskats piesakieties un mēģiniet vēlreiz."
"An error occurred while deleting record(s).", "Kļūda dzēšot ierakstu (-s)."
"An error occurred while deleting this role.", "Kļūda dzēšot šo lomu."
"An error occurred while deleting this set.", "Kļūda dzēšot šo komplektu."
"An error occurred while deleting this template.", "Kļūda dzēšot šo veidni."
"An error occurred while finishing process. Please refresh the cache", "Kļūda apdares process. Atsvaidziniet kešatmiņu"
"An error occurred while rebuilding the CatalogInventory Stock Status.", "Kļūda atjaunošanas CatalogInventory krājumu stāvokli."
"An error occurred while rebuilding the catalog index.", "Kļūda atjaunošanas katalogu indeksu."
"An error occurred while rebuilding the flat catalog category.", "Kļūda atjaunošanas dzīvoklis katalogu kategoriju."
"An error occurred while rebuilding the flat product catalog.", "Kļūda atjaunošanas dzīvoklis produktu katalogu."
"An error occurred while rebuilding the search index.", "Kļūda atjaunošanas meklēšanas indeksu."
"An error occurred while refreshing the Catalog Rewrites.", "Kļūda atsvaidzināt Katalogs Pārstrādātajos tekstos."
"An error occurred while refreshing the Layered Navigation indices.", "Kļūda atsvaidzinošu Layered navigācijas indeksus."
"An error occurred while refreshing the catalog rewrites.", "Kļūda atsvaidzināt katalogs pārraksta."
"An error occurred while refreshing the layered navigation indices.", "Kļūda atsvaidzinošu kārtains navigācijas indeksus."
"An error occurred while saving URL Rewrite.", "Kļūda saglabājot URL Rewrite."
"An error occurred while saving account.", "Kļūda saglabājot kontu."
"An error occurred while saving review.", "Kļūda saglabājot pārskatīšanu."
"An error occurred while saving the customer.", "Kļūda saglabājot klientam."
"An error occurred while saving this configuration:", "Kļūda saglabājot šo konfigurāciju:"
"An error occurred while saving this role.", "Kļūda saglabājot šo lomu."
"An error occurred while saving this template.", "Kļūda saglabājot šo veidni."
"An error occurred while updating the selected review(s).", "Kļūda atjaunināšana izvēlēto pārskatīšanu (s)."
"Any", "Jebkurš"
"Any Attribute Set", "Jebkura atribūtu kopu"
"Any Group", "Jebkura grupa"
"Any Status", "Jebkurš statuss"
"Any Store", "Jebkurš veikals"
"Any Type", "Jebkura tipa"
"Any Visibility", "Jebkurš Redzamība"
"Any data created since the backup was made will be lost including admin users, "Jebkuri dati, kas izveidoti kopš rezerves tika veikts tiks zaudēts arī admin lietotājiem
"Archive file name:", "Arhīva faila nosaukums:"
"Are you sure that you want to delete this template?", "Vai esat pārliecināts, ka vēlaties dzēst šo veidni?"
"Are you sure that you want to strip tags?", "Vai esat pārliecināts, ka jūs vēlaties, lai sloksnes tagus?"
"Are you sure you want to do this?", "Vai tiešām vēlaties to darīt?"
"Are you sure you want to proceed?", "Vai tiešām vēlaties turpināt?"
