
"Access denied.", "Pieeja liegta."
"Can not find webservice adapter.", "Nevar atrast webservice adapteri."
"Client Session Timeout (sec.)", "Klientu Sesijas Timeout (sek.)"
"Default Response Charset", "Noklusētā atbilde kodu tabula"
"Email", "E"
"Enable WSDL Cache", "Aktivizēt WSDL Cache"
"General Settings", "Vispārējie iestatījumi"
"Invalid webservice adapter specified.", "Nepareiza webservice adapteris norādīts."
"Invalid webservice handler specified.", "Nepareiza webservice norādīts apdarinātājs."
"Magento Core API", "Magento Core API"
"Magento Core API Section", "Magento Core API sadaļa"
"SOAP/XML-RPC - Roles", "Ziepes / XML-RPC - Lomas"
"SOAP/XML-RPC - Users", "Ziepes / XML-RPC - Lietotāji"
"Unable to login.", "Nevar pieteiktos."
"User Name", "Lietotāja vārds"
"WS-I Compliance", "WS-I atbilstība"
"Web Services", "Web Services"
"Your account has been deactivated.", "Jūsu konts ir deaktivizēts."
