
"%s", "%s"
"ACL Attribute Rules", "ACL Prasme noteikumi"
"ACL Attributes Information", "ACL Prasmes Information"
"Add", "Pievienot"
"Add Admin Role", "Pievienot administratora lomu"
"Add New Role", "Pievienot jaunu loma"
"Address Type", "Adrese Tips"
"Admin", "Admin"
"Allow", "Atļaut"
"An error occurred while deleting the role.", "Kļūda dzēšot lomu."
"An error occurred while saving attribute rules.", "Kļūda saglabājot atribūtika noteikumus."
"An error occurred while saving role.", "Kļūda saglabājot lomu."
"Api Rules Information", "Api Noteikumi informācija"
"Assigned", "Piešķirtie"
"Associate to Website", "Asociētais Website"
"Attribute Rules Information", "Prasme Noteikumi informācija"
"Attribute Set", "Atribūtu kopu"
"Attributes", "Atribūti"
"Automatically Return Credit Memo Item to Stock", "Automātiski Atgriešanās Credit Memo punkts, lai noliktava"
"Back", "Atpakaļ"
"Backorders", "Backorders"
"Base Currency", "Bāzes valūta"
"Base Customer Balance", "Bāzes Klientu Bilance"
"Base Discount", "Bāzes Atlaide"
"Base Discount Amount", "Bāze Atlaide Summa"
"Base Item Subtotal", "Bāze postenis Starpsumma"
"Base Item Subtotal Including Tax", "Bāzes postenis Starpsumma Ieskaitot nodokli"
"Base Original Price", "Bāzes Original Cena"
"Base Price", "Bāzes cena"
"Base Price Including Tax", "Bāzes cena, ieskaitot nodokli"
"Base Shipping", "Bāzes Shipping"
"Base Shipping Discount", "Bāze Piegāde Atlaide"
"Base Shipping Tax", "Bāze Piegāde nodokli"
"Base Subtotal", "Bāzes Starpsumma"
"Base Subtotal Including Tax", "Bāzes Starpsumma Ieskaitot nodokli"
"Base Tax Amount", "Nodokļa summa"
"Base Total Due", "Bāzes galīgais Due"
"Base Total Paid", "Bāze Kopējais apmaksātais"
"Base Total Refunded", "Bāzes galīgais Atmaksāts"
"Buy Now URL", "Nopērc URL"
"Can Be Divided into Multiple Boxes for Shipping", "Var iedalīt vairākās rūtiņās par Shipping"
"Canceled Qty", "Atcelts Daudz"
"Catalog", "Katalogs"
"Catalog Product", "Katalogs Produkts"
"CatalogInventory", "CatalogInventory"
"Category ID", "Kategorija ID"
"City", "Pilsēta"
"Company", "Kompānija"
"Country", "Valsts"
"Coupon Code", "Kupona kods"
"Create", "Izveidot"
"Create Permanent Redirect for old URL", "Izveidot pastāvīgā Novirzīt veco URL"
"Created From", "Izveidots No"
"Customer", "Klients"
"Customer Address", "Klientu Adrese"
"Customer Address ID", "Klientu Adrese ID"
"Customer Balance", "Klientu bilance"
"Customer First Name", "Klientu Vārds"
"Customer ID", "Klienta ID"
