
"Action", "Darbība"
"An error occurred while creating the backup.", "Kļūda veidojot rezerves."
"An error occurred while writing to the backup file ""%s"".", "Kļūda rakstot uz rezerves failu" "% s" "."
"Are you sure you want to delete the selected backup(s)?", "Vai tiešām vēlaties dzēst izvēlēto backup (s)?"
"Backup Type", "Backup Tips"
"Backup file ""%s"" cannot be read from or written to.", "Backup fails" "% s" "nevar lasīt no, vai rakstīts."
"Backup file ""%s"" does not exist.", "Backup fails" "% s" "neeksistē."
"Backup file does not exist.", "Backup fails neeksistē."
"Backup file handler was unspecified.", "Backup fails apdarinātājs bija nenoteikta."
"Backup file not found", "Backup fails nav atrasts"
"Backup file path was not specified.", "Backup fails ceļš nav norādīts."
"Backups", "Backups"
"Cannot read backup file.", "Nevar nolasīt backup failu."
"Create Backup", "Izveidot Backup"
"Database Backup", "Database Backup"
"Database and Media Backup", "Datubāzes un mediju Backup"
"Database was successfuly backed up.", "Datubāze tika successfuly jāatbalsta."
"Download", "Download"
"Enable Scheduled Backup", "Aktivizēt regulāro backup"
"Failed to connect to FTP", "Neizdevās pieslēgties FTP"
"Failed to delete one or several backups.", "Neizdevās dzēst vienu vai vairākus backups."
"Failed to rollback", "Neizdevās atritināt"
"Failed to validate FTP", "Neizdevās validēt FTP"
"Frequency", "Frequency"
"Invalid Password.", "Nepareiza parole."
"Maintenance Mode", "Uzturēšanas režīms"
"Name", "Nosaukums"
"Not enough free space to create backup.", "Nav pietiekami daudz brīvas vietas, lai izveidotu rezerves."
"Not enough permissions to create backup.", "Nav pietiekami atļaujas izveidot rezerves."
"Not enough permissions to perform rollback", "Nav pietiekami daudz atļauju, lai veiktu atritināt"
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the backup.""", "Lūdzu, vai nu atceliet" "Put veikalā par uzturēšanas režīmā" "rūtiņu vai atjaunināt savas atļaujas, lai turpinātu ar backup." ""
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the rollback.""", "Lūdzu, vai nu atceliet" "Put veikalā par uzturēšanas režīmā" "rūtiņu vai atjaunināt savas atļaujas, lai turpinātu atcelšanu." ""
"Put store on the maintenance mode while backup's creation", "Put veikalā par uzturēšanas režīmā kamēr rezerves radīšanu"
"Rollback", "Atcelšanu"
"Scheduled Backup Settings", "Plānotais Backup Settings"
"Size, "Size
"Start Time", "Start Time"
"System Backup", "System Backup"
"System couldn't put store on the maintenance mode", "Sistēma nevar likt veikalā uz uzturēšanas režīmā"
"The database and media backup has been created.", "Datubāze un mediju rezerves ir izveidots."
"The database backup has been created.", "Datubāze backup ir izveidots."
"The file was compressed with Zlib, "Fails tika saspiests ar zlib
"The selected backup(s) has been deleted.", "Izvēlētais rezerves (-iem) ir svītrots."
"The system (excluding Media) backup has been created.", "Sistēma (izņemot Media) rezerves ir izveidots."
"The system backup has been created.", "Sistēmas backup ir izveidota."
"Time", "Laiks"
"Type", "Tips"
"Unable to create backup. Please, "Nevar izveidot rezerves. Lūdzu
"Unable to save the cron expression.", "Nevar saglabāt cron izteiksme."
"Wrong order of creation for new backup.", "Nepareiza kārtībā radīšana jaunu rezerves."
"You do not have sufficient permissions to enable Maintenance Mode during this operation.", "Jums nav nepieciešamās atļaujas, lai apkopes Mode šīs darbības laikā."
