
"* Required Fields", "* Obligātie lauki"
"-- Select --", "- Izvēlēties -"
"Add New Option", "Pievienot jaunu Option"
"Add Selection", "Pievienot Selection"
"As Low as", "Tik zema kā"
"As low as", "Kā zema kā"
"Bundle Items", "Paka Items"
"Bundle Product", "Paka Produkts"
"Buy %1$s with %2$s discount each", "Buy% 1 ar 2% s $ $ s atlaidi katram"
"Catalog Product View (Bundle)", "Katalogs Produkts Skatīt (Paka)"
"Checkbox", "Atzīmēšanas kastīte"
"Choose a selection...", "Izvēlies izvēli ..."
"Close", "Aizvērt"
"Default", "Noklusējums"
"Default Qty", "Noklusētais Daudz"
"Default Title", "Noklusējuma Nosaukums"
"Drop-down", "Drop-down"
"Dynamic", "Dynamic"
"Excl. Tax", "Bez. Nodokli"
"Fixed", "Fixed"
"From", "No"
"From:", "No:"
"Gift Message", "Dāvanu Ziņu"
"Incl. Tax", "Iesk. Nodokli"
"Input Type", "Ieejas Tips"
"Is Required", "Ir nepieciešams"
"Message:", "Ziņa:"
"Multiple Select", "Vairāku Izvēlieties"
"N/A", "N / A"
"No options of this product are available.", "Nav šī produkta iespējas ir pieejamas."
"None", "Nav"
"Percent", "Procenti"
"Percent Discount", "Procentu atlaidi"
"Please Select Products to Add", "Lūdzu izvēlieties produkti iegūtu"
"Please enter search conditions to view products.", "Lūdzu ievadiet meklēšanas nosacījumus, lai apskatītu produktus."
"Please select options for product.", "Lūdzu, izvēlieties opcijas produktu."
"Please specify product option(s).", "Lūdzu, norādiet produkta variantu (s)."
"Position", "Pozīcija"
"Price Range", "Cenu diapazons"
"Price Type", "Cena Tips"
"Price as configured", "Cena par konfigurēta"
"Qty:", "Daudz:"
"Radio Buttons", "Radio pogas"
"Required options are not selected.", "Nepieciešamie iespējas nav izvēlēts."
"Selected required options are not available.", "Atlasīti nepieciešamās iespējas nav pieejamas."
"Separately", "Atsevišķi"
"Ship Bundle Items", "Kuģu Bundle Preces"
"Shipment", "Sūtījums"
"Store View Title", "Veikals skata virsraksts"
"There is no defined renderer for ""%s"" option type.", "Nav noteikta attēlotājs par" "% s" "opcija tips."
"This product is also part of bundle(s)", "Šis produkts ir arī daļa no saišķa (i)"
"To", "Lai"
"To:", "Kam:"
"Together", "Kopā"
"Use Default Value", "Lietot noklusēto vērtību"
"User Defined Qty", "Lietotāja definēts Daudz"
