
"%d Catalog Price Rules based on ""%s"" attribute have been disabled.", "% D Katalogs Cenu noteikumi, kas balstās uz" "% s" "atribūtu, ir atspējots."
"Actions", "Darbības"
"Active", "Aktīvs"
"Add New Rule", "Pievienot Jauna kārtula"
"An error occurred while deleting the rule. Please review the log and try again.", "Kļūda dzēšot noteikums Lūdzam pārskatīt žurnālu un mēģiniet vēlreiz.".
"An error occurred while saving the rule data. Please review the log and try again.", "Kļūda saglabājot noteikuma datus Lūdzu pārskatīt žurnālu un mēģiniet vēlreiz.".
"Apply", "Apply"
"Apply Rules", "Pielietot noteikumi"
"Attribute Set", "Atribūtu kopu"
"By Fixed Amount", "Ar Fiksēta summa"
"By Percentage of the Original Price", "Ar procentos no sākotnējā cena"
"Catalog", "Katalogs"
"Catalog Price Rule", "Katalogs Cenu likums"
"Catalog Price Rules", "Katalogs Cenu noteikumi"
"Category", "Kategorija"
"Conditions", "Apstākļi"
"Conditions (leave blank for all products)", "Apstākļi (atstājiet tukšu visiem produktiem)"
"Conditions Combination", "Apstākļi Kombinācija"
"Customer Groups", "Klientu Grupas"
"Date Expire", "Datums Expire"
"Date From", "Datums no"
"Date Start", "Datums Start"
"Date To", "Datums Lai"
"Description", "Apraksts"
"Discount Amount", "Atlaide Summa"
"Edit Rule", "Rediģēt kārtulu"
"Edit Rule '%s'", "Rediģēt kārtulu '% s'"
"Enable Discount to Subproducts", "Aktivizēt atlaide uz apakšprecēm"
"From Date", "No datums"
"General Information", "Vispārīga informācija"
"ID", "ID"
"Inactive", "Neaktīvs"
"New Rule", "Jauna kārtula"
"No", "Nē"
"Options", "Iespējas"
"Priority", "Prioritāte"
"Product Attribute", "Produktu Atribūtu"
"Promotions", "Akcijas"
"Rule Information", "Noteikums informācija"
"Rule Name", "Noteikums Vārds"
"Save and Apply", "Saglabāt un Apply"
"Save and Continue Edit", "Saglabāt un turpināt rediģēt"
"Status", "Statuss"
"Stop Further Rules Processing", "Stop turpmāki noteikumi apstrāde"
"The rule has been deleted.", "Noteikums ir svītrots."
"The rule has been saved.", "Noteikums ir saglabāts."
"The rules have been applied.", "Noteikumos ir piemēroti."
"There are rules that have been changed but were not applied. Please, "Ir noteikumi, kas ir mainījušies, bet netika piemēroti. Lūdzu
"This rule no longer exists.", "Šis noteikums vairs nepastāv."
"To Date", "Līdz šim"
"To Fixed Amount", "Lai Fiksēta summa"
"To Percentage of the Original Price", "Lai procentos no sākotnējā cena"
"Unable to apply rules.", "Nevar piemērot noteikumus."
"Unable to find a rule to delete.", "Nevar atrast normu dzēst."
"Update Prices Using the Following Information", "Update Cenas Izmantojot šādu informāciju"
"Update product's %s %s: %s", "Update Produkta% s% s:% s"
"Website", "Mājas"
"Websites", "Mājas"
"Wrong rule specified.", "Nepareizi norādīts noteikums."
"Yes", "Jā"
