
"%s and greater", "%s un lielāks"
"<strong>%d item(s)</strong> were found using the following search criteria", "<strong>% D prece (s) </ strong> tika atrastas, izmantojot šādus meklēšanas kritērijus"
"Advanced Search", "Izvērstā meklēšana"
"Advanced Search Form", "Izvērstā meklēšana forma"
"Advanced Search Result", "Izvērstā meklēšana Rezultāts"
"All", "Visi"
"Applies for ""Like"" search type only.", "Attiecas uz" "Like" "meklēšanas veidu."
"Apply Layered Navigation if Search Results are Less Than", "Piesakies Layered Navigation ja Meklēšanas rezultāti ir mazāk nekā"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.", "Prasme uzstādījums pārmaiņas saistītas ar meklēšanas indeksā. Lūdzu palaist <a href=""%s""> Rebuild Meklēt Saturs </ a> procesu."
"Autogenerated Site Map", "Izveidots automātiski Lapas karte"
"Catalog Advanced Search", "Katalogs Izvērstā meklēšana"
"Catalog Search", "Katalogs Meklēt"
"Catalog Search Index", "Katalogs Meklēt Saturs"
"Don't see what you're looking for?", "Vai nav redzēt, ko jūs meklējat?"
"Enter ""0"" to enable layered navigation for any number of results.", "Enter" "0" ", lai dotu kārtains navigāciju jebkura skaita rezultātu."
"Go", "Go"
"Go to Home Page", "Iet uz mājas lapu"
"Grid", "Grid"
"Home", "Mājas"
"List", "Saraksts"
"Maximum Query Length", "Maksimālais Vaicājums garums"
"Maximum Query Words Count", "Maksimālais Vaicājums Vārdi Count"
"Maximum Search query length is %s. Your query was cut.", "Maksimālais Meklēšanas vaicājums garums ir% s Jūsu vaicājums tika sagriezti.".
"Maximum words count is %1$s. In your search query was cut next part: %2$s.", "Maksimālais vārdi skaits ir% 1 $ s, ko meklēt tika sagriezti nākamo daļu:..% 2 $ s"
"Minimal Query Length", "Minimālā Vaicājums Garums"
"Minimum Search query length is %s", "Minimālais Meklēšanas vaicājums garums ir% s"
"Modify your search", "Mainīt meklēšanu"
"No", "Nē"
"No items were found using the following search criteria.", "Nav posteņi tika konstatēts, izmantojot šādus meklēšanas kritērijus."
"Please specify at least one search term.", "Lūdzu, norādiet vismaz vienu meklējamo vārdu."
"Popular Search Terms", "Popular Search Noteikumi"
"Quick Search Form", "Ātrā meklēšana forma"
"Rebuild Catalog product fulltext search index", "Rebuild katalogs Produktu pilna teksta meklēšanas indeksā"
"Relevance", "Atbilstība"
"Results", "Rezultāti"
"Search", "Meklēt"
"Search Settings", "Meklēšanas iestatījumi"
"Search Terms", "Meklēt noteikumi"
"Search Type", "Meklēšana Tips"
"Search entire store here...", "Meklēt viss veikals šeit ..."
"Search results for '%s'", "Meklēšanas rezultāti '% s'"
"Search results for: '%s'", "Meklēšanas rezultāti: '% s'"
"Search:", "Meklēt:"
"Specified date is invalid.", "Noteiktas datums ir nederīgs."
"Subscribe to Feed", "Abonēt Feed"
"There are no search terms available.", "Nav meklēšanas termini pieejami."
"Yes", "Jā"
"Your search returns no results.", "Meklētai frāze nav rezultātu."
"up to %s", "Līdz% s"
"FILTER SELECTION", "Filtru izvēle"
"Some of the products are currently out of stock.", "Daži no izvēlētajiem produktiem, pašlaik nav pieejami."
