
"%s was added to your shopping cart.", "%s tika pievienots jūsu iepirkumu grozā."
"%s was updated in your shopping cart.", "%s tika atjaunināts jūsu iepirkumu grozā."
"* Required Fields", "* Obligātie lauki"
"Add New Address", "Pievienot jaunu adresi"
"Add New Condition", "Pievienot jaunu stāvokli"
"Add coupon code for shopping cart", "Pievienot kupona kodu iepirkumu grozā"
"Add gift messages to shopping cart", "Pievienot dāvanu ziņojumus grozā"
"Add product to shopping cart", "Pievienot produktu iepirkumu grozā"
"Add product(s) to shopping cart", "Ielikt produktus grozā"
"Add to Cart", "Ielikt grozā"
"Add to Compare", "Salīdzināt"
"Add to Wishlist", "Pievienot vēlmju sarakstam"
"Additional Product Info", "Papildus informācija par produktu"
"Address", "Adrese"
"Address %s of %s", "Adrese% s% s"
"After Adding a Product Redirect to Shopping Cart", "Pēc preces pievienošanas doties uz grozu"
"Allow Guest Checkout", "Atļaut viesa pirkumu"
"Already registered?", "Jau reģistrēts?"
"An error occurred in the process of payment", "Radās kļūda pirkuma apstrādē"
"An error occurred while deleting this condition.", "Radās kļūda atceļot šo iespēju"
"An error occurred while saving this condition.", "Radās kļūda saglabājot šo iespēju."
"Apply Coupon", "Lietot kuponu"
"Are you sure you would like to remove this item from the shopping cart?", "Vai jūs tiešām vēlaties izņemt preci no groza?"
"Back", "Atpakaļ"
"Back to Billing Information", "Atpakaļ uz norēķinu informāciju"
"Back to Select Addresses", "Atpakaļ uz izvēlēto adresi"
"Back to Shipping Information", "Atpakaļ uz piegādes sadaļu"
"Back to Shopping Cart", "Atpakaļ uz grozu"
"Based on your selection", "Balstoties uz savu izvēli"
"Billing Address", "Norēķinu adrese"
"Billing Information", "Norēķinu informācija"
"Billing Information - %s", "Norēķinu informācija - %s"
"Cancel Coupon", "Atcelt Kupona"
"Cannot add item to the shopping cart.", "Nevar pievienot objektu iepirkumu grozam."
"Cannot add the item to shopping cart", "Nevar pievienot objektu grozam"
"Cannot add the item to shopping cart.", "Nevar pievienot objektu iepirkumu grozā."
"Cannot apply the coupon code.", "Nevar piemērot šo kupona kodu."
"Cannot configure product.", "Nevar izmainīt šo produktu."
"Cannot open the overview page", "Nevar atvērt pārskata lapu"
"Cannot process the item.", "Nevar apstrādāt objektu."
"Cannot remove the item.", "Nevar izņemt objektu."
"Cannot update shopping cart.", "Nevar atjaunināt iepirkumu grozu."
"Cannot update the item.", "Nevar atjaunināt objektu."
"Card Verification Number Visual Reference", "Kartes autorizācijas paraksts"
"Cart Product API", "Pirkumu produktu API"
"Cart Subtotal:", "Pirkumu starpsumma:"
"Change", "Mainīt"
"Change Billing Address", "Mainīt norēķinu adresi"
"Checkbox Text", "Checkbox Teksts"
"Checkout", "Izrakstīšanās"
"Checkout Conditions", "Apmaksas nosacījumi"
"Checkout Method", "Apmaksas veids"
"Checkout Options", "Apmaksas varianti"
"Checkout Progress Wrapper", "Pirkuma noformēšana"
"Checkout Section", "Pirkšanas sadaļa"
"Checkout Terms and Conditions", "Pirkuma nosacījumi"
"Checkout as Guest", "Noformēt kā viesim"
"Checkout as a Guest or Register", "Noformēt kā viesis, vai reģistrēties"
"Checkout with Multiple Addresses", "Noformēt ar vairākām adresēm"
"City", "Pilsēta"
"Clear Shopping Cart", "Iztukšot grozu"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.", "Spiedied <a href=""%s"" onclick=""this.target='_blank'""> šeit </a>, lai izdrukātu pasūtijuma kopiju."
"Click <a href=""%s"">here</a> to continue shopping.", "Spiediet <a href=""%s""> šeit </a>, lai turpinātu iepirkšanos."
"Close", "Aizvērt"
"Company", "Kompānija"
"Condition Name", "Stāvoklis"
"Configurable Product Image", "Konfigurējams produkta attēls"
"Configure Cart Item", "Mainīt preces grozā"
"Confirm Password", "Apstiprināt paroli"
"Content", "Saturs"
"Content Height", "Satura augstums"
"Content Height (css)", "Satura augstums (CSS)"
"Continue", "Turpināt"
"Continue Shopping", "Turpināt iepirkšanos"
"Continue to Billing Information", "Turpināt uz norēķinu informāciju"
"Continue to Review Your Order", "Turpināt pārskatīt pasūtījumu"
"Continue to Shipping Information", "Turpināt uz piegādes adresi"
"Country", "Valsts"
"Coupon code ""%s"" is not valid.", "Kupona kods" "%s" "nav derīgs."
"Coupon code ""%s"" was applied.", "Kupona kods" "%s" "tika piemērota."
"Coupon code was canceled.", "Kupona kods tika atcelts."
"Create Billing Address", "Izveidot norēķinu adresi"
"Create Shipping Address", "Izveidot piegādes adresi"
"Create an order from shopping cart", "Izveidot pasūtījumu no groza"
"Create shopping cart", "Izveidot iepirkumu grozu"
"Customer Address is not valid.", "Klients adrese nav derīga."
"Customer Information", "Klientu informācija"
"Customer's information", "Klienta informācija"
"Data saving problem", "Datu saglabāšanas problēma"
"Default Billing", "Noklusētais norēķins"
"Default Shipping", "Noklusētā piegāde"
"Delete Condition", "Dzēst nosacijumu"
"Details", "Parametri"
"Disabled", "Neaktīvs"
"Discount Codes", "Atlaižu kodi"
"Display Cart Summary", "Parādīt grozu kopumā"
"Display Shopping Cart Sidebar", "Parādīt grozu sānmalā"
"Display item quantities", "Parādīt preču daudzumu"
