
"Collected Files Count", "Iekasētā Faili Count"
"Compilation", "Apkopošana"
"Compilation State", "Apkopošana valsts"
"Compilation error", "Apkopošana kļūda"
"Compiled", "Sastādītāja"
"Compiled Scopes Count", "Sastādītāja sfēras skaits"
"Compiler Status", "Sastādītājs statuss"
"Compiler include path is disabled.", "Sastādītājs ietver ceļš ir izslēgta."
"Compiler include path is enabled.", "Sastādītājs ietver ceļš ir aktivizēts."
"Directory ""%s"" must be writeable", "Katalogs" "% s" "jābūt rakstāms"
"Disable", "Izslēgt"
"Disabled", "Disabled"
"Enable", "Aktivizēt"
"Enabled", "Enabled"
"File ""%s"" must be writeable", "File" "% s" "jābūt rakstāms"
"Not Compiled", "Nav Sast"
"Run Compilation Process", "Run apkopošanas process"
"Scopes Compilation Settings", "Scopes Apkopošanas uzstādījumi"
"System", "Sistēma"
"The compilation has completed.", "Apkopošana ir pabeigta."
"Tools", "Instrumenti"
