
"1.5.0.0 & later", "1.5.0.0 &amp; vēlāk"
"Action", "Darbība"
"Add Author", "Pievienot autors"
"Add Contents Path", "Pievienot saturu Path"
"Add PHP Extension dependency", "Pievienot PHP Extension atkarību"
"Add Package dependency", "Pievienot Package atkarību"
"Add files", "Pievienot failus"
"Authors", "Autori"
"Channel", "Kanāls"
"Contents", "Saturs"
"Create Extension Package", "Izveidot Extension Package"
"Dependencies", "Atkarīgās"
"Description", "Apraksts"
"Edit Extension", "Labot paplašinājums"
"Email", "E"
"Extension", "Paplašinājums"
"Extensions", "Paplašinājumi"
"Failed to create the package.", "Neizdevās izveidot pasākumu kopumu."
"Failed to load the package data.", "Neizdevās ielādēt paketes datus."
"Failed to save the package.", "Neizdevās saglabāt paketi."
"Files", "Faili"
"Folder", "Folder"
"Ignore", "Ignorēt"
"Include", "Iekļaut"
"License", "Licence"
"License URI", "Licence URI"
"Load Local Package", "Load Local Package"
"Load local Package", "Load vietējo Package"
"Magento Connect", "Magento Connect"
"Magento Connect Manager", "Magento Connect vadītājs"
"Max", "Maks"
"Maximum", "Maksimālais"
"Min", "Min"
"Minimum", "Minimālā"
"Name", "Nosaukums"
"New Extension", "Jaunā paplašinājums"
"PHP Version", "PHP versija"
"Package", "Pakete"
"Package Extensions", "Iepakojuma paplašinājumi"
"Package File Name", "Iepakojums Faila nosaukums"
"Package Info", "Iepakojuma Info"
"Packages", "Pakas"
"Path", "Ceļš"
"Pre-1.5.0.0", "Iepriekš 1.5.0.0"
"Release Info", "Izdošanas Info"
"Remove", "Noņemt"
"Save As...", "Saglabāt kā ..."
"Save Data and Create Package", "Saglabāt datus un izveidot Package"
"Save package with custom package file name", "Saglabāt paketi ar pasūtījuma paketes faila nosaukumu"
"Summary", "Kopsavilkums"
"Supported releases", "Atbalstītās relīzes"
"System", "Sistēma"
"Target", "Mērķa"
"The package %s data has been loaded.", "Pakete% s dati ir ielādēti."
"The package data has been saved.", "Pakete dati ir saglabāti."
"There was a problem saving package data", "Tur bija problēma, saglabājot paketi datus"
"Type", "Tips"
"User", "Lietotājs"
