
"* Required Fields", "* Obligātie lauki"
"Comment", "Komentārs"
"Contact Form", "Pieteikuma veidlapa"
"Contact Information", "Kontaktinformācija"
"Contact Us", "Kontakti"
"Contact Us Form", "Kontakti forma"
"Contacts", "Kontakti"
"Contacts Section", "Kontaktu sadaļa"
"Email", "E"
"Email Options", "E-pasta varianti"
"Email Sender", "E-pasta nosūtītājs"
"Email Template", "E-pasta veidne"
"Enable Contact Us", "Ieslēgt atsauksmi"
"Name", "Nosaukums"
"Send Emails To", "Nosūtīt e-pastu"
"Submit", "Iesniegt"
"Telephone", "Tālrunis"
"Unable to submit your request. Please, "Nevar iesniegt pieprasījumu. Lūdzu,
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.", "Jūsu pieprasījums ir saņemts un tiks izskatīts."
