
"%s", "%s"
"%s already exist.", "%s jau eksistē."
"%s already exists.", "%s jau eksistē."
"-- Please Select --", "- Lūdzu izvēlieties -"
"<strong style=""color:red"">Warning!</strong> When using CDN, "<strong Style=""color:red""> Brīdinājums </ strong>! Izmantojot CDN
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, "<strong Style=""color:red""> Brīdinājums </ strong>! Lietojot Store kodu URL
"A category object is required for determining the product request path.", "Kategorija objekts ir nepieciešams, lai noteiktu produkta pieprasījuma ceļu."
"Add Block Names to Hints", "Pievienot Block nosaukumu uz mājieniem"
"Add Secret Key to URLs", "Pievienot Secret Key uz URL"
"Add Store Code to Urls", "Pievienot Store kodeksa uz URL"
"Admin", "Admin"
"Admin Base URL", "Administratora Bāzes URL"
"Admin User Emails", "Admin lietotāja e-pastiem"
"Advanced", "Advanced"
"After selecting a new media storage location, "Pēc izvēloties jaunu mediju glabāšanas vietu
to transfer all media to that location. Media will not be available in the new, pārskaitīt visus plašsaziņas šajā vietā. Mediju nebūs pieejama jauna
location until the synchronization process is complete.", vieta, līdz sinhronizācijas process ir pabeigts. "
to transfer all media to that location. Media will not be available in the new, pārskaitīt visus plašsaziņas šajā vietā. Mediju nebūs pieejama jauna
location until the synchronization process is complete.", vieta, līdz sinhronizācijas process ir pabeigts. "
"Allow Countries", "Atļaut valstis"
"Allow Symlinks", "Atļaut simbolsaites"
"Allowed IPs (comma separated)", "Atļauts IPS (komatu)"
"Allowed file types: ICO, "Atļautie failu tipi: ICO
"Allows customers to stay logged in when switching between different stores.", "Ļauj klientiem palikt pieteicies, pārejot starp dažādiem veikaliem."
"Alternative text for next link in pagination menu. If empty, "Alternatīva teksta nākamajā saites lapdales izvēlnē. Ja tukša
"Alternative text for previous link in pagination menu. If empty, "Alternatīva teksta iepriekšējo saiti lapdales izvēlnē. Ja tukša
"An error occurred while saving. Please review the error log.", "Kļūda saglabājot Lūdzam pārskatīt kļūdas žurnālu.".
"Anchor Text for Next", "Enkurs Teksts Nākamais"
"Anchor Text for Previous", "Enkurs Teksts Iepriekšējais"
"Anchor symbol (#) is not supported in request path", "Enkurs simbols (#) nav atbalstīta pieprasījuma ceļā"
"Anchor symbol (#) is not supported in url rewrite suffix", "Enkurs simbols (#) nav atbalstīta URL Rewrite sufiksu"
"Are you sure?", "Vai esat pārliecināts?"
"Auto-redirect to Base URL", "Auto-novirzīt uz Base URL"
"Back", "Atpakaļ"
"Backup Options", "Backup Options"
