
"'%value%' appears to be a DNS hostname but cannot extract TLD part", "'% Vērtība%", šķiet, ir DNS hostname, bet nevar iegūt TLD daļa "
"'%value%' appears to be a DNS hostname but cannot match TLD against known list", "'% Vērtība%", šķiet, ir DNS hostname, bet nevar sacensties pret zināmo sarakstu TLD "
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'", "'% Vērtība%", šķiet, ir DNS hostname, bet nevar sacensties pret hostname shēmā, TLD'% TLD% ""
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position", "'% Vērtība%", šķiet, ir DNS hostname taču satur domuzīmi nederīgu stāvoklī "
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded", "'% Vērtība%", šķiet, ir DNS hostname bet, ņemot punycode notācija nevar dekodēt "
"'%value%' appears to be a local network name but local network names are not allowed", "'% Vērtība%", šķiet, vietējā tīkla nosaukums bet vietējie tīkla vārdi nav atļauts "
"'%value%' appears to be an IP address, "'% Vērtība%' šķiet IP adrese
"'%value%' does not appear to be a valid local network name", "'% Vērtība%" nešķiet būt derīgs vietējais tīkls nosaukums "
"* Required Fields", "* Obligātie lauki"
"ALL GROUPS", "Visas grupas"
"Account Dashboard", "Kopsavilkums"
"Account Information", "Informācija"
"Account Sharing Options", "Konta pastu"
"Account confirmation is required. Please, "Konta apstiprinājums ir nepieciešams. Lūdzu
"Account confirmation is required. Please, "Konta apstiprinājums ir nepieciešams. Lūdzu
"Action", "Darbība"
"Add New Address", "Pievienot jaunu adresi"
"Add New Customer", "Pievienot jaunu klientu"
"Add New Customer Group", "Pievienot jaunu klientu grupa"
"Added From", "Pievienotā"
"Additional Address Entries", "Papildu Adrešu Ieraksti"
"Address", "Adrese"
"Address Book", "Adrešu grāmata"
"Address Books", "Adrešu grāmatas"
"Address Information", "Adrese informācija"
"Address Templates", "Adrese Veidnes"
"Addresses", "Adreses"
"Admin", "Admin"
"All", "Visi"
"All Store Views", "Visi Store Skati"
"All countries", "Visas valstis"
"Always optional.", "Vienmēr izvēles."
"Amount", "Summa"
"An error occurred while deleting the address.", "Kļūda dzēšot adresi."
"An error occurred while retrieving the option value: %s.", "Kļūda ielādējot opciju vērtību:.%s"
"An error occurred while saving the collection, "Kļūda saglabājot kolekciju
"An invalid option ID is specified for %s (%s), "Nederīgs variants ID ir norādīta% s (% s)
"Approved", "Apstiprināts"
"Are you sure that you want to remove this item?", "Vai esat pārliecināts, ka jūs vēlaties, lai novērstu šo posteni?"
"Are you sure you want to cancel adding of this address?", "Vai tiešām vēlaties atcelt pievienojot šo adresi?"
"Are you sure you want to delete this address?", "Vai tiešām vēlaties dzēst šo adresi?"
"Are you sure?", "Vai esat pārliecināts?"
"Array of Entity collections is expected.", "Array Entity kolekcijām tiek gaidīts."
"Assign a Customer Group", "Piešķirt klientu grupa"
"Average Sale", "Vidējais izpārdošana"
"Back", "Atpakaļ"
"Back - link to the previously viewed page", "Atpakaļ - saite uz iepriekš skatītajā lapā"
"Back to Login", "Atpakaļ uz autorizāciju"
"Bad request.", "Bad pieprasījums."
"Based on the VAT ID, "Pamatojoties uz PVN ID
"Bill to Name", "Bils līdz Nosaukums"
"Bought From", "Nopirka no"
"By creating an account with our store, "Izveidojot kontu mūsu veikalā
"CSV", "CSV"
"Cancel", "Atcelt"
"Cannot save a new password.", "Nevar saglabāt jaunu paroli."
"Cannot save address.", "Nevar saglabāt adresi."
"Cannot save the customer.", "Nevar saglabāt klientu."
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.", "Nevar dalīties klientu kontiem visā pasaulē, jo daži klientu kontus pašu e pastāv vairākās vietnēs, un to nevar apvienot."
"Change Account Password", "Mainīt konta paroli"
"Change Billing Address", "Mainīt Norēķinu adresi"
"Change Password", "Mainīt paroli"
"Change Shipping Address", "Mainīt Piegādes adresi"
"City", "Pilsēta"
"Company", "Kompānija"
"Config", "Config"
"Configure", "Konfigurēt"
"Confirm New Password", "Apstiprināt jauno paroli"
"Confirm Password", "Apstiprināt paroli"
"Confirmation Link Email", "Apstiprināšana saiti Nosūtīt"
"Confirmed", "Apstiprināts"
"Contact Information", "Kontaktinformācija"
"Continue Shopping", "Turpināt iepirkšanos"
"Country", "Valsts"
"Create", "Izveidot"
"Create New Account Options", "Izveidot jaunu kontu opcijas"
"Create New Customer Account", "Izveidot jaunu klienta kontu"
"Create Order", "Izveidot pasūtījumu"
"Create an Account", "Izveidot kontu"
"Create customer", "Izveidot klientu"
"Create customer address", "Izveidot klientu adreses"
"Current Password", "Pašreizējā parole"
"Customer", "Klients"
"Customer API", "Klientu API"
"Customer Account Edit Form", "Klienta konta Rediģēt forma"
"Customer Account Login Form", "Klienta konta Ienākt"
"Customer Account Logout Success", "Klientu konts Iziet Success"
"Customer Account Registration Form", "Klientu konta Reģistrācijas forma"
"Customer Addresses", "Klientu adreses"
"Customer Configuration", "Klientu konfigurācija"
"Customer Forgot Password Form", "Klientu Aizmirsu paroli Form"
"Customer Group", "Klientu grupa"
"Customer Groups", "Klientu Grupas"
"Customer Information", "Klienta informācija"
"Customer Login", "Ieeja klientiem"
"Customer My Account (All Pages)", "Klientu Mans konts (Visas lapas)"
"Customer My Account Address Book", "Klientu Mans konts adrešu grāmata"
"Customer My Account Address Edit Form", "Klientu Mans konts Adrese Edit forma"
"Customer My Account Dashboard", "Klientu Mans konts Dashboard"
"Customer Since", "Klientu Kopš"
"Customer View", "Klientu View"
"Customer collection expected.", "Klientu kolekcija gaidīts."
"Customer email is required", "Klientu e-pasts ir nepieciešama"
"Customer website ID must be specified when using the website scope", "Klientu mājas ID jānorāda, izmantojot tīmekļa vietni jomu"
"Customer will stay on the current page if ""No"" is selected.", "Klients paliktu pašreizējā lapā, ja" "Nē" "ir izvēlēts."
"Customers", "Klienti"
"Customers Only", "Klienti ir tikai"
"Customers Section", "Klienti sadaļa"
"DD", "DD"
"Date", "Datums"
"Date Added", "Pievienots"
"Date of Birth", "Dzimšanas datums"
"Day", "Diena"
"Days in Wishlist", "Dienas vēlmju sarakstā"
"Default Addresses", "Noklusējuma adreses"
"Default Billing Address", "Esošā norēķinu adrese"
"Default Email Domain", "Noklusētais E-pasta domēns"
"Default Group", "Noklusētā grupa"
"Default Shipping Address", "Esošā piegādes adrese"
"Default Value for Disable Automatic Group Changes Based on VAT ID", "Noklusētā Cenas Disable Automatic Group izmaiņas, pamatojoties uz PVN ID"
"Default Welcome Email", "Noklusētais apsveikuma vēstulē"
"Delete", "Dzēst"
"Delete Address", "Dzēst adresi"
"Delete Customer", "Dzēst klientu"
"Delete Customer Group", "Dzēst klientu grupa"
"Delete customer", "Dzēst klientu"
"Delete customer address", "Dzēst klientu adreses"
"Deleted Stores", "Dzēstie veikali"
"Details", "Details"
"Disabled", "Disabled"
"Edit", "Edit"
"Edit Account Info", "Rediģēt konta info"
"Edit Account Information", "Rediģēt konta informāciju"
"Edit Address", "Rediģēt adresi"
"Edit Address Entry", "Rediģēt adrešu Entry"
"Edit Customer Group ""%s""", "Labot klientu grupa" "% s" ""
"Edit Customer Groups", "Labot klientu grupas"
"Edit Customer's Address", "Edit Klienta adrese"
"Edit Group", "Edit Group"
"Edit Newsletters", "Labot biļeteni"
"Email", "E"
"Email Address", "E-pasta adrese"
"Email Sender", "E-pasta sūtītājs"
"Email:", "E-pasts:"
"Enable Automatic Assignment to Customer Group", "Aktivizēt automātisko grupēšanas klientu grupa"
"Entity collection is expected.", "Vienību kolekcija tiek gaidīts."
"Excel XML", "Excel XML"
"Failed to confirm customer account.", "Neizdevās apstiprināt klienta kontu."
"Fax", "Fakss"
"First Name", "Vārds"
"Forgot Email Template", "Aizmirsu Email Template"
"Forgot Password", "Aizmirsu paroli"
"Forgot Your Password", "Aizmirsi paroli"
"Forgot Your Password?", "Aizmirsi paroli?"
"Forgot and Remind Email Sender", "Aizmirsu un atgādināt e-pasta sūtītājs"
"Form Fields Before", "Veidlapas lauki Pirms"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.", ""
"Gender", "Dzimums"
"Gender is required.", "Dzimumu ir nepieciešama."
"General Subscription", "Pierakstīties"
"Generate Human-Friendly Customer ID", "Izveidot cilvēkam draudzīgu klienta ID"
"Global", "Global"
"Grand Total", "Pavisam kopā"
"Group", "Grupa"
"Group Information", "Grupas informācija"
"Group Name", "Grupas nosaukums"
"Group for Invalid VAT ID", "Grupa Invalid PVN ID"
"Group for Valid VAT ID - Domestic", "Grupa derīgs PVN ID - Iekšzemes"
"Group for Valid VAT ID - Intra-Union", "Grupa derīgs PVN ID - Intra-savienība"
"Guest", "Guest"
"HTML", "HTML"
"Hello, "Labdien
"ID", "ID"
"IP Address", "IP adrese"
"If there is an account associated with %s you will receive an email with a link to reset your password.", "Ja šāds E-pasts/Lietotājvārds mūsu sistēmā eksistē, uz jūsu E-pastu saņemsiet saiti, lai atjaunotu paroli."
"If you are a registered VAT customer, "Ja jūs esat reģistrēts PVN klientu
"If you are a registered VAT customer, "Ja jūs esat reģistrēts PVN klientu
"If you believe this is an error, "Ja jūs uzskatāt, ka tā ir kļūda
"If you have an account with us, "Ja jums ir konts ar mums
"Invalid attribute option specified for attribute %s (%s), "Nepareiza atribūts iespēja norādīta atribūtam% s (% s)
"Invalid attribute set specified, "Nepareiza atribūts noteikti norādīts
"Invalid billing address for (%s)", "Nepareiza norēķinu adrese (% s)"
"Invalid current password", "Nepareiza pašreizējā parole"
"Invalid customer data", "Invalid klientu dati"
"Invalid email address ""%s"".", "Nepareiza e-pasta adrese" "% s" "."
"Invalid email address.", "Nepareiza e-pasta adrese."
"Invalid login or password.", "Nepareizs lietotājvārds vai parole."
"Invalid password reset token.", "Nepareiza parole reset marķieri."
"Invalid shipping address for (%s)", "Nepareiza kuģniecības adrese (% s)"
"Invalid store specified, "Nepareiza veikals norādīts
"Invalid website, "Nederīga vietne
"Last Activity", "Pēdējā aktivitāte"
"Last Date Subscribed", "Pēdējais datums Parakstītais"
"Last Date Unsubscribed", "Pēdējais datums neparakstītās"
"Last Name", "Uzvārds"
"Last URL", "Pēdējo URL"
"Leave empty for default (15 minutes).", "Atstājiet tukšu par saistību nepildīšanu (15 minūtes)."
"Leave empty for default (2). Valid range: 1-4", "Atstājiet tukšu, lai noklusējuma (2) Derīga diapazons:. 1-4"
"Lifetime Sales", "Mūža Sales"
"Log In", "Pieteikties"
"Log Out", "Atteikties"
"Login", "Ienākt"
"Login Information", "Ieejas informācija"
"Login Options", "Ienākt Options"
"Login and password are required.", "Pieteikšanās un parole."
"Login or Create an Account", "Piesakieties vai Izveidot kontu"
"MM", "MM"
"Manage Addresses", "Pārvaldīt adreses"
"Manage Customers", "Pārvaldīt Klienti"
"Maximum length must be less then %s symbols", "Maksimālais garums ir mazāks tad% s simboli"
"Missing email, "Trūkst e-pastu
"Missing email, "Trūkst e-pastu
"Missing first name, "Trūkst vārdu
"Missing firstname, "Trūkst FirstName
"Missing last name, "Trūkst uzvārds
"Missing lastname, "Trūkst Uzvārds
"Missing website, "Trūkst mājas
"Month", "Mēnesis"
"My Account", "Mans konts"
"My Account Wrapper", "Mans konts apvalks"
"My Dashboard", "Konta kopsavilkums"
"My Orders", "Mani pasūtījumi"
"Name", "Nosaukums"
"Name and Address Options", "Vārds un adrese opcijas"
"Never", "Nekad"
"New Address", "Jauna adrese"
"New Address Entry", "Jauna adrese Ieraksts"
"New Customer", "Jauns Klients"
"New Customer Address", "Jaunā Klientu Adrese"
"New Customer Group", "Jaunā klientu grupa"
"New Customer Groups", "Jaunās Klientu grupas"
"New Customers", "Jaunie klienti"
"New Group", "Jauna grupa"
"New Password", "Jaunā parole"
"New account", "Jauns konts"
"New account confirmation key", "Jauns konts apstiprinājuma atslēga"
"New account confirmed", "Jauns konts apstiprināja"
"New password field cannot be empty.", "Jaunā parole lauks nevar būt tukšs."
"Newsletter", "Biļetens"
"Newsletter Finish", "Biļetens Finish"
"Newsletter Information", "Biļetens informācija"
"Newsletter Received", "Biļetens Saņemtā"
"Newsletter Start", "Biļetens Start"
"Newsletter Subscription", "Pieraksts jaunumiem e-pastā"
"Newsletters", "Pieraksts jaunumiem e-pastā"
"No Items Found", "Nav atrasts"
"No Newsletter Found", "Nav atrasts"
"No customer collections found", "Nav kolekcijas atrasts"
"No item specified.", "Nav norādīts vienība."
"Not Sent", "Nav nosūtīts"
"Not confirmed, "Nav apstiprināts
"Not confirmed, "Nav apstiprināts
"Number of Lines in a Street Address ", "Skaits zīmi ielas adresi"
"Offline", "Bezsaistes"
"Online", "Online"
"Online Customers", "Online klienti"
"Online Customers Options", "Tiešsaistes klientiem opcijas"
"Online Minutes Interval", "Online minūšu intervāls"
"Order #", "Pasūtīt #"
"Order Total", "Rīkojums Kopā"
"Orders", "Pasūtījumi"
"PDF", "PDF"
"Password", "Parole"
"Password Management", "Parole Management"
"Password Options", "Parole Options"
"Password forgotten", "Parole aizmirstā"
"Password:", "Parole:"
"Paused", "Pārtraukta"
"Pending", "Kamēr"
"Per Website", "Per Website"
"Personal Information", "Personīgā informācija"
"Please enter a number 1 or greater in this field.", "Lūdzu, ievadiet skaitli 1 vai lielāku šajā jomā."
"Please enter a valid date between %s and %s at %s.", "Lūdzu, ievadiet derīgu datumu starp% s un% s% s."
"Please enter a valid date equal to or greater than %s at %s.", "Lūdzu, ievadiet derīgu datumu vienāda vai lielāka par% s% s."
"Please enter a valid date less than or equal to %s at %s.", "Lūdzu, ievadiet derīgu datumu mazāk nekā vai vienāds ar% s% s."
"Please enter the city.", "Lūdzu ievadiet pilsētu."
"Please enter the country.", "Lūdzu, ievadiet valsti."
"Please enter the first name.", "Lūdzu ievadiet vārdu."
"Please enter the last name.", "Lūdzu ievadiet uzvārdu."
"Please enter the state/province.", "Lūdzu ievadiet / Štats."
"Please enter the street.", "Lūdzu ievadiet ielas."
"Please enter the telephone number.", "Lūdzu ievadiet tālruņa numuru."
"Please enter the zip/postal code.", "Lūdzu ievadiet Zip / Postal".
"Please enter your email address below. You will receive a link to reset your password.", "Lūdzu, ievadiet savu e-pasta adresi zemāk jūs saņemsiet saiti, lai atjaunotu savu paroli.".
"Please enter your email below and we'll send you confirmation link for it.", "Lūdzu, ievadiet savu e-pasta adresi zemāk, un mēs nosūtīsim jums apstiprinājuma saiti uz to."
"Please enter your email.", "Lūdzu, ievadiet savu e-pasta adresi."
"Please make sure your passwords match.", "Lūdzu pārliecinieties, ka jūsu paroles spēles."
"Please select", "Lūdzu izvēlieties"
"Please select a website which contains store view", "Lūdzu, izvēlieties tīmekļa vietni, kas satur veikala skats"
"Please select region, "Lūdzu, izvēlieties reģionu
"Please, "Lūdzu
"Prefix Dropdown Options", "Prefikss nolaižamā opcijas"
"Price", "Cena"
"Product", "Produkts"
"Product ID", "Produkta ID"
"Product Name", "Nosaukums"
"Product Reviews", "Atsauksmes par precēm"
"Product Tags", "Preces birkas"
"Purchase On", "Iegādāties Par"
"Purchased At", "Iegādāties"
"Qty", "Daudz"
"Recent Orders", "Jaunākās Pasūtījumi"
"Records for %s store found.", "Ieraksti% s veikalā atrasts."
"Recovery Link Expiration Period (days)", "Atgūšana Link Derīguma termiņš (dienas)"
"Redirect Customer to Account Dashboard after Logging in", "Novirzīt Klientam Konta Dashboard pēc piesakoties"
"Refunded", "Atmaksāts"
"Registered Customers", "Reģistrētie klienti"
"Remind Email Template", "Atgādināt Email Template"
"Remind Password", "Atgādināt paroli"
"Remove", "Noņemt"
"Require Emails Confirmation", "Pieprasīt e-pastus apstiprinājums"
"Reset a Password", "Reset Password"
"Retrieve address data", "Ielādēt adrešu dati"
"Retrieve address info", "Retrieve adrese info"
"Retrieve customer addresses", "Ielādēt klientu adreses"
"Retrieve customer data", "Ielādēt klientu datus"
"Retrieve customer groups", "Ielādēt klientu grupas"
"Retrieve customer info", "Ielādēt klientu datus"
"Retrieve customers", "Ielādēt klientus"
"Retrieve your confirmation link here", "Ielādēt savu apstiprinājuma saiti šeit"
"Retrieve your password here", "Ielādēt savu paroli šeit"
"SKU", "SKU"
"Sales Statistics", "Pārdošanas statistika"
"Save", "Saglabāt"
"Save Address", "Saglabāt adresi"
"Save Customer", "Save klientu"
"Save Customer Group", "Save klientu grupa"
"Save Password", "Save Password"
"Save and Continue Edit", "Saglabāt un turpināt rediģēt"
"Saved %d record(s)", "Saglabātās% d ierakstu (s)"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.", "Semikols (;) atdalītas vērtības <br/> Put semikolu sākumā par tukšu pirmo variantu.. <br/> Atstāt tukšu atklātā teksta laukā."
"Send From", "Send No"
"Send Welcome Email", "Send Welcome Nosūtīt"
"Send Welcome Email after Confirmation", "Sūtīt apsveikuma vēstulē pēc apstiprināšanas"
"Send auto-generated password", "Sūtīt Name paroli"
"Send confirmation link", "Send apstiprinājuma saiti"
"Sending", "Sūtīšana"
"Sent", "Sent"
"Session Start Time", "Sesija Sākuma laiks"
"Set as Default Billing Address", "Uzstādīt kā noklusējuma Norēķinu adrese"
"Set as Default Shipping Address", "Uzstādīt kā noklusējuma piegādes adresi"
"Share Customer Accounts", "Akciju Klientu konti"
"Shipped to First Name", "Nosūtīti uz Vārds"
"Shipped to Last Name", "Nosūtīti uz uzvārda"
"Shipped to Name", "Nosūtīti līdz Nosaukums"
"Shopping Cart", "Grozs"
"Shopping Cart - %d item(s)", "Iepirkumu grozs -% d prece (s)"
