
"<a href=""%s"" target=""_blank"">Link</a>", "<a Href=""%s"" target=""_blank""> Saite </ a>"
"Actions XML is not valid.", "Darbības XML nav derīgs."
"An error occurred while opening file: ""%s"".", "Kļūda atverot failu:" "% s" "."
"Could not load file: ""%s"".", "Nevar ielādēt failu" "% s" "."
"Could not save file: %s.", "Neizdevās saglabāt failu:% s."
"Declared adapter %s was not found.", "Deklarētā adapteris% s netika atrasts."
"Destination folder ""%s"" is not a directory.", "Mērķa mape" "% s" "nav direktorija."
"Destination folder ""%s"" is not writable.", "Mērķa mape" "% s" "nav rakstāms."
"Done", "Gatavs"
"Dry run set, "Sausā komplekts
"ETA: %s", "ETA:% s"
"Error in field mapping: field list for mapping is not defined.", "Kļūda lauka kartēšanu: lauks saraksts kartēšanu nav definēts."
"File ""%s"" does not exist.", "File" "% s" "neeksistē."
"Found %d rows.", "Atrasts% d rindas."
"Less than a minute", "Mazāk nekā minūti"
"Loaded successfully: ""%s"".", "Loaded veiksmīgi:" "% s" "."
"Memory Used: %s", "Atmiņas Automašīnas:% s"
"Method ""%s"" not defined in adapter %s.", "Metode" "% s" "nav definēts adapteris% s."
"Method ""%s"" was not defined in adapter %s.", "Metode" "% s" "nav definēts adapteris% s."
"Please declare ""adapter"" and ""method"" nodes first.", "Lūdzu atzīt" "adapteri" "un" "metode" "mezgli pirmā."
"Processed records: %s", "Pārstrādāti ieraksti:% s"
"Profile with the same name already exists.", "Profils ar tādu pašu nosaukumu jau eksistē."
"Saved successfully: ""%s"" [%d byte(s)].", "Saved veiksmīgi:" "% s" "[% d baitu (i)]."
"Sheet 1", "Lapa 1"
"Skip undefined row.", "Pāriet nedefinēta rinda."
"Starting %s :: %s", "Sākot% s ::% s"
"The destination folder ""%s"" does not exist or there is no access to create it.", "Mērķa mapi" "% s" "neeksistē vai nav pieejami, lai radītu to."
"Total records: %s", "Kopā ieraksti:% s"
"hour", "Stunda"
"hours", "Stundas"
"minute", "Minūte"
"minutes", "Minūtes"
