
"-- Please select --", "- Lūdzu, izvēlieties -"
"Allowed Currencies", "Atļauts Valūtas"
"Base Currency", "Bāzes valūta"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").", "Pamatvalūta ir izmantots visiem tiešsaistes maksājumu darījumiem joma ir noteikta ar kataloga cenu jomas. (" "Katalogs" ">" "Cena" ">" "Katalogs Cena joma" ")."
"Can't convert rate from ""%s-%s"".", "Nevar pārvērst likmi no" "% s-% s" "."
"Cannot retrieve rate from %s.", "Nevar paņemt likmi no% s."
"Connection Timeout in Seconds", "Savienojums Noildze sekundēs"
"Continue &raquo;", "Turpināt» "
"Country", "Valsts"
"Country API", "Valsts API"
"Country and Format Type combination should be unique", "Valsts un Formāts veids kombinācija būtu unikāls"
"Currency", "Valūta"
"Currency Options", "Valūtu opcijas"
"Currency Setup", "Valūtas iestatīšana"
"Currency Update Warnings", "Tirgus informācija Brīdinājumi"
"Default Display Currency", "Noklusētais Displejs Valūta"
"Directory", "Direktorijs"
"Display not required State", "Display nav nepieciešama valsts"
"Enabled", "Enabled"
"Error Email Recipient", "Kļūda Nosūtīt Saņēmējs"
"Error Email Sender", "Kļūda pasta sūtītājs"
"Error Email Template", "Kļūda e-pasta veidne"
"FATAL ERROR:", "Fatāla kļūda:"
"Frequency", "Frequency"
"Installed Currencies", "Instalētās Valūtas"
"Invalid Import Service specified.", "Nepareiza importa dienesta norādīts."
"Invalid country code: %s", "Nepareiza valsts kods:% s"
"Invalid rates received", "Invalid likmes saņemts"
"Invalid target currency.", "Nepareiza mērķa valūtā."
"List of countries", "Valstu saraksts"
"List of regions in specified country", "Saraksts ar reģioniem noteiktā valstī"
"Postal Code is Optional for the following countries", "Pasta kodekss ir obligāta šādiem valstīm"
"Region", "Reģions"
"Region API", "Reģions API"
"Scheduled Import Settings", "Plānotais Importa uzstādījumi"
"Select Your Currency", "Izvēlēties valūtu"
"Service", "Service"
"Start Time", "Start Time"
"State is required for", "Valsts ir nepieciešama"
"State/Province", "Valsts / province"
"States Options", "Valstis opcijas"
"Unable to initialize the import model.", "Nevar inicializēt importa modeli."
"Undefined rate from ""%s-%s"".", "Nav norādīts likme no" "% s-% s" "."
"WARNING:", "BRĪDINĀJUMS:"
"Webservicex", "Webservicex"
"Your current currency is: %s", "Jūsu pašreizējais valūtas ir:% s"
