
"Add", "Pievienot"
"Add New Row", "Pievienot jaunu rindu"
"Add links and samples to downloadable product", "Pievienot saites un paraugu lejupielādējama produktu"
"Alphanumeric, "Burtciparu
"An error occurred while getting the requested content.", "Kļūda iegūt pieprasīto saturu."
"An error occurred while getting the requested content. Please contact the store owner.", "Kļūda iegūt pieprasīto saturu. Lūdzu, sazinieties ar veikala īpašnieku."
"An error occurred while saving the file(s).", "Kļūda saglabājot failu (s)."
"Availability:", "Pieejamība"
"Back", "Atpakaļ"
"Canceled", "Atcelts"
"Cannot connect to remote host, "Nevar izveidot savienojumu ar attālo uzņēmējas
"Catalog Product View (Downloadable)", "Katalogs Produkts Skatīt (Tops)"
"Category API", "Kategorija API"
"Customer My Account Downloadable Items", "Klientu Mans konts Tops Preces"
"Date", "Datums"
"Default Link Title", "Noklusētais saites nosaukums"
"Default Maximum Number of Downloads", "Noklusētā Maksimālais skaits Downloads"
"Default Sample Title", "Noklusētais paraugs Nosaukums"
"Delete", "Dzēst"
"Disable Guest Checkout if Cart Contains Downloadable Items", "Izslēgt Klientu Checkout ja pasūtījums Satur Tops Items"
"Downloadable Information", "Tops informācija"
"Downloadable Product", "Tops Produkts"
"Downloadable Product Options", "Tops Iekārtas iespējas"
"Downloadable Product Section", "Tops Produktu sadaļa"
"Edit", "Edit"
"Edit item parameters", "Rediģēt objektu parametrus"
"Excl. Tax", "Bez. Nodokli"
"File", "File"
"From:", "No:"
"Gift Message", "Dāvanu Ziņu"
"Go to <a href=""%s"">My Downloadable Products</a>", "Iet uz <a href=""%s""> Mani Tops Produkcija </ a>"
"Guest checkout will only work with shareable.", "Klientu kases strādās tikai ar koplietojamu."
"In stock", "Noliktavā"
"Incl. Tax", "Iesk. Nodokli"
"Invalid download URL host.", "Nepareiza lejupielādēt URL uzņēmēja."
"Invalid download URL scheme.", "Nepareiza lejupielādēt URL shēmu."
"Invalid download link type.", "Nepareiza lejupielādēt saites tipu."
"Invoiced", "Rēķinā"
"Links can be purchased separately", "Saites var iegādāties atsevišķi"
"List", "Saraksts"
"Max. Downloads", "Maks. Lejupielādes"
"Message:", "Ziņa:"
"Move", "Move"
"My Downloadable Products", "Mani Tops produkti"
"Open Links in New Window", "Atvērt saites jaunā logā"
"Order #", "Pasūtīt #"
"Order Item Status to Enable Downloads", "Pasūtījuma Vienības statuss iespējot lejupielādes"
"Order id cannot be null", "Pasūtījuma ID nevar būt nulle"
"Order item id cannot be null", "Pasūtījuma vienība ID nevar būt nulle"
"Ordered", "Sakārtots"
"Out of stock", "No krājuma"
"Pending", "Kamēr"
"Please log in to download your product or purchase <a href=""%s"">%s</a>.", "Lūdzu, piesakieties, lai lejupielādētu savu produktu vai pirkt <a href=""%s"">% s </ a>."
"Please log in to download your product.", "Lūdzu, piesakieties, lai lejupielādētu savu produktu."
"Please set resource file and link type.", "Lūdzu noteikt resursu failu un saite veidu."
"Please specify product link(s).", "Lūdzu, norādiet produkta saite (s)."
"Price", "Cena"
"Product downloadable links", "Produktu lejupielādējamas saites"
"Qty", "Daudz"
"Refunded", "Atmaksāts"
"Remaining Downloads", "Atlikušās Downloads"
"Remove", "Noņemt"
"Remove Item", "Noņemt Item"
"Remove links and samples from downloadable product", "Noņemt saites un paraugus no lejupielādējama produktu"
"Requested link does not exist.", "Pieprasītā saite neeksistē."
"Retrieve links and samples list from downloadable product", "Retrieve saites un paraugus saraksts no lejupielādējama produktu"
"Sample", "Izlase"
"See price before order confirmation.", "Skat cena pirms pasūtījuma apstiprināšanas."
"Shareable", "Shareable"
"Shipped", "Borta"
"Sorry, "Atvainojiet
"Sort Order", "Kārtot rīkojums"
"Start Download", "Start Download"
"Status", "Statuss"
"The file does not exist.", "Fails neeksistē."
"The link has expired.", "Saite ir beidzies."
"The link is not available.", "Saite nav pieejama."
"There are files that were selected but not uploaded yet. Please upload or remove them first", "Ir faili, kas tika izvēlēts, bet ne augšupielādēts vēl. Lūdzu augšupielādēt vai noņemt tos vispirms"
"Title", "Nosaukums"
"To:", "Kam:"
"U", "U"
"Unlimited", "Unlimited"
"Use Content-Disposition", "Izmantot Satura izvietojums"
"Use Default Value", "Lietot noklusēto vērtību"
"View Order", "Skatīt pasūtījumu"
"What's this?", "Kas tas ir?"
"You have not purchased any downloadable products yet.", "Jūs neesat iegādājies lejupielādējamus produktus vēl."
"attachment", "Arests"
"download", "Lejupielādēt"
"inline", "Inline"
"sample", "Paraugs"
