
"""%s"" contains not only digit characters.", "" "%s" "satur ne tikai ciparu rakstzīmes."
"""%s"" does not fit the entered date format.", "" "%s" "neatbilst ievadīto datuma formātu."
"""%s"" exceeds the allowed file size.", "" "%s" "pārsniedz atļauto faila izmēru."
"""%s"" exceeds the allowed length.", "" "%s" "pārsniedz atļauto garumu."
"""%s"" has not only alphabetic and digit characters.", "" "%s" "ir ne tikai burtu un ciparu rakstzīmes."
"""%s"" has not only alphabetic characters.", "" "%s" "ir ne tikai alfabēta rakstzīmes."
"""%s"" height exceeds allowed value of %s px.", "" "%s" "augstums pārsniedz pieļaujamo vērtību% s px."
"""%s"" invalid type entered.", "" "%s" "derīgs tipa ieraksta."
"""%s"" is a required value.", "" "%s" "ir obligāti vērtība."
"""%s"" is an empty string.", "" "%s" "ir tukša virkne."
"""%s"" is not a valid URL.", "" "%s" "nav derīgs."
"""%s"" is not a valid date.", "" "%s" "nav derīgs datums."
"""%s"" is not a valid email address.", "" "%s" "nav derīga e-pasta adrese."
"""%s"" is not a valid file", "" "%s" "nav derīgs failu"
"""%s"" is not a valid file extension.", "" "%s" "nav derīgs faila paplašinājums."
"""%s"" is not a valid file.", "" "%s" "nav derīgs failu."
"""%s"" is not a valid hostname.", "" "%s" "nav derīgs resursdatora."
"""%s"" is not a valid image format", "" "%s" "nav derīgs attēla formāts"
"""%s"" length must be equal or greater than %s characters.", "" "%s" "garumam jābūt vienādam vai lielāks par% s rakstzīmes."
"""%s"" length must be equal or less than %s characters.", "" "%s" "garumam jābūt vienādam vai mazāka par% s rakstzīmes."
"""%s"" width exceeds allowed value of %s px.", "" "%s" "platums pārsniedz atļauto vērtību% s px."
"'%value%' appears to be a DNS hostname but cannot extract TLD part", "'% Vērtība%", šķiet, ir DNS hostname, bet nevar iegūt TLD daļa "
"'%value%' appears to be a DNS hostname but cannot match TLD against known list", "'% Vērtība%", šķiet, ir DNS hostname, bet nevar sacensties pret zināmo sarakstu TLD "
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'", "'% Vērtība%", šķiet, ir DNS hostname, bet nevar sacensties pret hostname shēmā, TLD'% TLD% ""
