
"Active", "Aktīvs"
"Add Attribute Mapping", "Pievienot Atribūtu kartēšana"
"Add New Attribute", "Pievienot jaunu atribūtu"
"Add to Google Base", "Pievienot Google Base"
"Are you sure?", "Vai esat pārliecināts?"
"Attribute", "Prasme"
"Attribute Set", "Atribūtu kopu"
"Attribute Set and Item Type", "Atribūtu kopu un vienības veids"
"Attributes", "Atribūti"
"Attributes Mapping", "Atribūti kartēšana"
"Attributes Set", "Atribūti Set"
"AuthSub", "AuthSub"
"Available Products", "Pieejamie produkti"
"Base Currency should be set to %s for %s in system configuration. Otherwise item prices won't be correct in Google Base.", "Bāzes valūta ir iestatīts uz% s% s sistēmas konfigurācijas Pretējā Izstrādājumu cenas nebūs pareizi Google Base.".
"Cannot update Google Base Item for Store '%s'", "Nevar atjaunināt Google Base preci uz veikalu '% s'"
"Captcha confirmation error: %s", "Captcha apstiprinājums kļūda:% s"
"Captcha has been confirmed.", "Captcha ir apstiprināta."
"Catalog", "Katalogs"
"Clicks", "Klikšķi"
"ClientLogin", "ClientLogin"
"Confirm", "Apstiprināt"
"Current Mapping will be reloaded. Continue?", "Pašreizējais formulējums tiks pārkrautas turpināt?".
"Custom attribute, "Custom atribūts
"Delete", "Dzēst"
"Delete Mapping", "Dzēst kartēšana"
"Edit Item Type", "Labot vienības tips"
"Edit Item Type ""%s""", "Labot vienības tips" "% s" ""
"Error: %s", "Kļūda:% s"
"Expires", "Beidzas"
"Google", "Google"
"Google Base", "Google Base"
"Google Base Attribute", "Google Base Prasme"
"Google Base ID", "Google Base ID"
"Google Base Item Type", "Google bāze vienības veids"
"Google Base Item type", "Google bāze Vienība veidu"
"Google Base Items", "Google Base Preces"
"Google base", "Google bāze"
"Hide", "Slēpt"
"Hosted", "Hosted"
"Hosted or Google", "Notika vai Google"
"Impr.", "Seansi."
"Invalid Product Model for Google Base Item", "Nepareiza Produkta modelis Google Base postenī"
"Item Type was deleted", "Vienības veids tika dzēsts"
"Item Types", "Postenis veidi"
"Item model is not specified to delete Google Base entry.", "Vienība modelis nav norādīts dzēst Google Base ierakstu."
"Items", "Preces"
"Manage Attribute Mapping", "Pārvaldīt Atribūtu kartēšana"
"Manage Attributes", "Pārvaldīt īpašības"
"Manage Items", "Manage Items"
"New Item Type", "Jaunā vienības veids"
"New ItemType", "Jaunā ItemType"
"No", "Nē"
"No items were deleted from Google Base", "Nav priekšmeti tika svītrots no Google Base"
"No items were published", "Nav posteņi tika publicēti"
"No items were saved as inactive items", "Nav posteņi tika saglabāti kā neaktīvu posteņiem"
"No products were added to Google Base", "Nav produkti tika pievienots Google Base"
"Object model is not specified to save Google Base entry.", "Objekta modelis nav norādīts saglabāt Google Base ierakstu."
"Please, "Lūdzu
"Product Name", "Nosaukums"
"Publish", "Publicēt"
"Published", "Publicēts"
"Remove", "Noņemt"
"Save Mapping", "Save kartēšana"
"Session expired during export. Please revise exported products and repeat the process if necessary.", "Sesija beidzās laikā eksporta Lūdzam pārskatīt eksportēto produktu un atkārtojiet procesu, ja nepieciešams.".
"Synchronize", "Sinhronizēt"
"Target Country", "Mērķa valsts"
"The item type has been saved.", "Vienības veids ir saglabāts."
"This action will update items statistics and remove the items which are not available in Google Base. Continue?", "Šī darbība atjauninās posteņu statistiku un noņemt priekšmetus, kas nav pieejamas Google Base turpināt?".
"Total of %d items(s) have been deleted; total of %d items(s) have been updated.", "Kopā% d vienības (-ām) ir svītrots, kopā% d vienības (-ām) ir atjaunināts."
"Total of %d items(s) have been published.", "Kopā% d vienības (-ām) ir publicēts."
"Total of %d items(s) have been removed from Google Base.", "Kopā% d vienības (-ām) ir noņemta no Google Base."
"Total of %d items(s) have been saved as inactive items.", "Kopā% d vienības (-ām) ir saglabāts kā neaktīvi posteņiem."
"Total of %d product(s) have been added to Google Base.", "Kopā no% d produkts (-i) ir pievienots Google Base."
"Unable to connect to Google Base. Please, "Nevar izveidot savienojumu ar Google Base. Lūdzu
"Unable to select a Store View.", "Nevar izvēlēties Store View".
"View Available Products", "View pieejamos produktus"
"View Item in Google Base", "Skatīt elementu Google Base"
"Yes", "Jā"
