
"* Select shipping method", "* Izvēlēties kuģniecības metode"
"2Day", "2day"
"2nd Day Air", "2nd diena Air"
"2nd Day Air AM", "2nd diena Air AM"
"3 Day Select", "3 diena Izvēlieties"
"<br />Warning: <strong>%s</strong><br />", "<br /> Brīdinājums: <strong>% s </ strong> <br />"
"<strong style=""color:red"">Warning!</strong> This option disables the merchant calculated shipping. With this option, "<strong Style=""color:red""> Brīdinājums </ strong>! Šī opcija atspējo tirgotāja aprēķināto kuģošanu. Ar šo opciju
"A virtual item to reflect the discount total", "Virtuālā postenis, lai atspoguļotu atlaižu kopsumma"
"A virtual item to reflect the tax total", "Virtuālā vienība, kas atspoguļo nodokļu kopsummu"
"AVS Status: %s", "AVS Statuss:% s"
"Add Shipping Method", "Pievienot Piegādes veids"
"Allowed Methods", "Atļauts metodes"
"Amount: %s", "Summa:% s"
"Auto-generated from GoogleCheckout Charge", "Auto-ģenerē GoogleCheckout maksa"
"Buyer Account Age: %s days", "Pircējs konts Vecums:% s dienas"
"CC Partial: xxxx-%s", "CC Daļēja: xxxx-% s"
"CID Status: %s", "CID Statuss:% s"
"Carrier Calculated Methods", "Pārvadātājs Aprēķinātās metodes"
"Cart Discount", "Pirkumu Atlaide"
"Checkout Image Style", "Noformēt Attēla stils"
"Commercial", "Tirdzniecības"
"Continue Shopping URL", "Turpināt Iepirkumu URL"
"Credit memo has been created automatically", "Kredītrēķins ir izveidota automātiski"
"Debug", "Atkļūdošanas"
"Default Package Height (in)", "Noklusētā pakete Augstums ()"
"Default Package Length (in)", "Noklusētā pakete garums (in)"
"Default Package Width (in)", "Noklusētā pakete Platums ()"
"Default Price for Methods", "Noklusētā Cena par metodēm"
"Default price:", "Noklusējuma cena"
"Delivery Address Category", "Piegādes adrese kategorijas"
"Delivery Schedule", "Piegāde Kalendārs"
"Description-based delivery", "Apraksts bāzes piegāde"
"Disable Default Tax Tables", "Izslēgt noklusējuma nodokļa tabulas"
"Discount Tax", "Atlaide nodokli"
"Eligible for Protection: %s", "Tiesības uz aizsardzību:% s"
"Email delivery", "E-pasta piegāde"
"Enable", "Aktivizēt"
"Enable Carrier Calculated", "Aktivizēt Pārvadātājs Aprēķinātais"
"Enable Digital Delivery", "Aktivizēt digitālā piegāde"
"Enable Flat Rate", "Aktivizēt Flat Rate"
"Enable Merchant Calculated", "Aktivizēt Tirgotāju Aprēķinātais"
"Enable this if your checkout request is too big and being cut off.", "Aktivizēt šo, ja jūsu Checkout pieprasījums ir pārāk liels un tiek nogrieztas."
"Expiration: %s", "Derīguma:% s"
"Express Mail", "Express Mail"
"Express Saver", "Express Saver"
"FedEx", "FedEx"
"Financial: %s -> %s", "Finanšu:% s ->% s"
"First Overnight", "Pirmā nakšņošanas"
"Free Shipping", "Bezmaksas piegāde"
"Fulfillment: %s -> %s", "Gandarījums:% s ->% s"
"Google API", "Google API"
"Google Authorization:", "Google Autorizācijas:"
"Google Buyer ID: %s", "Google Pircējs ID:% s"
"Google Charge:", "Google maksa:"
"Google Chargeback:", "Google Reklamāciju:"
"Google Checkout", "Google Checkout"
"Google Checkout Shipping - Carrier Calculated", "Google Checkout Kuģniecības - nesošā Aprēķinātais"
"Google Checkout Shipping - Digital Delivery", "Google Checkout Kuģniecības - digitālā piegāde"
"Google Checkout Shipping - Flat Rate", "Google Checkout Kuģniecības - vienotas likmes"
"Google Checkout Shipping - Merchant Calculated", "Google Checkout Kuģniecības - Tirgotāju Aprēķinātais"
"Google Checkout: %s", "Google Checkout:% s"
"Google Order Number: %s", "Google pasūtījuma numurs:% s"
"Google Order Status Change:", "Google pasūtījuma statuss Mainīt:"
"Google Refund:", "Google kompensācija:"
"Google Risk Information:", "Google riska informācijas:"
"Ground", "Zeme"
"Hide Cart Contents", "Hide Grozs"
"Home Delivery", "Mājas piegāde"
"IP Address: %s", "IP adrese:% s"
"If enabled, "Ja aktivizēts
"Inches", "Collas"
"Invoice Auto-Created: %s", "Rēķinu Auto-Izveidots:% s"
"Is Buyer Willing to Receive Marketing Emails: %s", "Vai Pircējs vēlas saņemt Marketing e-pastus:% s"
"Key/URL delivery", "Atslēgas / URL piegāde"
"Large - %s", "Liels -% s"
"Latest Charge: %s", "Jaunākās maksa:% s"
"Latest Chargeback: %s", "Jaunākās Reklamāciju:% s"
"Latest Refund: %s", "Jaunākās kompensācija:% s"
"Location", "Atrašanās vieta"
"Media Mail", "Mediju Pasts"
"Medium - %s", "Vidēja -% s"
"Merchant ID", "Tirgotāja ID"
"Merchant Key", "Komersants atslēga"
"Method", "Metode"
"New Order Status", "Jaunā pasūtījuma statuss"
"Next Day Air", "Nākamā diena Air"
"Next Day Air Early AM", "Nākamā diena Air Agri AM"
"Next Day Air Saver", "Nākamā diena Air Saver"
"No", "Nē"
"No Comment", "No comment"
"No Reason", "Bez iemesla"
"Optimistic", "Optimistisks"
"Optional, "Izvēles
"Order creation error", "Pasūtījuma izveides kļūda"
"Parcel Post", "Pasta paku"
"Pessimistic", "Pesimistiskā"
"Priority Mail", "Prioritāte Pasts"
"Priority Overnight", "Prioritāte Overnight"
"Rate 1 Amount", "Likme 1 Summa"
"Rate 1 Ship To Applicable Countries", "Likme 1 Kuģa piemērojamos valstīs"
"Rate 1 Ship to Specific Countries", "Likme 1 Kuģis uz konkrētām valstīm"
"Rate 1 Title", "Likme 1 Nosaukums"
"Rate 2 Amount", "Likme 2 Summa"
"Rate 2 Ship To Applicable Countries", "Likme 2 Kuģa piemērojamos valstīs"
"Rate 2 Ship to Specific Countries", "Likme 2 Kuģa uz konkrētām valstīm"
"Rate 2 Title", "Likme 2 Nosaukums"
"Rate 3 Amount", "Likme 3 Summa"
"Rate 3 Ship To Applicable Countries", "Likme 3 Kuģa piemērojamos valstīs"
"Rate 3 Ship to Specific Countries", "Likme 3 Kuģis uz konkrētām valstīm"
"Rate 3 Title", "Likme 3 Nosaukums"
"Required for live Google Checkout transactions. Make sure that this option corresponds to Use Secure URLs in Frontend (""Web"" > ""Secure"").", "Nepieciešams dzīvu Google Checkout darījumu Pārliecinieties, ka šī iespēja atbilst Izmantojiet Secure URL priekšpuseName. (" "Tīmekļa" ">" "Secure" ")."
"Residential", "Dzīvojamo"
"Sandbox", "Sandbox"
"Secure Callback URL", "Droši Atzvans URL"
"Small - %s", "Mazs -% s"
"Standard Overnight", "Standarta Overnight"
"The tax amount has been applied based on the information received from Google Checkout, "Nodokļa summa ir piemērots, pamatojoties uz informāciju, kas saņemta no Google Checkout
"Title", "Nosaukums"
"Total Chargeback: %s", "Kopā Reklamāciju:% s"
"Total Charged: %s", "Pavisam Charged:% s"
"Total Refunded: %s", "Kopā Atmaksāts:% s"
"Transparent", "Caurspīdīga"
"UPS", "UPS"
"USPS", "USPS"
"United Kingdom", "Apvienotā Karaliste"
"United States", "Amerikas Savienotās Valstis"
"Unknown Reason", "Nezināma iemesla dēļ"
"White Background", "White Background"
"Yes", "Jā"
"You will be redirected to GoogleCheckout in a few seconds.", "Jums tiks novirzīts uz GoogleCheckout pēc dažām sekundēm."
