
" in rows: ", "Rindās:"
"-- Please Select --", "- Lūdzu izvēlieties -"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract", "Adapteris jābūt instance Mage_ImportExport_Model_Import_Adapter_Abstract"
"Adapter type must be a non empty string", "Adapteris veida jābūt bez tukša virkne"
"Can not determine attribute filter type", "Nevar noteikt atribūtu filtra tips"
"Can not find required columns: ", "Nevar atrast nepieciešamo kolonnas:"
"Can not get autoincrement value", "Nevar iegūt autoincrement vērtību"
"Check Data", "Pārbaudīt Data"
"Column names have duplicates", "Kolonnu nosaukumi ir dublikātus"
"Column names is empty or is not an array", "Kolonnu nosaukumi ir tukšs vai nav masīvs"
"Column names: ""%s"" are invalid", "Kolonnu nosaukumi:" "% s" "ir nederīgs"
"Continue", "Turpināt"
"Data is invalid or file is not uploaded", "Dati ir nederīgs vai fails nav augšupielādēts"
"Destination directory is not writable", "Galamērķis direktorijā nav rakstāma"
"Destination file is not writable", "Galamērķis fails nav rakstāms"
"Destination file path must be a string", "Galamērķis faila ceļš jābūt virkne"
"Entity Attributes", "Uzņēmums īpašības"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract", "Vienību adapteris objektam jābūt instance Mage_ImportExport_Model_Import_Entity_Abstract"
"Entity is unknown", "Vienība ir zināms"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract", "Uzņēmējdarbības veids modelim jābūt instance Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract", "Uzņēmējdarbības veids modelim jābūt instance Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract"
"Error in data structure: behaviors are mixed", "Kļūda datu struktūra: uzvedība ir jaukts"
"Error in data structure: entity codes are mixed", "Kļūda datu struktūra: uzņēmums kodi tiek sajaukti"
"Export", "Eksporta"
"Export FAQ", "Eksporta Kontakti"
"FAQ", "Jautājumi"
"File does not contain data. Please upload another one", "Fails nesatur datus. Lūdzu augšupielādēt citu"
"File format is unknown", "Failu formāts ir zināms"
"File is partially valid, "Fails ir daļēji derīgs
"File is totally invalid. Please fix errors and re-upload file", "Fails ir pilnīgi nederīgs. Lūdzu noteikt kļūdas un atkārtoti augšupielādēt failu"
"File is valid! To start import process press ""Import"" button", "Fails ir derīgs! Lai sāktu importēšanu nospiediet" "imports" "poga"
"File is valid, "Fails ir derīga
"Header column names already set", "Header kolonnu nosaukumi jau noteikti"
"Import", "Imports"
"Import / Export FAQ (Frequently Asked Questions)", "Imports / Eksports BUJ (Biežāk uzdotie jautājumi)"
"Import FAQ", "Importēt Jautājumi"
"Import successfully done.", "Importēt veiksmīgi izdarīts."
"Import/Export", "Imports / Eksports"
"In/Out", "In / Out"
"Input entity code is not equal to entity adapter code", "Ieejas vienība kods nav vienāds ar uzņēmuma adaptera kodu"
"Invalid entity", "Nepareiza vienība"
"Invalid file format", "Nederīgs faila formāts"
"Invalid parameters", "Nederīgi parametri"
"Invalid seek position", "Nepareiza meklēt stāvokli"
"Invalid value for '%s'", "Nepareiza vērtība '% s'"
"No filter data provided", "Nav filtrēt datus sniedz"
"No source specified", "Nav avots norādīts"
"No valid data sent", "Nav derīgu datu nosūtīts"
"No writer specified", "Nav rakstnieks norādīts"
"Node does not has model token tag", "Mezgls nav ir modelis simbolisku frāzi"
"Not implemented yet", "Nav īstenoti vēl"
"Please fix errors and re-upload file", "Lūdzu noteikt kļūdas un atkārtoti augšupielādēt failu"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors", "Lūdzu noteikt kļūdas un atkārtoti augšupielādēt failu vai vienkārši nospiediet" "imports" "pogu, lai izlaistu rindas ar kļūdām"
"Some other FAQ", "Daži citi Kontakti"
"Source file moving failed", "Avota fails pārvietojas neizdevās"
"Source file path must be a string", "Avots faila ceļš jābūt virkne"
"Source is not set", "Avots nav iestatīts"
"Status", "Statuss"
"System busy", "Sistēma aizņemta"
"There are no product types available for export", "Nav produktu veidi pieejami eksportam"
"Total size of uploadable files must not exceed %s", "Kopējais izmērs augšupielādējamās failiem nedrīkst pārsniegt% s"
"Uploaded file has no extension", "Augšuplādēts fails nav paplašinājums"
"Validation Results", "Pārbaudes rezultāti"
