
"%s Index process is working now. Please try run this process later.", "%s indekss process strādā tagad Lūdzu, mēģiniet palaist šo procesu vēlāk.".
"%s index was rebuilt.", "%s indekss tika pārbūvēts."
"'%s' Index Process Information", "'%s' indekss process informācija"
"Action", "Darbība"
"Cannot initialize the indexer process.", "Nevar inicializēt rādītāja procesu."
"Change Index Mode", "Mainīt Index Mode"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.", "Uzklikšķināt šeit, lai dotos uz <a href=""%s""> Cache Management </ a> un atsvaidzināt cache veidu."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.", "Uzklikšķināt šeit, lai dotos uz <a href=""%s""> Index vadība </ a> un atjaunot nepieciešamo indeksi."
"Delete", "Dzēst"
"Description", "Apraksts"
"Disable", "Izslēgt"
"Enable", "Aktivizēt"
"General", "General"
"Index", "Index"
"Index Description", "Index Apraksts"
"Index Management", "Indekss vadība"
"Index Mode", "Indekss režīms"
"Index Name", "Index Vārds"
"Index mode", "Index režīmā"
"Indexer code is not defined.", "Rādītāja kods nav definēts."
"Indexer model is not defined.", "Rādītāja modelis nav definēts."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.", "Rādītāja modelim vajadzētu paplašināt Mage_Index_Model_Indexer_Abstract."
"Manual Update", "Rokasgrāmata Update"
"Mode", "Mode"
"Never", "Nekad"
"No", "Nē"
"One or more of the Indexes are not up to date:", "Vienu vai vairākas indeksu nav aktuāli:"
"Please select Index(es)", "Lūdzu, izvēlieties indeksu (s)"
"Please select Indexes", "Lūdzu, izvēlieties indeksi"
"Process Information", "Process informācija"
"Processing", "Apstrāde"
"Ready", "Gatavs"
"Refresh", "Atsvaidzināt"
"Reindex Data", "Reindex dati"
"Reindex Required", "Reindex Nepieciešama"
"Revoke", "Atsaukt"
"Status", "Statuss"
"System", "Sistēma"
"The index has been saved.", "Indekss ir saglabāts."
"There was a problem with reindexing process.", "Tur bija ar reindexing procesu problēma."
"There was a problem with saving process.", "Tur bija ar glābšanas process problēma."
"Total of %d index(es) have changed index mode.", "Kopā% d indeksa (-es) ir mainījušies indeksa režīmā."
"Total of %d index(es) have reindexed data.", "Kopā% d indeksa (-es) ir reindexed datus."
"Update Required", "Update Nepieciešama"
"Update on Save", "Atjaunināt uz Saglabāt"
"Updated At", "Atjaunots Pie"
"Yes", "Jā"
