
"(Make sure you keep it in a safe place.)", "(Pārliecinieties, ka jums saglabāt to drošā vietā.)"
"(Optional. Leave blank for no prefix)", "(Obligāti Atstājiet tukšu bez kodu)"
"(ver. %s)", "(Ver.% s)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, "Papildus ceļš pievieno pēc Base URL, lai piekļūtu jūsu administratīvo paneli (piemēram, admin
"Admin Path", "Administratora Ceļš"
"After successfull installation please click the button below.", "Pēc veiksmīgas uzstādīšanas, lūdzu, klikšķiniet uz pogas zemāk."
"All packages were installed, "Visas pakas tika uzstādīts
"Alternatively you could try the 'Manual Downloads and Upgrades' method.", "Alternatīvi jūs varētu mēģināt" manuālā Ielāde un modernizāciju "metodi."
"Base URL", "Bāzes URL"
"Before you continue to your store, "Pirms jūs turpināt savu veikalu
"Check out our", "Pārbaudiet mūsu"
"Check this box only if it is not possible to automatically validate Secure URL, "Pārbaudiet šo lodziņu tikai tad, ja tas nav iespējams automātiski apstiprināt Secure URL
"Check this box only if it is not possible to automatically validate the Base URL.", "Pārbaudiet šo lodziņu tikai tad, ja tas nav iespējams, lai automātiski apstiprināt Base URL."
"Choose this if you would like to test frontend and backend functionality.", "Izvēlies šo, ja jūs vēlaties, lai pārbaudītu Frontend un backend funkcionalitāti."
"Configuration", "Konfigurācija"
"Confirm Password", "Apstiprināt paroli"
"Connection", "Savienojums"
"Continue", "Turpināt"
"Continue After Manual Download", "Turpināt Pēc Manual Download"
"Continue Full Download / SVN Installation", "Turpināt Full Download / svn instalāciju"
"Create Admin Account", "Izveidot Admin kontu"
"Currently this is the most stable state available for Magento packages.", "Pašlaik tas ir ļoti stabils valsts pieejami Magento paketes."
"Database", "Datu bāze"
"Database Connection", "Datubāze Savienojums"
"Database Name", "Datubāzes nosaukums"
"Database Name cannot be empty.", "Datubāzes nosaukums nevar būt tukšs."
"Database Type", "Datubāzes Tips"
"Database connection error.", "Datubāzes savienojuma kļūda."
"Database host", "Datubāzes uzņēmēja"
"Database server does not support the InnoDB storage engine.", "Datubāzes serveris neatbalsta InnoDB uzglabāšanas dzinēju."
"Database user name", "Datubāzes lietotāja vārdu"
"Database user password", "Datubāzes lietotāja parole"
"Default Currency", "Noklusētais Valūta"
"Download", "Download"
"Download Magento Core Modules and Updates", "Download Magento moduļus un jauninājumus"
"Downloading and installing Magento, "Lejupielāde un instalēšana Magento
"Email", "E"
"Email Address", "E-pasta adrese"
"Enable Charts", "Aktivizēt Charts"
"Enable this option if you want the charts to be displayed on Dashboard.", "Ieslēdziet šo opciju, ja vēlaties, lai diagrammas, kas redzams uz paneļa."
"Enable this option only if you have SSL available.", "Ieslēdziet šo opciju tikai tad, ja jums ir SSL pieejams."
"Encryption Key", "Šifrēšanas atslēga"
"File System", "Failu sistēma"
"First Name", "Vārds"
"Full Download / SVN Installation", "Full Download / SVN uzstādīšana"
"Get ready to experience Open-Source eCommerce Evolved.", "Get gatavi piedzīvot atvērtā koda attīstījusies e-komerciju."
"Go to Backend", "Iet uz aizmuguri"
"Go to Frontend", "Iet uz priekšpuseName"
"Having trouble installing Magento?", "Ņemot problēmas ar instalēšanu Magento?"
"Help Us to Keep Magento Healthy", "Palīdzēs mums saglabāt Magento veselīga"
"Host", "Host"
"I agree to the above terms and conditions.", "Es piekrītu šiem noteikumiem un nosacījumiem."
"If you are a developer and would like to have the latest public updates, "Ja jūs esat izstrādātājs, un vēlētos, lai būtu jaunākās sabiedriskās atjauninājumus
"If you are running PHP as CGI, "Ja jūs izmantojat PHP kā CGI
"If you are running the install wizard over a previously downloaded and installed Magento installation, "Ja jūs izmantojat instalācijas vedni virs iepriekš lejupielādēts un uzstādīts Magento uzstādīšanu
"If you do not wish or are not able to have Magento folders writeable for the web process, "Ja jūs nevēlaties vai nevarat būt Magento mapes rakstāms par mājas procesā
"If you have downloaded the full package or installed Magento through SVN, "Ja jums ir lejupielādēt pilnu paketi vai uzstādīts Magento caur SVN
"If you wish to manage Magento packages through the web admin interface, "Ja jūs vēlaties vadīt Magento paketes caur web admin interfeisu
"If your server is running on MS Windows, "Ja jūsu serveris darbojas uz MS Windows
"In other cases you will need to make Magento files writeable for the user that the web server process is running under.", "Citos gadījumos jums būs nepieciešams veikt Magento failus rakstāms piemērots lietotājiem, kas tīmekļa serveris process darbojas saskaņā ar."
"Installation", "Uzstādīšana"
"Installation Guide", "Instalācijas rokasgrāmata"
"Installer does not exist for %s database type", "Installer nepastāv% s datubāzes tipa"
"Last Name", "Uzvārds"
"License Agreement", "Licences līgums"
"Locale", "Lokalizācija"
"Locale settings", "Lokalizācijas iestatījumus"
"Localization", "Lokalizācija"
"Login Information", "Ieejas informācija"
"Magento", "Magento"
"Magento Connect Manager Deployment", "Magento Connect vadītājs ieviešana"
"Magento Installation Wizard", "Magento instalēšanas vednis"
"Magento is a trademark of Magento Inc. Copyright &copy; %s Magento Inc.", "Magento ir preču zīme Magento Inc Copyright ©% s Magento Inc"
"Magento uses this key to encrypt passwords, "Magento izmanto šo taustiņu, lai šifrētu paroles
"Manual Downloads and Upgrades", "Manuālā lejupielādes un papildinājumi"
"No resource for %s DB model.", "Nav resurss% s DB modeli."
"One of PHP Extensions ""%s"" must be loaded.", "Viens no PHP paplašinājumu" "% s" "jānoslogo."
"PHP Extension '%s' loaded", "PHP paplašinājums '% s' piekrauts"
"PHP Extensions ""%s"" must be loaded.", "PHP paplašinājumu" "% s" "jānoslogo."
"PHP extension ""%s"" must be loaded.", "PHP paplašinājums" "% s" "jānoslogo."
"Package Management through the Web", "Iepakojums vadība, izmantojot Web"
"Password", "Parole"
"Password Confirmation", "Parole apstiprināšana"
"Path ""%s"" must be writable.", "Ceļš" "% s" "jābūt rakstāms."
"Personal Information", "Personīgā informācija"
"Please correct the user data and try again.", "Lūdzu izlabojiet lietotāja datus un mēģiniet vēlreiz."
"Please make sure that <code>mod_rewrite</code> is enabled in Apache configuration.", "Lūdzu pārliecinieties, ka <code> mod_rewrite </ code> ir iespējots Apache konfigurācija."
"Please note that it is much less stable than beta.", "Lūdzu, ņemiet vērā, ka tas ir daudz mazāk stabils nekā beta."
"Please note that only UNIX, "Lūdzu, ņemiet vērā, ka tikai UNIX
"Please set all required settings before clicking Continue", "Lūdzu noteikt visus nepieciešamos iestatījumus, pirms noklikšķinot Turpināt"
"Preferred stability: %s", "Ieteicamais stabilitāte:% s"
"Proceed With Automatic Download (%s)", "Rīkoties ar automātisko Download (% s)"
"Provide a complete base URL for SSL connection. For example: %s", "Sniegt pilnu bāze URL SSL savienojumu. Piemēram:% s"
"Report All Bugs", "Ziņot visas kļūdas"
"Required Fields", "Nepieciešamie lauki"
"Response from server isn't valid.", "Atbilde no servera nav derīgs."
"Run admin interface with SSL", "Run admin interfeisu ar SSL"
"Run this in your shell from Magento root folder:", "Run tas savā čaulā no Magento saknes mapē:"
"Save Session Data In", "Saglabāt sesiju datiem In"
"Save Session Files In", "Saglabāt sesiju Faili"
"Secure Base URL", "Droši Bāzes URL"
"Session Storage Options", "Sesijas saglabāšana opcijas"
"Setting preferred state to: %s", "Setting vēlamo stāvokli uz:% s"
"Skip Base URL Validation Before the Next Step", "Pāriet Base URL validācija ar nākamo soli"
"Skip Secure URL validation before next step", "Pāriet Secure URL validācija pirms nākamā soļa"
"Tables Prefix", "Galdi Prefikss"
"The URL ""%s"" is invalid.", "URL" "% s" "ir nederīgs."
"The URL ""%s"" is not accessible.", "URL" "% s" "nav pieejama."
"The database server version doesn't match system requirements (required: %s, "Bāzes serveris versija neatbilst sistēmas prasībām (nepieciešams:% s
