
" Copy", "Copy"
"Action", "Darbība"
"Add New Template", "Pievienot jaunu veidni"
"Add to Queue", "Pievienot rindas"
"Allow Guest Subscription", "Atļaut Klientu abonementu"
"An error occurred while saving your subscription.", "Kļūda saglabājot savu abonementu."
"Are you sure that you want to delete this template?", "Vai esat pārliecināts, ka vēlaties dzēst šo veidni?"
"Are you sure that you want to strip all tags?", "Vai esat pārliecināts, ka jūs vēlaties, lai sloksnes visas atzīmes?"
"Back", "Atpakaļ"
"Cancel", "Atcelt"
"Cancelled", "Atcelts"
"Cannot mark as received subscriber.", "Vai nav zīme, kā saņemta abonents."
"Confirmation Email Sender", "Apliecinājums pasta sūtītājs"
"Confirmation Email Template", "Apliecinājums e-pasta veidne"
"Confirmation request has been sent.", "Apliecinājums pieprasījums ir nosūtīts."
"Convert to Plain Text", "Konvertēt uz vienkāršu tekstu"
"Create Newsletter Template", "Izveidot Newsletter Template"
"Customer", "Klients"
"Customer First Name", "Klientu Vārds"
"Customer Last Name", "Klientu Uzvārds"
"Customer My Account Newsletter Subscriptions", "Klientu Mans konts biļetena abonēšana"
"Date Added", "Pievienots"
"Date Updated", "Datums Atjaunots"
"Delete", "Dzēst"
"Delete Selected Problems", "Dzēst atlasītos problēmas"
"Delete Template", "Dzēst veidni"
"Do you really want to cancel the queue?", "Vai jūs tiešām vēlaties atcelt rindā?"
"Duplicate template code.", "Dublikāts veidņu kodu."
"Edit Newsletter", "Labot Newsletter"
"Edit Newsletter Template", "Labot Newsletter Template"
"Edit Queue", "Rediģēt rindas"
"Edit Template", "Rediģēt veidni"
"Email", "E"
"Enter your email address", "Ievadiet savu e-pasta adresi"
"Error Code", "Kļūdas kods"
"Error Text", "Kļūda Teksts"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>", "Šo saiti, lai atrakstīties <- Šis tags ir atrakstīties saite -> <a href=""{{var subscriber.getUnsubscriptionLink()}}""> {{var subscriber.getUnsubscriptionLink ()}} </ > "
"Guest", "Guest"
"ID", "ID"
"Invalid queue selected.", "Nepareiza rinda izvēlēts."
"Invalid subscription ID.", "Nepareiza abonēšanas ID."
"Invalid subscription confirmation code.", "Nepareiza abonēšanas apstiprinājuma kodu."
"Message", "Ziņu"
"Need to Confirm", "Nepieciešams apstiprināt"
"New Newsletter Template", "Jaunā biļetens veidne"
"New Template", "Jauna veidne"
"Newsletter", "Biļetens"
"Newsletter Message Preview", "Biļetens Ziņojuma priekšskatījums"
"Newsletter Problem Reports", "Jaunumi Problēma ziņojumi"
"Newsletter Queue", "Biļetens rinda"
"Newsletter Section", "Biļetens sadaļa"
"Newsletter Sign-up:", "Biļetens pierakstīšanās:"
"Newsletter Styles", "Jaunumi stili"
"Newsletter Subscribers", "Jaunumi Reģistrētiem"
"Newsletter Subscription", "Jaunumiem"
"Newsletter Subscription Form Before", "Jaunumiem forma Pirms"
"Newsletter Subscriptions", "Pieraksts jaunumiem"
"Newsletter Templates", "Biļetens veidnes"
"Newsletter subscription confirmation", "Jaunumu abonēšana apstiprinājums"
"Newsletter subscription success", "Jaunumu abonēšana veiksme"
"Newsletter unsubscription success", "Biļetens abonēšanas veiksme"
"No Templates Found", "Nav Veidnes Found"
"No problems found.", "Problēmas nav atrasts."
"No subscribers selected.", "Nav abonenti izvēlēts."
"Not Activated", "Nav Aktivizēts"
