
"%name% '%value%' is too long. It must has length %min% symbols.", "% Name% '% vērtība%" ir pārāk garš Tai ir garums% Min% simboliem. ".
"%name% '%value%' is too short. It must has length %min% symbols.", "% Name% '% vērtība%" ir pārāk īss Tai ir garums% Min% simboliem. ".
"* Required Fields", "* Obligātie lauki"
"<strong>%s</strong> requests access to your account", "<strong>%s </ strong> pieprasa piekļuvi jūsu kontam"
"Admin", "Admin"
"After authorization application will have access to you account.", "Pēc atļaujas pieteikumu būs pieejami jums konta."
"An error occurred on confirm authorize.", "Kļūda uz apstiprinātu atļaut."
"An error occurred on delete action.", "Kļūda notikusi dzēst rīcību."
"An error occurred on delete application.", "Kļūda notikusi dzēst pieteikumu."
"An error occurred on reject authorize.", "Kļūda notikusi noraidīt atļaut."
"An error occurred on saving consumer data.", "Kļūda taupīšanu patērētāju datus."
"An error occurred on update revoke status.", "Kļūda par atjauninātu atsaukt statusu."
"An error occurred while deleting the consumer.", "Kļūda dzēšot patērētājam."
"An error occurred.", "Kļūda."
"An error occurred. Your authorization request is invalid.", "Kļūda Jūsu atļaujas pieprasījums ir nederīgs.".
"App Name", "App nosaukums"
"Application ""%s"" has been deleted.", "Pieteikums" "% s" "ir svītrots."
"Application ""%s"" has been enabled.", "Pieteikums" "% s" "ir iespējota."
"Application ""%s"" has been revoked.", "Pieteikums" "% s" "tika atsaukts."
"Application Name", "Pieteikums Vārds"
"Application not found.", "Pieteikums nav atrasts."
"Are you sure you want to delete this application?", "Vai tiešām vēlaties dzēst šo programmu?"
"Are you sure you want to disable this application?", "Vai tiešām vēlaties atslēgt šo pieteikumu?"
"Are you sure you want to enable this application?", "Vai tiešām jūs vēlaties, lai dotu šo pieteikumu?"
"Authorization confirmed", "Autorizācijas apstiprināja"
"Authorization confirmed.", "Atļauja apstiprināta."
"Authorize", "Autorizēties"
"Authorize application", "Autorizēties pieteikums"
"Authorized Tokens", "Atļautā Tokens"
"Callback URL", "Atzvans URL"
"Cleanup Probability", "Talkas Varbūtība"
"Cleanup Settings", "Tīrīšanas iestatījumi"
"Close", "Aizvērt"
"Confirm OAuth token authorization", "Apstiprināt OAuth simbolisku atļauju"
"Confirm token authorization Pop Up for admin", "Apstiprināt atgādinājumu atļauju Pop Up admin"
"Confirm token authorization for admin", "Apstiprināt atgādinājumu atļauju admin"
"Confirmation Of Authorization", "Apliecinājums par atļaujas"
"Consumer Information", "Patērētāju informācija"
"Consumer Name", "Patērētāju Vārds"
"Consumers", "Patērētāji"
"Created At", "Izveidota"
"Customer", "Klients"
"Customer My Account My OAuth Applications", "Klientu Mans konts OAuth Pieteikumi"
"Delete", "Dzēst"
"Disable", "Izslēgt"
"Disabled", "Disabled"
"Edit", "Edit"
"Edit Consumer", "Labot patērētājs"
"Email", "E"
"Email Address", "E-pasta adrese"
"Enable", "Aktivizēt"
"Enabled", "Enabled"
"Entry with ID #%s not found.", "Ieraksts ar ID #% s nav atrasts."
"Expiration Period", "Derīguma termiņš"
"Give the verifier code to application administrator", "Dodiet, verificētājam kodu pieteikumu administrators"
"ID", "ID"
"Invalid Callback URL", "Nepareiza Atzvans URL"
"Invalid ID parameter.", "Nepareiza ID parametrs."
"Invalid Rejected Callback URL", "Nepareiza Noraidīts Atzvans URL"
"Invalid entry ID.", "Nepareiza ierakstu ID."
"Invalid revoke status.", "Nepareiza atsaukt statusu."
"Key", "Atslēga"
"Log In", "Pieteikties"
"Log in as a customer", "Pieteikties kā klients"
"Log in as admin", "Pieteikties kā admin"
"Log in as customer", "Pieteikties kā klients"
"Log in to use <strong>%s</strong>", "Pieteikties lietot <strong>% s </ strong>"
"Login", "Pieteikšanās"
"My Applications", "Mani pieteikumi"
"Name", "Nosaukums"
"New Consumer", "Jaunā Patērētāju"
"OAuth", "OAuth"
"OAuth Admin My Apps", "OAuth Admin Manas programmas"
"OAuth Authorized Tokens", "OAuth pilnvarotais Tokens"
"OAuth Consumers", "OAuth Patērētāji"
"OAuth authorization Pop Up for customer", "OAuth atļauja Pop Up klientam"
"OAuth authorization for admin", "OAuth atļauja admin"
"OAuth authorization for customer", "OAuth atļauju klientam"
"OAuth authorization simple for admin", "OAuth atļauja vienkāršs admin"
"Password", "Parole"
"Permissions", "Atļaujas"
"Please login to proceed authorization.", "Lūdzu autorizēties, lai turpinātu atļauju."
"Please select needed row(s).", "Lūdzu, izvēlieties nepieciešamo rindu (as)."
"Please select revoke status.", "Lūdzu izvēlieties atsaukt statusu."
"REST - My Apps", "ATPŪTAS - My Apps"
"REST - OAuth Authorized Tokens", "ATPŪTAS - OAuth Authorized Žetoni"
"REST - OAuth Consumers", "ATPŪTAS - OAuth Patērētāji"
"Reject", "Noraidīt"
"Reject OAuth token authorization", "Noraidīt OAuth simbolisku atļauju"
"Reject authorization", "Noraidīt atļauju"
"Reject token authorization Pop Up for admin", "Noraidīt atgādinājumu atļauju Pop Up admin"
"Reject token authorization for admin", "Noraidīt atgādinājumu atļauju admin"
"Rejected Callback URL", "Noraidīts Atzvans URL"
"Rejection Of Authorization", "Noraidīšana Autorizācija"
"Revoked", "Anulēta"
"Role Name", "Loma Vārds"
"Save", "Saglabāt"
"Save and Continue Edit", "Saglabāt un turpināt rediģēt"
"Secret", "Secret"
"Selected entries enabled.", "Atlasīti ieraksti iespējots."
"Selected entries has been deleted.", "Atlasīti ieraksti ir dzēsts."
"Selected entries revoked.", "Atlasīti ieraksti anulēts."
"Status", "Statuss"
"System", "Sistēma"
"The application access request is rejected.", "Pieteikums piekļuves lūgums ir noraidīts."
"The consumer has been deleted.", "Patērētājs ir dzēsts."
"The consumer has been saved.", "Patērētājs ir saglabāts."
"Token Status Change", "Pilnvara statuss maiņa"
"Token Status Change Email Template", "Pilnvara statuss Mainīt e-pasta veidne"
"Unable to find a consumer.", "Nevar atrast patērētājam."
"User ID", "Lietotāja ID"
"User Name", "Lietotāja vārds"
"User Type", "Lietotāja veids"
"Verifier code: %s", "Verificētājs kods:% s"
"You have no applications.", "Jums nav programmas."
"deleted", "Svītrots"
"enabled", "Ļāva"
"revoked", "Anulēts"
