
"An error occurred while clearing the external full page cache.", "Kļūda mijieskaita ārējo pilnu lapu kešatmiņu."
"Cookie Lifetime (seconds)", "Cookie Mūža (sekundes)"
"Enable External Cache", "Aktivizēt Ārējās Cache"
"External Cache Control", "Ārējā Cache kontrole"
"External Full Page Cache Settings", "Ārējie Full Page Cache Settings"
"External full page cache.", "Ārējā pilnas lapas kešatmiņu."
"Failed to load external cache control", "Neizdevās ielādēt ārēju cache kontroli"
"Flush External Page Cache", "Flush ārējas lapas Cache"
"If empty, "Ja tukša
"The external full page cache has been cleaned.", "Ārējā pilna lapa kešatmiņa ir iztīrīti."
"Zend Full Page Cache", "Zend Full Page Cache"
