
"3D Secure", "3D Secure"
"3D Secure Card Validation", "3D Secure karte validācija"
"API Login ID", "API Pieteikšanās ID"
"Accepted Currency", "Pieņemts Valūta"
"Allow Partial Authorization", "Atļaut daļēju atļauju"
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.", "Vai tiešām vēlaties atcelt savu maksājumu, noklikšķiniet uz Labi, lai atceltu jūsu maksājumu un atbrīvot summu aizturēts.? Uz Atcelt, lai ievadītu citu kredītkarti un turpināt ar savu maksājumu."
"Authorize Only", "Atļauj tikai"
"Authorize and Capture", "Autorizēties un Capture"
"Authorize.Net Transaction ID %s", "Authorize.Net Darījuma ID% s"
"Authorize.net", "Authorize.net"
"Cancel", "Atcelt"
"Centinel API URL", "Centinel API URL"
"Credit Card Types", "Credit Card veidi"
"Credit Card Verification", "Kredītkarte pārbaude"
"Credit Card: xxxx-%s", "Kredītkarte: xxxx-% s"
"Debug", "Atkļūdošanas"
"Email Customer", "E-Klients"
"Enabled", "Enabled"
"Error in payment gateway.", "Kļūda maksājumu vārti."
"Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s).", "Gateway rīcība ir bloķēti, jo vārti nevar pabeigt vienu vai vairākus darījumus, lūdzu, piesakieties savā Authorize.Net kontā manuāli atrisinātu jautājumu (-s).".
"Gateway error: %s", "Gateway kļūda:% s"
"If empty, "Ja tukša
"Invalid amount for authorization.", "Nepareiza summa atļaujas."
"Invalid amount for capture.", "Nepareiza summa sagūstīt."
"Invalid amount for partial authorization.", "Nepareiza summa daļēju atļauju."
"Invalid amount for refund.", "Nepareiza summa kompensāciju."
"Invalid split tenderId ID.", "Nepareiza sadalīt tenderId ID."
"Maximum Order Total", "Maksimālais rīkojums Kopā"
"Merchant's Email", "Komersanta Nosūtīt"
"Minimum Order Total", "Minimālais pasūtījuma Kopā"
"New Order Status", "Jaunā pasūtījuma statuss"
"Payment Action", "Maksājumu darbība"
"Payment authorization error.", "Maksājumu atļauja kļūda."
"Payment canceling error.", "Maksājumu atcelšana kļūda."
"Payment capturing error.", "Maksājumu notveršanā kļūda."
"Payment from Applicable Countries", "Maksājumu piemērojamajiem valstīs"
"Payment from Specific Countries", "Maksājumu no konkrētām valstīm"
"Payment partial authorization error.", "Maksājumu daļējas atļaujas kļūda."
"Payment refunding error.", "Maksājumu atmaksa kļūda."
"Payment updating error.", "Maksājumu atjaunināšana kļūda."
"Payment voiding error.", "Maksājumu iztukšošanās kļūda."
"Processed Amount", "Pārstrādāts Summa"
"Remaining Balance", "Atlikušais Bilance"
"Severe 3D Secure Card Validation", "Smaga 3D Secure Card Validation"
"Severe Validation Removes Chargeback Liability on Merchant", "Smaga validācija Noņem Reklamāciju atbildības par Tirgotāja"
"Shopping cart contents and/or address has been changed.", "Iepirkumu grozs saturs un / vai adrese ir mainīta."
"Sort Order", "Kārtot rīkojums"
"Test Mode", "Testa režīms"
"The amount on your credit card is insufficient to complete your purchase. The available amount has been put on hold. To complete your purchase click OK and specify additional credit card number. To cancel the purchase and release the amount on hold, "Uz jūsu kredītkartes summu nepietiek, lai pabeigtu pirkumu. Pieejamā naudas summa ir aizturēts, lai pabeigtu pirkumu uz Labi un norādīt papildu kredītkartes numuru.. Lai atceltu iegādi un atbrīvot summu turēt
"There was an error canceling transactions. Please contact us or try again later.", "Tur bija kļūda, apturu darījumi Lūdzu, sazinieties ar mums vai mēģiniet vēlreiz vēlāk.".
"Title", "Nosaukums"
"Transaction Key", "Darījuma atslēga"
"You have reached the maximum number of credit card allowed to be used for the payment.", "Jūs esat sasniedzis maksimālo skaitu kredītkartes atļauts izmantot par samaksu."
"You have reached the maximum number of credit cards that can be used for one payment. The available amounts on all used cards were insufficient to complete payment. The payment has been cancelled and amounts on hold have been released.", "Jūs esat sasniedzis maksimālo skaitu kredītkartes, kuras var tikt izmantotas vienā maksājumā pieejamās summas par visām izmantotajām kartēm bija pietiekams, lai pabeigtu maksājumu.. Maksājums ir atcelts un summas par aizturēto tika atbrīvoti."
"Your credit card has been declined. Click OK to specify another credit card to complete your purchase. Click Cancel to release the amount on hold and select another payment method.", "Jūsu kredītkarte ir noraidīts, noklikšķiniet uz Labi, lai norādītu citu kredītkarti, lai pabeigtu pirkumu.. Uz Atcelt, lai atbrīvotu summu aiztur un izvēlieties citu maksājumu veidu."
"Your order has not been placed, "Jūsu pasūtījums nav ievietots
"Your payment has been cancelled. All authorized amounts have been released.", "Jūsu maksājums ir atcelts Visas apstiprinātās summas ir atbrīvots.".
"amount %s", "Summa% s"
"authorize", "Atļaut"
"authorize and capture", "Pilnvarot un uztveršanas"
"capture", "Uztveršanas"
"failed", "Neizdevās"
"refund", "Kompensācija"
"successful", "Veiksmīga"
"void", "Anulēts"
