
"%s %s cycle.", "%s% s cikls."
"--Please Select--", "- Lūdzu izvēlieties -"
"3D Secure Card Validation", "3D Secure karte validācija"
"3D Secure Credit Card Validation", "3D Secure kredītkarti validāciju"
"<label>Make Check payable to:</label> %s", "<marķējumā> Make Pārbaudīt jāmaksā: </ etiķete>% s"
"A value is required for live mode. Refer to your CardinalCommerce agreement.", "Vērtība ir nepieciešama dzīvu režīmā atradīsit savā CardinalCommerce līgumu.".
"Allow Initial Fee Failure", "Atļaut sākotnējā maksa Nespēja"
"An internal reference ID is required to save the payment profile.", "Iekšējā atsauce ID ir nepieciešams, lai saglabātu maksājumu profilu."
"Authorize action is not available.", "Autorizēties darbība nav pieejama."
"Auto Bill on Next Cycle", "Auto Likumprojekts par nākamā cikla"
"Automatically Invoice All Items", "Automātiski rēķinu Visas preces"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).", "Automātiski rēķinu neatmaksāto atlikuma summu nākamajā norēķinu ciklā (ja bija neveiksmīga maksājumi)."
"Bank Transfer Payment", "Bankas pārskaitījums Maksājums"
"Billing Agreement status is not set.", "Norēķinu Līgums stāvoklis nav noteikts."
"Billing Amount", "Norēķinu Summa"
"Billing Frequency", "Norēķinu Frequency"
"Billing Period", "Norēķinu periods"
"Billing Period Unit", "Norēķinu periods vienība"
"Billing period unit is not defined or wrong.", "Norēķinu periods vienība nav definēta vai nepareizi."
"Cannot retrieve the payment info model object.", "Nevar paņemt maksājuma info modeli objektu."
"Cannot retrieve the payment information object instance.", "Nevar paņemt maksājuma informācijas objektu, piemēram."
"Cannot retrieve the payment method code.", "Nevar paņemt maksājuma metode kods."
"Cannot retrieve the payment method model object.", "Nevar paņemt maksājuma metodes modelis objektu."
"Capture action is not available.", "Capture darbība nav pieejama."
"Card Verification Number", "Kartes pārbaudes numura"
"Cash On Delivery Payment", "Maksa pēc piegādes"
"Centinel API URL", "Centinel API URL"
"Check / Money Order", "Pārbaudīt / Money Order"
"Credit Card Number", "Kredītkartes numurs"
"Credit Card Type", "Kredītkarte Tips"
