
"-OR-", "-VAI-"
"2-pixel perimeter around the header space.", "2-pikseļu perimetrs ap galvenes telpā."
"3D Secure", "3D Secure"
"3D Secure Card Validation", "3D Secure karte validācija"
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.", "3D Secure validācija ir nepieciešama Maestro karšu Atbalstīt American Express karšu pieprasīt papildu vienošanās.. Uzziniet vairāk <a href=""http://www.paypal.com/amexupdate""> http:// www.paypal. com / amexupdate </ a>. "
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>", "<a Href=""http://www.magentocommerce.com/paypal""> sākt pieņemt maksājumus caur PayPal! </ A>"
"A value is required for live mode. Refer to your CardinalCommerce agreement.", "Vērtība ir nepieciešama dzīvu režīmā atradīsit savā CardinalCommerce līgumu.".
"ACH Deposit (Hold for Dispute or Other Investigation)", "ACH depozīts (Turiet strīds vai citas izmeklēšanas)"
"ACH Deposit (Reversal)", "ACH depozīts (apvērse)"
"ACH Funding for Funds Recovery from Account Balance", "ACH Finansējums līdzekļu atgūšanu no konta bilance"
"ACH Withdrawal", "ACH Izstāšanās"
"API Authentication Methods", "API autentifikācijas metodes"
"API Certificate", "API sertifikāts"
"API Password", "API parole"
"API Signature", "API Paraksts"
"API Username", "API vārds"
"API Uses Proxy", "API Izmanto Proxy"
"API/Integration", "API / integrācija"
"API/Integration Settings", "API / integrācijas iestatījumi"
"Ability for buyer to purchase without PayPal account.", "Spēja lai pircējs iegādātos bez PayPal kontā."
"Accept credit card and PayPal payments securely.", "Pieņemt kredītkartes un PayPal maksājumi droši."
"Accept credit cards, "Pieņemt kredītkartes
"Accept payments in your shopping cart. PayPal will process your card payments through the Payflow Gateway.", "Pieņemt maksājumus iepirkumu grozā PayPal apstrādāt savus karšu maksājumus caur Payflow Gateway.".
"Accept payments with a PCI compliant checkout that keeps customers on your site.", "Pieņemt maksājumus ar PCI compliant kases kas uztur klientiem jūsu vietnē."
"Accept payments with a PCI-compliant checkout that keeps customers on your site.", "Pieņemt maksājumus ar PCI-atbilstošu kases kas uztur klientiem jūsu vietnē."
"Accept payments with a completely customizable checkout page.", "Pieņemt maksājumus ar pilnīgi customizable izrakstīšanās lapā."
"Accept payments with a completely customizable checkout.", "Pieņemt maksājumus ar pilnīgi customizable kases."
"Acceptance Mark", "Pieņemšanas Mark"
"Acceptance Mark Image", "Pieņemšanas Mark Image"
"Account-to-Account Payment, "Konta līdz konta maksājumu
"Add PayPal as an additional payment method to your checkout page to increase your sales.", "Pievienot PayPal kā papildu maksājumu metodi, lai jūsu izrakstīšanās lapā, lai palielinātu savu pārdošanas apjomu."
