
"""Remember Me"" Default Value", "" "Atceries mani" "noklusēto vērtību"
"(Not %s?)", "(Ne% s?)"
"* Required Fields", "* Obligātie lauki"
"Address", "Adrese"
"Address Information", "Adrese informācija"
"Already registered?", "Jau reģistrēts?"
"Back", "Atpakaļ"
"By creating an account with our store, "Izveidojot kontu mūsu veikalā
"Cannot load configuration from file %s.", "Nevar ielādēt konfigurāciju no faila% s."
"Checkout as Guest", "Noformēt kā viesim"
"Checkout as a Guest or Register", "Noformēt kā viesis, vai reģistrēt"
"City", "Pilsēta"
"Clear Persistence on Log Out", "Skaidrs Neatlaidība uz Atteikties"
"Close", "Aizvērt"
"Company", "Kompānija"
"Confirm Password", "Apstiprināt paroli"
"Continue", "Turpināt"
"Country", "Valsts"
"Create an Account", "Izveidot kontu"
"Easy access to your order history and status", "Viegla piekļuve jūsu pasūtījumu vēsturi un statusu"
"Email Address", "E-pasta adrese"
"Enable ""Remember Me""", "Aktivizēt" "Atceries mani" ""
"Enable Persistence", "Aktivizēt Noturība"
"Fast and easy check out", "Ātri un viegli pārbaudīt"
"Fax", "Fakss"
"Forgot Your Password?", "Aizmirsi paroli?"
"Forgot your password?", "Aizmirsāt paroli?"
"General Options", "Vispārīgās opcijas"
"If you have an account with us, "Ja jums ir konts ar mums
"Loading next step...", "Iekraušana nākamo soli ..."
"Login", "Pieteikšanās"
"Login Information", "Ieejas informācija"
"Login or Create an Account", "Piesakieties vai Izveidot kontu"
"New Customers", "Jaunie klienti"
"Password", "Parole"
"Persist Shopping Cart", "Persist Iepirkumu grozs"
"Persistence Lifetime (seconds)", "Neatlaidība Mūža (sekundes)"
"Persistent Shopping Cart", "Noturīgi Grozs"
"Personal Information", "Personīgā informācija"
"Please log in below:", "Lūdzu pieteikties zemāk:"
"Please select region, "Lūdzu, izvēlieties reģionu
"Register", "Reģistrācija"
"Register and save time!", "Reģistrācija un ietaupīt laiku!"
"Register to Create an Account", "Reģistrēties, lai izveidotu kontu"
"Register with us for future convenience:", "Reģistrējieties pie mums nākotnes ērtībai:"
"Registered Customers", "Reģistrētie klienti"
"Remember Me", "Atceries mani"
"Save in address book", "Saglabāt adrešu grāmatā"
"Select State/Province...", "Izvēlēties Valsts / province ..."
"Select a billing address from your address book or enter a new address.", "Izvēlieties norēķinu adresi no adrešu grāmatas vai ievadiet jaunu adresi."
"Ship to different address", "Piegādāt uz citu adresi"
"Ship to this address", "Piegādāt uz šo adresi"
"Shopping cart has been updated with appropriate prices", "Iepirkumu grozs ir atjaunināta ar atbilstošiem cenu"
"Sign Up for Newsletter", "Pieteikties jaunumiem"
"State/Province", "Valsts / province"
"Street Address", "Adrese"
"Street Address %s", "Adrese% s"
"Submit", "Iesniegt"
"Telephone", "Tālrunis"
"To proceed to Checkout, "Lai turpinātu Checkout
"VAT Number", "PVN reģistrācijas numurs"
"Welcome, "Sveicināti
"What's this?", "Kas tas ir?"
"Zip/Postal Code", "Zip / Postal"
