
"Alert Email Sender", "Brīdinājuma e-pasta sūtītājs"
"Alert subscription has been saved.", "Brīdinājuma abonēšanas ir saglabāta."
"Allow Alert When Product Comes Back in Stock", "Atļaut Alert Kad produkts nāk atpakaļ krājumā"
"Allow Alert When Product Price Changes", "Atļaut brīdinājumu, ja preces cena izmaiņas"
"Click here not to receive alerts for this product", "Šeit nav, lai saņemtu paziņojumus par šo produktu"
"Error Email Recipient", "Kļūda Nosūtīt Saņēmējs"
"Error Email Sender", "Kļūda pasta sūtītājs"
"Error Email Template", "Kļūda e-pasta veidne"
"Frequency", "Frequency"
"Not enough parameters.", "Nav pietiekami daudz parametru."
"Price Alert Email Template", "Cena Brīdinājuma e-pasta veidne"
"Price:", "Cena:"
"Product Alerts", "Produktu Brīdinājumi"
"Product Alerts Run Settings", "Produktu Brīdinājumi Run Settings"
"Product alerts Cron error", "Produktu brīdinājumi Cron kļūda"
"Product price alert", "Produkta cena brīdinājums"
"Product stock alert", "Produkts akciju brīdinājums"
"Regular Price:", "Regulārā cena:"
"Sign up for price alert", "Pierakstīties uz cenu trauksmes"
"Sign up to get notified when this product is back in stock", "Pieteikties līdz saņemt paziņots, kad šis produkts ir atpakaļ noliktavā"
"Special price:", "Īpašā cena:"
"Start Time", "Start Time"
"Stock Alert Email Template", "Preces Brīdinājuma e-pasta veidne"
"The alert subscription has been deleted.", "Brīdinājums abonēšanas ir dzēsts."
"The alert subscription has been saved.", "Brīdinājums abonēšanas ir saglabāts."
"The product is not found.", "Produkts nav atrasts."
"The product was not found.", "Prece nav atrasta."
"Unable to update the alert subscription.", "Nevar atjaunināt brīdinājumu abonementu."
"Unsubscribe from all price alerts", "Atteikties no visiem cenu brīdinājumu"
"Unsubscribe from all stock alerts", "Atteikties no visiem akciju brīdinājumu"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:", "Jūs saņemat šo paziņojumu, jo esat abonējis saņemt brīdinājumus, ja šādi produkti ir atpakaļ noliktavā:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:", "Jūs saņemat šo paziņojumu, jo esat abonējis saņemt brīdinājumus, ja uz šādiem produktiem cenas mainījušās:"
"You will no longer receive price alerts for this product.", "Jūs vairs nesaņemsiet cenu brīdinājumus par šo produktu."
"You will no longer receive stock alerts for this product.", "Jūs vairs nesaņemsiet akciju brīdinājumiem par šo produktu."
"You will no longer receive stock alerts.", "Jūs vairs nesaņemsiet akciju brīdinājumus."
