
"Abandoned Carts", "Abandoned ratiņi"
"Abandoned carts", "Abandoned rati"
"Action", "Darbība"
"Add to Cart", "Pievienot grozam"
"Add to Compare", "Salīdzināt"
"Add to Wishlist", "Pievienot vēlmju sarakstā"
"Any", "Jebkurš"
"Applied Coupon", "Lietišķā Kupona"
"Applies to Any of the Specified Order Statuses", "Attiecas uz Jebkurš noteiktajā kārtībā statusiem"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.", "Vai tiešām jūs vēlaties atsvaidzināt mūža statistiku Tur var būt darbības ietekmi šīs darbības laikā.?"
"Are you sure?", "Vai esat pārliecināts?"
"Avg. Approved Rating", "Vid Apstiprināts Reitings".
"Avg. Rating", "Vid. Vērtējums"
"Bestsellers", "Bestsellers"
"Bought from wishlists", "Nopirka no vēlmju"
"CSV", "CSV"
"Carts", "Ratiņi"
"Catalog Category (Without Subcategories)", "Katalogs kategorija (bez apakškategorijām)"
"Compared Products Grid Template", "Salīdzinot produkti Grid veidne"
"Compared Products List Template", "Salīdzinot Produktu saraksts veidne"
"Coupons", "Kuponi"
"Coupons Usage Report", "Kuponi izmantošanas atskaite"
"Created At", "Izveidota"
"Current Month Starts", "Pašreizējais mēnesis Starts"
"Customer", "Klients"
"Customer Name", "Klienta vārds"
"Customer Tags", "Klientu Birkas"
"Customers", "Klienti"
"Customers Report", "Klienti Ziņot"
"Customers Reviews", "Klienti apskats"
"Customers Tags", "Klienti Birkas"
"Customers by Number of Orders", "Klienti ar pasūtījumu skaits"
"Customers by Orders Total", "Klienti rīkojumiem Kopā"
"Customers by number of orders", "Klienti ar pasūtījumu skaits"
"Customers by orders total", "Klienti par pasūtījumiem kopējām"
"Customers that have wishlist: %s%", "Klienti, kas ir vēlmju:% s%"
"Dashboard", "Dashboard"
"Day", "Diena"
"Default Recently Compared Products Count", "Default nesen salīdzināja produkti Count"
"Default Recently Viewed Products Count", "Default Nesen skatīts produkti Count"
"Description", "Apraksts"
"Detail", "Detaļas"
"Downloads", "Lejupielādes"
"Email", "E"
"Empty Rows", "Tukšas rindas"
"Excel XML", "Excel XML"
"Filter", "Filtrs"
"First Name", "Vārds"
"From", "No"
"Guest", "Guest"
"Hits", "Hits"
"ID", "ID"
"IP Address", "IP adrese"
"Index model name must be defined", "Indekss modeļa nosaukumu jādefinē"
"Invalid date specified.", "Nepareiza norādīts datums."
"Invoiced", "Rēķinā"
"Items in Cart", "Preces grozā"
"Last Name", "Uzvārds"
"Last Review", "Pēdējo reizi pārskatīts"
"Link", "Link"
"List of Products Recently Compared and Removed from the Compare List by Visitor", "Saraksts Preču Nesen Salīdzinot un Noņemts no salīdzināšanas formai, ko apmeklētājs"
"List of Products Recently Viewed by Visitor", "Saraksts Preču Nesen skatīts pēc apmeklētāj"
"Low Stock", "Zems Stock"
"Low stock", "Zems krājumu"
"Match Period To", "Match periods, lai"
"Month", "Mēnesis"
"Most Viewed", "Visvairāk skatītie"
"Name", "Nosaukums"
"New Accounts", "Jaunie Konti"
"No", "Nē"
"Number Added", "Numurs Pievienots"
"Number Fulfilled", "Numurs piepildās"
"Number Of Reviews", "Atsauksmju skaitu"
"Number Purchased", "Numurs Pirkta"
"Number Viewed", "Numurs Skatīts"
"Number of Items", "Vienību skaits"
"Number of New Accounts", "Skaits jaunu kontu"
"Number of Products to display", "Grozs Preču lai parādītu"
"Number of Reviews", "Skaits Atsauksmes"
"Number of Times Deleted", "Skaits Svītrots Times"
"Number of Total Tags", "Skaits Kopā Tags"
"Number of Unique Tags", "Vairākas unikālas Tags"
"Number of Views", "Skaits"
"Number of items bought from a wishlist: %s", "Vienību skaits iegādātas no vēlmju saraksts:% s"
"Number of times wishlists have been shared (emailed): %s", "Cik reižu vēlmju ir kopīga (sūtīts):% s"
"Number of wishlist conversions: %s", "Skaits Vēlmju reklāmguvumiem:% s"
"Number of wishlist referrals: %s", "Skaits Vēlmju nosūtījumus:% s"
"Number of wishlists: %s", "Skaits vēlmju:% s"
"Order Status", "Pasūtījuma statuss"
"Order Taxes Report Grouped by Tax Rate", "Kārtība Nodokļi Ziņojumu Sagrupēts pēc Nodokļu likme"
"Orders", "Pasūtījumi"
"Out of stock", "No krājuma"
"Period", "Periods"
"Poducts Report", "Poducts Ziņot"
"Popular Tags", "Popular Tags"
"Popularity", "Popularitāte"
"Price", "Cena"
"Product Name", "Nosaukums"
"Product Reviews", "Atsauksmes par precēm"
"Product SKU", "Produktu SKU"
"Product Tags", "Preces birkas"
"Products", "Produkti"
"Products Ordered", "Produkti Sakārtots"
"Products Report", "Produkti ziņojums"
"Products Reviews", "Produkti apskats"
"Products Tags", "Produkti Tags"
"Products in carts", "Produkti ratiņi"
"Purchases", "Iepirkumi"
"Quantity Ordered", "Daudzums Sakārtots"
"Quantity of Items", "Daudzums Items"
"Recently Compared", "Nesen Salīdzinot"
"Recently Compared Products", "Nesen Salīdzinājumā Products"
"Recently Viewed", "Nesen skatītie"
"Recently Viewed Products", "Nesen skatīts Products"
"Recently Viewed/Compared Products", "Nesen skatīts / Salīdzinājumā produkti"
"Refresh Lifetime Statistics", "Atsvaidzināt Mūža statistika"
"Refresh Statistics", "Atsvaidzināt statistika"
"Refresh Statistics for the Last Day", "Atjaunot statistika par pēdējo dienu"
"Refunds", "Kompensācijas"
"Report", "Ziņojums"
"Reports", "Ziņojumi"
"Results", "Rezultāti"
"Revenue", "Ieņēmumi"
"Review", "Pārskats"
"Reviews", "Apskats"
"Reviews for %s", "Atsauksmes par% s"
"Sales", "Sales"
"Sales Report", "Pārdošanas pārskats"
"Search Query", "Meklēšanas vaicājumu"
"Search Terms", "Meklēt noteikumi"
"Select day of the month.", "Izvēlieties mēneša dienu."
"Shipping", "Piegādes"
"Shopping Cart", "Grozs"
"Shopping Cart Price Rule", "Grozs Cena noteikums"
"Show Actual Values", "Show faktiskās vērtības"
"Show Report", "Parādīt ziņojums"
"Show for Current", "Izrāde Pašreizējais"
"Specified", "Noteiktais"
"Statistics", "Statistika"
"Stock Qty", "Noliktava Skaits"
"Submitted In", "Iesniegtie In"
"Submitted On", "Ievietots"
"Subtotal", "Starpsumma"
"Tag", "Tag"
