
"%d Review(s)", "% D Atsauksme (s)"
"%s Review(s)", "%s Atsauksme (s)"
"(Posted on %s)", "(Raksts par% s)"
"1 star", "1 zvaigzne"
"2 stars", "2 zvaigznes"
"3 stars", "3 zvaigznes"
"4 stars", "4 zvaigznes"
"5 stars", "5 zvaigznes"
"<a href=""%1$s"" onclick=""this.target='blank'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>", "<a Href=""%1$s"" onclick=""this.target='blank'"">% 2 $ s% 3 $ s </ a> <href =" "mailto:% 4 $ s ""> (% 4 $ s) </ a> "
"Add New Review", "Pievienot jaunu Review"
"Add Your Review", "Pievienot savu pārskatu"
"Administrator", "Administrators"
"All Reviews", "Visi apskats"
"All Reviews of Customer `%s`", "Visi Atsauksmes par Klienta`% s `"
"All Reviews of Product `%s`", "Visi Atsauksmes par produktu`% s `"
"Allow Guests to Write Reviews", "Atļaut Viesi rakstīt recenzijas"
"Are you sure you want to do this?", "Vai tiešām vēlaties to darīt?"
"Are you sure?", "Vai esat pārliecināts?"
"Average Customer Rating", "Vidējais klienta vērtējums"
"Average Customer Rating:", "Vidējais klienta vērtējums:"
"Back", "Atpakaļ"
"Back to Main Product Info", "Atpakaļ uz preces aprakstu"
"Back to My Reviews", "Atpakaļ uz manu pārskatu"
"Back to Product Reviews", "Atpakaļ uz Produktu apskats"
"Be the first to review this product", "Esi pirmo atsauksmi par šo preci"
"Catalog Product Review View", "Katalogs Product Review View"
"Catalog Product Reviews List", "Katalogs Produktu apskats saraksts"
"Created On", "Izveidots"
"Customer", "Klients"
"Customer My Account Product Reviews", "Klientu Mans konts apskats"
"Customer My Account Review Details", "Klientu Mans konts Review informācija"
"Customer Reviews", "Klientu atsauksmes"
"Customers Reviews", "Klienti apskats"
"Delete", "Dzēst"
"Delete Review", "Dzēst Review"
"Detailed Rating", "Detalizēts vērtējums"
"Edit Review '%s'", "Edit Review '% s'"
"Guest", "Guest"
"How do you rate this product?", "Kā jūs vērtējat šo produktu?"
"ID", "ID"
"Manage Ratings", "Pārvaldīt Ratings"
"My Product Reviews", "Mans Produktu apskats"
"My Recent Reviews", "Mani nesenie apskats"
"Name", "Nosaukums"
"Name in Store", "Nosaukums veikalā"
"New Review", "Jaunā pārskats"
"Nickname", "Segvārds"
"Nickname can't be empty", "Segvārds nevar būt tukšs"
"Only registered users can write reviews. Please, "Tikai reģistrētie lietotāji var rakstīt atsauksmes. Lūdzu
"Pending Reviews", "Līdz apskats"
"Pending Reviews of Customer `%s`", "Kamēr Atsauksmes par Klienta`% s `"
"Please select a product", "Lūdzu, izvēlieties produktu"
"Please select one of each of the ratings above", "Lūdzu, izvēlieties vienu no katra vērtējumiem iepriekš"
"Posted By", "Rakstīja"
"Price", "Cena"
"Product", "Produkts"
"Product Name", "Nosaukums"
"Product Rating", "Produktu Rating"
"Product Rating:", "Produkts Vērtējums:"
"Product Review (submitted on %s):", "Produktu pārskats (iesniegts% s):"
"Product Reviews", "Atsauksmes par precēm"
"Product SKU", "Produktu SKU"
"Products Reviews", "Produkti apskats"
"Qty", "Daudz"
"Rating:", "Vērtējums:"
"Review", "Pārskats"
"Review (submitted on %s):", "Pārskats (iesniegti% s):"
"Review Details", "Review Detaļas"
"Review Form Fields Before", "Review Veidlapas lauki Pirms"
"Review by <span>%s</span>", "Pārskats par <span>% s </ p>"
"Review can't be empty", "Pārskats nevar būt tukšs"
"Review summary can't be empty", "Pārskats kopsavilkums nevar būt tukšs"
"Reviews and Ratings", "Atsauksmes un vērtējumi"
"SKU", "SKU"
"Save Review", "Save Review"
"Status", "Statuss"
"Submit Review", "Iesniegt Review"
"Summary Rating", "Kopsavilkums Rating"
"Summary of Review", "Kopsavilkums Review"
"Summary of Your Review", "Kopsavilkums par jūsu pārskatu"
"Title", "Nosaukums"
"Type", "Tips"
"Unable to post the review.", "Nevar post pārskatīšanu."
"Update Status", "Atjaunināt statuss"
"View All Reviews", "Skatīt visus Atsauksmes"
"View Details", "Skatīt detaļas"
"Visible In", "Redzams"
"Websites", "Mājas"
"Write Your Own Review", "Rakstīt atsauksmi"
"You have submitted no reviews.", "Jūs nav iesnieguši pārskatus."
"You're reviewing:", "Tu esi pārskatot:"
"Your Rating:", "Jūsu vērtējums:"
"Your Review (submitted on %s):", "Jūsu pārskats (iesniegts% s):"
"Your review has been accepted for moderation.", "Jūsu pārskats tika pieņemts mērenību."
