
"%s - Discounts and Coupons", "%s - Atlaides un Kuponi"
"%s - Special Products", "%s - Speciālie produkti"
"%s RSS Feed", "%s RSS"
"%s has reached a quantity of %s.", "%s ir sasniegusi daudzumu% s."
"%s's Wishlist", "%s Vēlmju"
"Cannot retrieve the wishlist", "Nevar paņemt vēlmju"
"Catalog", "Katalogs"
"Category Feeds", "Kategorija barotnes"
"Click for price", "Click par cenu"
"Comment: %s<br/>", "Komentārs:% s <br/>"
"Coupons/Discounts", "Kuponi / Atlaides"
"Current Status: %s<br/>", "Pašreizējais statuss:% s <br/>"
"Customer Name: %s", "Klienta vārds:% s"
"Customer Order Status Notification", "Klientu pasūtījuma statuss paziņojums"
"Details for %s #%s", "Detaļas par% s #% s"
"Discount", "Atlaide"
"Discount (%s)", "Atlaide (% s)"
"Enable RSS", "Aktivizēt RSS"
"Error in processing xml. %s", "Kļūda apstrādes XML% s."
"From:", "No:"
"Get Feed", "Get Feed"
"Gift Message", "Dāvanu Ziņu"
"Grand Total", "Pavisam kopā"
"Low Stock Products", "Zemas Stock Products"
"Message:", "Ziņa:"
"Miscellaneous Feeds", "Dažādi Plūsmas"
"New Orders", "Jaunie pasūtījumi"
"New Products", "Jaunie produkti"
"New Products from %s", "Jaunie produkti no% s"
"Notified Date: %s<br/>", "Paziņots datums:% s <br/>"
"Order # %s Notification(s)", "Pasūtījumu #% s Paziņojums (i)"
"Order #%s created at %s", "Rīkojums #% s izveidota% s"
"Pending product review(s)", "Kamēr produktu pārskatīšanu (-iem)"
"Product: ""%s"" review By: %s", "Produkts:" "% s" "pārskatīšana Līdz:% s"
"Product: <a href=""%s"">%s</a> <br/>", "Produkts: <a href=""%s"">% s </ a> <br/>"
"Products tagged with %s", "Produkti tagged ar% s"
"Purchased From: %s", "Iegādājās no:% s"
"RSS", "RSS"
"RSS Feeds", "RSS plūsmas"
"RSS Feeds List", "RSS barotnes saraksts"
"RSS Feeds Section", "RSS barotnes sadaļa"
"Review: %s <br/>", "Pārskats:% s <br/>"
"Rss Config", "RSS Config"
"Shipping &amp; Handling", "Piegāde un apstrāde"
"Special Products", "Īpaši produkti"
"Store: %s <br/>", "Veikals:% s <br/>"
"Subtotal", "Starpsumma"
"Summary of review: %s <br/>", "Kopsavilkums pārskats par:% s <br/>"
"Tags Products", "Atslēgvārdi Products"
"Tax", "Nodokļi"
"There are no Rss Feeds", "Nav RSS barotnes"
"To:", "Kam:"
"Top Level Category", "Pirmā līmeņa grupa"
"Total: %s<br/>", "Kopā:% s <br/>"
"Wishlist", "Vēlmju"
"click <a href=""%s"">here</a> to view the review", "Noklikšķiniet <a href=""%s""> šeit </ a>, lai apskatītu pārskatīšanu"
