
"ALL", "VISI"
"ANY", "TĀDI"
"Add", "Pievienot"
"Apply", "Apply"
"Conditions Combination", "Apstākļi Kombinācija"
"Customer Groups must be specified.", "Klientu grupas jānorāda."
"End Date must be greater than Start Date.", "Beigu datums ir lielāks nekā sākuma datums."
"FALSE", "FALSE"
"If %s of these conditions are %s:", "Ja% s no šiem nosacījumiem ir% s"
"Invalid discount amount.", "Nepareiza atlaide summu."
"Open Chooser", "Atvērt Chooser"
"Perform following actions", "Veikt šādas darbības"
"Please choose a condition to add...", "Lūdzu, izvēlieties nosacījums, lai pievienotu ..."
"Please choose an action to add...", "Lūdzu, izvēlieties darbību, lai pievienotu ..."
"Remove", "Noņemt"
"TRUE", "TRUE"
"Websites must be specified.", "Mājas lapas jānorāda."
"by", "Ar"
"contains", "Satur"
"does not contain", "Nesatur"
"equals or greater than", "Vienāds vai lielāks par"
"equals or less than", "Vienāds vai mazāks par"
"greater than", "Lielāka nekā"
"is", "Ir"
"is not", "Nav"
"is not one of", "Nav viens no"
"is one of", "Ir viens no"
"less than", "Mazāk nekā"
"to", "Uz"
