
"""%s"" coupon code is not valid.", "" "%s" "kupona kods nav derīgs."
"%s", "%s"
"%s / %s rate:", "%s /% s ātrums:"
"%s for %s", "%s% s"
"%s order(s) cannot be canceled", "%s lai (i) nevar tikt atcelts"
"%s order(s) have been canceled.", "%s lai (i) ir atcelti."
"%s order(s) have been put on hold.", "%s lai (i) ir aizturēts."
"%s order(s) have been released from holding status.", "%s lai (i) ir atbrīvots no saimniecības statusu."
"%s order(s) were not put on hold.", "%s lai (i) netika aizturēts."
"%s order(s) were not released from holding status.", "%s lai (i) nav atbrīvota no saimniecības statusu."
"* - Enter custom price excluding tax", "* - Enter pasūtījuma cena, izņemot nodokli"
"* - Enter custom price including tax", "* - Enter pielāgotu cenu, ieskaitot nodokli"
"-- Please Select --", "- Lūdzu izvēlieties -"
"-- Please Select Billing Agreement--", "- Lūdzu izvēlieties Norēķinu nolīgumu -"
"About This Order:", ""
"About This Profile:", "Par šo profilu:"
"About Your Invoice", "Informācija par rēķinu"
"About Your Order", "Papildinformācija"
"About Your Refund", "Par jūsu kompensācijas"
"About Your Shipment", "Par jūsu sūtījuma"
"Accept Payment", "Pieņemt maksājums"
"Accept or Deny Payment", "Pieņemt vai Atteikt maksājums"
"Account Information", "Konta informācija"
"Action", "Darbība"
"Actions", "Darbības"
"Activate", "Aktivizēt"
"Active", "Aktīvs"
"Add", "Pievienot"
"Add New Address", "Pievienot jaunu adresi"
"Add Order Comments", "Pievienot Pasūtīt Komentāri"
"Add Package", "Pievienot Package"
"Add Products", "Pievienot produktus"
"Add Selected Product(s) to Option", "Pievienot izvēlēto produktu (s) uz variantu"
"Add Selected Product(s) to Order", "Pievienot izvēlēto produktu (s) uz rīkojumu"
"Add Selected Product(s) to Package", "Pievienot izvēlēto produktu (s) uz Package"
"Add To Order", "Pievienot ordeņa"
"Add Tracking Number", "Pievienot sūtījuma numuru"
"Add comment to order", "Pievienot komentāru kārtībā"
"Add new comment to credit memo", "Pievienot jaunu komentāru kredītriskam zīmīti"
"Add new comment to shipment", "Pievienot jaunu komentāru sūtījuma"
"Add new tracking number", "Pievienot jaunu izsekošanas numuru"
"Add to Cart", "Pievienot grozam"
"Additional Product Info", "Papildus Informācija par produktu"
"Address", "Adrese"
"Address model is not defined.", "Adrese modelis nav definēts."
"Adjustment Fee", "Korekcija maksa"
"Adjustment Refund", "Korekcija kompensācija"
"Agreement Information", "Līgums informācija"
"Allow Reorder", "Atļaut Pārkārtot"
"Amount", "Summa"
"Amount: %s.", "Summa:% s."
"An error occurred while assigning order status. Status has not been assigned.", "Kļūda piešķirot pasūtījuma statusu statuss nav piešķirts.".
"An error occurred while creating shipping label.", "Kļūda veidojot nosūtīšanas etiķeti."
"An error occurred while saving order status. The status has not been added.", "Kļūda saglabājot pasūtījuma statusu. Statuss nav pievienots."
"An error occurred while unassigning order status.", "Kļūda unassigning pasūtījuma statusu."
"An error occurred while updating the order address. The address has not been changed.", "Kļūda atjauninot pasūtījuma adresi adrese nav mainījusies.".
"An item option with code %s already exists.", "Vienība iespēja ar kodu% s jau eksistē."
