
"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.", "% D Iepirkumu grozs Cena noteikumus, pamatojoties uz" "% s" "atribūtu, ir atspējots."
"%s Coupon(s) have been generated", "%s Kupona (-i) ir radīts"
"Actions", "Darbības"
"Active", "Aktīvs"
"Add New Rule", "Pievienot Jauna kārtula"
"Alphabetical", "Alfabētiski"
"Alphanumeric", "Burtciparu"
"An error occurred while generating coupons. Please review the log and try again.", "Kļūda radot kuponus Lūdzam pārskatīt žurnālu un mēģiniet vēlreiz.".
"Apply", "Apply"
"Apply To", "Lietot"
"Apply the rule only if the following conditions are met (leave blank for all products)", "Piesakies noteikumu tikai tad, ja ir izpildīti šādi nosacījumi (atstāt tukšu visiem produktiem)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)", "Piesakies noteikums tikai grozam posteņiem atbilstošo šādiem nosacījumiem (atstāt tukšu visiem posteņiem)"
"Apply the rule to cart items matching the following conditions", "Piesakies noteikums grozam posteņiem atbilstošo šādiem nosacījumiem"
"Apply to Shipping Amount", "Lietot Shipping summa"
"Are you sure you want to delete the selected coupon(s)?", "Vai tiešām vēlaties dzēst izvēlēto kuponu (s)?"
"Auto", "Auto"
"Auto Generated Specific Coupon Codes", "Auto nodrošinājusi īpašus Kupons Codes"
"Buy X get Y free (discount amount is Y)", "Buy X iegūt Y bezmaksas (atlaide summa ir Y)"
"By Fixed value", "Ar fiksētā vērtība"
"By Percentage", "Procentuāli"
"Can't acquire coupon.", "Nevar iegūt kuponu."
"Cart Attribute", "Pirkumu Prasme"
"Catalog", "Katalogs"
"Code Format", "Kods formāts"
"Code Length", "Kodā"
"Code Prefix", "Kods Prefikss"
"Code Suffix", "Kods Sufikss"
"Conditions", "Apstākļi"
"Conditions combination", "Apstākļi kombinācija"
"Coupon", "Kupona"
"Coupon Code", "Kupona kods"
"Coupon Qty", "Kupona Daudz"
"Coupon with the same code", "Kupona ar tādu pašu kodu"
"Coupons Information", "Kuponi informācija"
"Created On", "Izveidots"
"Customer Groups", "Klientu Grupas"
"Dash Every X Characters", "Dash ik pēc X Blondīne"
"Date Expire", "Datums Expire"
"Date Start", "Datums Start"
"Default Label", "Noklusētais Label"
"Default Rule Label for All Store Views", "Standartnoteikumu etiķete visiem Store uzskatus"
"Description", "Apraksts"
"Discount Amount", "Atlaide Summa"
"Discount Qty Step (Buy X)", "Atlaide Daudz Solis (Pērk X)"
"Edit Rule", "Rediģēt kārtulu"
"Edit Rule '%s'", "Rediģēt kārtulu '% s'"
"Excluding prefix, "Izņemot prefiksu
"FOUND", "Atrasts"
"Fixed amount discount", "Fiksēta summa atlaide"
"Fixed amount discount for whole cart", "Fiksēta summa atlaide visam grozā"
"For matching items only", "Par līdzvērtīgo vienību tikai"
"For shipment with matching items", "Pārvadājuma ar līdzvērtīgo vienību"
"Free Shipping", "Bezmaksas piegāde"
"From Date", "No datums"
"General Information", "Vispārīga informācija"
"Generate", "Izveidot"
"ID", "ID"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:", "Ja% s% s% s subselection par preces grozā saskaņošanas% s no šiem nosacījumiem:"
"If an item is %s in the cart with %s of these conditions true:", "Ja prece ir% s grozā ar% s no šiem nosacījumiem patiess:"
"If empty no separation.", "Ja tukša nē atdalīšana."
"If you select and save the rule you will be able to generate multiple coupon codes.", "Ja izvēlaties un saglabāt varu jums būs iespēja, lai radītu vairākus kuponu kodiem."
"Inactive", "Neaktīvs"
"Item totals are not set for rule.", "Vienība kopsummas nav noteikti varu."
"Labels", "Etiķetes"
"Manage Coupon Codes", "Pārvaldīt Kupons Codes"
"Maximum Qty Discount is Applied To", "Maksimālais Daudz Atlaide tiek piemērota"
"NOT FOUND", "NOT FOUND"
"NOT LOGGED IN", "Nav pieteicies"
"New Rule", "Jauna kārtula"
"No", "Nē"
"No Coupon", "Nē Kupona"
"Not valid data provided", "Nav derīgi dati sniedz"
"Number of Uses", "Skaits izmanto"
"Numeric", "Ciparu"
"Payment Method", "Maksājumu veida"
"Percent of product price discount", "Procenti no produkta cenas atlaide"
"Period", "Periods"
"Price in cart", "Cena grozā"
"Priority", "Prioritāte"
"Product attribute combination", "Produkts atribūtu kombinācija"
"Products subselection", "Produkti subselection"
"Promotions", "Akcijas"
"Public In RSS Feed", "Sabiedrības RSS Feed"
"Quantity in cart", "Daudzums grozā"
"Row total in cart", "Rinda Kopā grozā"
"Rule Information", "Noteikums informācija"
"Rule Name", "Noteikums Vārds"
"Rule is not defined", "Noteikums nav definēts"
"Sales Discount Amount", "Pārdošanas Atlaide Summa"
"Sales Subtotal Amount", "Pārdošanas Starpsumma Summa"
"Sales Total Amount", "Pārdošanas kopējā summa"
"Save and Continue Edit", "Saglabāt un turpināt rediģēt"
"Shipping Country", "Piegādes Valsts"
"Shipping Method", "Piegādes veids"
"Shipping Postcode", "Piegādes Pasta indekss"
"Shipping Region", "Piegādes reģions"
"Shipping State/Province", "Piegādes Valsts / province"
"Shopping Cart Price Rule", "Grozs Cena noteikums"
"Shopping Cart Price Rules", "Iepirkumu grozs Cena Noteikumi"
"Special Price", "Īpašā cena"
"Specific Coupon", "Īpaša Kupona"
"Status", "Statuss"
"Stop Further Rules Processing", "Stop turpmāki noteikumi apstrāde"
"Store View Specific Labels", "Store View marķējumus"
"Subtotal", "Starpsumma"
"Subtotal Amount", "Starpsumma Summa"
"The rule has been deleted.", "Noteikums ir svītrots."
"The rule has been saved.", "Noteikums ir saglabāts."
"This rule no longer exists.", "Šis noteikums vairs nepastāv."
"Times Used", "Times Used"
"To Date", "Līdz šim"
"To Fixed Value", "Lai Fixed Value"
"To Percentage", "Procentuāli"
"Total", "Kopā"
"Total Amount", "Kopējā summa"
"Total Items Quantity", "Kopā bildes daudzums"
"Total Weight", "Kopējais svars"
"Unable to create requested Coupon Qty. Please check settings and try again.", "Nevar izveidot pieprasīto Kupona gab. Lūdzu, pārbaudiet iestatījumus un mēģiniet vēlreiz."
"Unable to find a rule to delete.", "Nevar atrast normu dzēst."
"Update prices using the following information", "Update cenas, izmantojot šādu informāciju"
"Update product's %s %s: %s", "Update Produkta% s% s:% s"
"Update the Product", "Atjaunināt produktu"
"Use Auto Generation", "Izmantot Auto Generation"
"Used", "Automašīnas"
"Uses per Coupon", "Izmanto vienu Kupona"
"Uses per Customer", "Izmanto vienu klientu"
"Website", "Mājas"
"Websites", "Mājas"
"Wrong rule specified.", "Nepareizi norādīts noteikums."
"Yes", "Jā"
"total amount", "Kopējā summa"
"total quantity", "Kopējais daudzums"
