
" for more information or ", "Plašāku informāciju vai"
"# of Items (and above)", "# No preces (un augstāk)"
"# of Items vs. Destination", "# No preces vs apkārtnē"
"Allow Shipping to Multiple Addresses", "Atļaut Piegāde uz vairākām adresēm"
"An error occurred while import table rates.", "Kļūda importa galda likmēm."
"Calculate Handling Fee", "Aprēķināt apstrādes maksu"
"Carrier:", "Pārvadātājs"
"City", "Pilsēta"
"Close Window", "Aizvērt logu"
"Condition", "Stāvoklis"
"Country", "Valsts"
"Date", "Datums"
"Delivered on:", "Sniedza:"
"Delivered to:", "Piegādāts:"
"Description", "Apraksts"
"Displayed Error Message", "Attēlots Error Message"
"Divide to equal weight (one request)", "Dalīt līdz vienāda svara (viens pieprasījums)"
"Duplicate Row #%s (Country ""%s"", "Duplicate rindu #% s (Valsts" "% s" "
"Enabled", "Enabled"
"Error:", "Kļūda:"
"Export", "Eksporta"
"File has not been imported. See the following list of errors: %s", ". Fails nav importēts Skatīt šādu sarakstu kļūdas:% s"
"Fixed", "Fixed"
"Flat Rate", "Vienotas likmes"
"Free Shipping", "Bezmaksas piegāde"
"Google Sitemap Section", "Google Sitemap sadaļa"
"Handling Fee", "Apiešanās maksa"
"Import", "Imports"
"Include Virtual Products in Price Calculation", "Iekļaut virtuālo preci cenā aprēķināšana"
"Info:", "Info:"
"Invalid %s ""%s"" in the Row #%s.", "Nepareiza% s" "% s" "rindā #% s."
"Invalid Country ""%s"" in the Row #%s.", "Nederīgs valsts" "% s" "rindā #% s."
"Invalid Region/State ""%s"" in the Row #%s.", "Nepareiza reģions / valsts" "% s" "rindā #% s."
"Invalid Shipping Price ""%s"" in the Row #%s.", "Nepareiza kuģniecības cena" "% s" "rindā #% s."
"Invalid Table Rate code for type %s: %s", "Nepareiza tabula likme kods veida% s:% s"
"Invalid Table Rate code type: %s", "Nepareiza tabula Novērtējiet kods tips:% s"
"Invalid Table Rates File Format", "Nepareiza tabula cenas faila formāts"
"Invalid Table Rates format in the Row #%s", "Nepareiza Tabula Cenas formāts rindā #% s"
"Local Time", "Vietējais laiks"
"Location", "Atrašanās vieta"
"Maximum Qty Allowed for Shipping to Multiple Addresses", "Maksimālais Daudz Atļauts kuģošanai uz vairākām adresēm"
"Method Name", "Metode Vārds"
"Minimum Order Amount", "Minimālais pasūtījuma apjoms"
"N/A", "N / A"
"None", "Nav"
"Options", "Iespējas"
"Order Subtotal (and above)", "Pasūtījuma Starpsumma (un augstāk)"
"Origin", "Izcelsme"
"Per Order", "Per rīkojumu"
"Per Package", "Lēcas"
"Percent", "Procenti"
"Price", "Cena"
"Price vs. Destination", "Cena vs Galamērķis"
"Region/State", "Reģions / Valsts"
"Service Type:", "Pakalpojumu veids:"
"Ship to Applicable Countries", "Kuģis ar attiecīgajiem valstīs"
"Ship to Specific Countries", "Piegādāt uz konkrētām valstīm"
"Shipment #", "Sūtījums #"
"Shipment Tracking Popup", "Sūtījums izsekošana Popup"
"Shipped or billed on:", "Nosūtīti vai tarificētas par:"
"Shipping Methods", "Kuģniecības metodes"
"Shipping Methods Section", "Piegādes metodes sadaļa"
"Shipping Settings", "Piegādes iestatījumi"
"Shipping Settings Section", "Piegādes iestatījumi sadaļa"
"Show Method if Not Applicable", "Parādīt metode, ja nav piemērojams"
"Signed by:", "Parakstīts:"
"Sort Order", "Kārtot rīkojums"
"Status:", "Statuss"
"Store Pickup", "Veikals Pikaps"
"Street Address", "Adrese"
"Street Address Line 2", "Adrese līnija 2"
"Table Rates", "Galda Balsis"
"The shipping module is not available for selected delivery country.", "Kuģniecības modulis nav pieejams izvēlētajam piegādes valstij."
"The shipping module is not available.", "Kuģniecības modulis nav pieejams."
"There is no tracking available for this shipment.", "Nav izsekošana pieejams par šo sūtījumu."
"There is no tracking available.", "Nav izsekošana pieejams."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, "Šis kuģniecības metode pašlaik nav pieejama. Ja vēlaties nosūtīt, izmantojot šo piegādes veidu
"This shipping method is not available, "Šis kuģniecības metode nav pieejama
"Title", "Nosaukums"
"Track:", "Track"
"Tracking Information", "Tracking informācija"
"Tracking Number:", "Uzskaites numurs:"
"Tracking information is currently not available. Please ", "Tracking informācija pašlaik nav pieejama. Lūdzu"
"Tracking information is currently unavailable.", "Tracking informācija pašlaik nav pieejama."
"Type", "Tips"
"Use origin weight (few requests)", "Lietot izcelsmes svaru (daži pieprasījumi)"
"Weight (and above)", "Svars (un augstāk)"
"Weight vs. Destination", "Svars vs Galamērķis"
"Weight:", "Svars:"
"ZIP/Postal Code", "ZIP / Postal"
"contact us", "Sazinieties ar mums"
"email us at ", "Rakstiet mums"
