
"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.", "" en_US en_US. translate.sh "- Atbilst kaut;" XYZ en_US en_US. translate.sh "- atbilst kaut kas sākas" XYZ "un ne ilgāk kā% d."
"-- Please Select --", "- Lūdzu izvēlieties -"
"Add New Class", "Pievienot jaunu Class"
"Add New Tax Rate", "Pievienot jaunu Nodokļu likme"
"Add New Tax Rule", "Pievienot jaunu nodokļa piemērošanas"
"After Discount", "Pēc atlaides"
"An error occurred while deleting this rate.", "Kļūda dzēšot šo likmi."
"An error occurred while deleting this rate. Incorrect rate ID.", "Kļūda dzēšot šo likmi Nepareiza ātruma ID.".
"An error occurred while deleting this tax class.", "Kļūda dzēšot šo nodokļu klasi."
"An error occurred while deleting this tax rule.", "Kļūda dzēšot šo nodokļa noteikumu."
"An error occurred while saving this tax class.", "Kļūda saglabājot šo nodokļu klasi."
"An error occurred while saving this tax class. A class with the same name", "Kļūda saglabājot šo nodokļu klasi. Klases ar tādu pašu nosaukumu"
"An error occurred while saving this tax rule.", "Kļūda saglabājot šo nodokļu noteikumu."
"Apply Customer Tax", "Piesakies Klientu nodokli"
"Apply Discount On Prices", "Piesakies atlaide cenām"
"Apply Tax On", "Piemērot nodokli"
"Apply discount on price including tax is calculated based on store tax, "Pielietot atlaidi cenu, ieskaitot nodokli aprēķina, pamatojoties uz veikalu nodokli
"Are you sure you want to do this?", "Vai tiešām vēlaties to darīt?"
"Back", "Atpakaļ"
"Before Discount", "Pirms atlaides"
"CSV", "CSV"
"Calculation Settings", "Aprēķinu Settings"
"Catalog Prices", "Katalogs Cenas"
"Class Name", "Klase Vārds"
"Code", "Kods"
"Country", "Valsts"
"Custom price if available", "Custom cena ja pieejams"
"Customer Tax Class", "Klientu Nodokļu klases"
"Customer Tax Class Information", "Klientu Nodokļu klases informācija"
"Customer Tax Classes", "Klientu Nodokļu klases"
"Default Country", "Noklusējuma valsts"
"Default Post Code", "Noklusētais Pasta indekss"
"Default State", "Noklusējuma valsts"
"Default Tax Destination Calculation", "Noklusētā Nodokļu Galamērķis aprēķināšana"
"Delete Class", "Dzēst Class"
"Delete Rate", "Dzēst Rate"
"Delete Rule", "Dzēst noteikums"
"Display Full Tax Summary", "Parādīt pilnīga nodokļu Summary"
"Display Prices", "Parādīt cenas"
"Display Product Prices In Catalog", "Displeja produktu cenas katalogā"
"Display Shipping Amount", "Parādīt Shipping summa"
"Display Shipping Prices", "Parādīt Shipping cenas"
"Display Subtotal", "Displeja Starpsumma"
"Display Zero Tax Subtotal", "Parādīt beznodokļu Starpsumma"
"Edit Class", "Labot Class"
"Edit Class '%s'", "Edit klase"% s '"
"Edit Rule", "Rediģēt kārtulu"
"Edit Tax Rate", "Labot Nodokļu likme"
"Excel XML", "Excel XML"
"Excl. Tax", "Bez. Nodokli"
"Excl. Tax:", "Bez nodokļa:."
"Excluding Tax", "Izņemot nodokli"
"Export Tax Rates", "Eksporta nodokļu likmēm"
"Grand Total (Excl. Tax)", "Pavisam kopā (izņemot nodokļu)"
"Grand Total (Excl.Tax)", "Pavisam kopā (BEZ PVN)"
"Grand Total (Incl. Tax)", "Pavisam kopā (AR PVN)"
"Grand Total (Incl.Tax)", "Pavisam kopā (AR PVN)"
"Grand Total Excl. Tax", "Kopā BEZ PVN"
"Grand Total Incl. Tax", "Kopā AR PVN"
"Import / Export Tax Rates", "Import / Export nodokļa likmēm"
"Import Tax Rates", "Importa Nodokļa likmes"
"Inc. Tax", "Inc nodokli"
"Incl. Tax", "Iesk. Nodokli"
"Incl. Tax:", "Ar nodokli."
"Include Tax In Grand Total", "Iekļaut nodoklis Grand Total"
"Including Tax", "Ieskaitot nodokli"
"Including and Excluding Tax", "Ieskaitot un bez nodokļiem"
"Invalid file format upload attempt", "Nederīgs faila formāts augšupielādes mēģinājums"
"Invalid file upload attempt", "Nepareiza failu augšupielādes mēģinājums"
"Manage Customer Tax Classes", "Pārvaldīt klientu Nodokļu klases"
"Manage Product Tax Classes", "Vadīt produkta Nodokļu klases"
"Manage Tax Rates", "Pārvaldīt nodokļu likmēm"
"Manage Tax Rules", "Pārvaldīt nodokļu noteikumu"
"Manage Tax Zones & Rates", "Pārvaldīt nodokļu zonām un cenas"
"Name", "Nosaukums"
"New Class", "Jaunā klase"
"New Rule", "Jauna kārtula"
"New Tax Rate", "Jaunā nodokļa likme"
"No", "Nē"
"None", "Nav"
"One of the country has invalid code.", "Viens no valstī ir nederīgs kods."
"Orders, "Pasūtījumi
"Original price only", "Sākotnējā cena tikai"
"Price Display Settings", "Cenu Displeja iestatījumi"
"Priority", "Prioritāte"
"Product Tax Class", "Produkts Nodokļu klases"
"Product Tax Class Information", "Produktu Nodokļu klases informācija"
"Product Tax Classes", "Produktu Nodokļu klases"
"Range From", "Diapazons no"
"Range To", "Diapazons līdz"
"Rate", "Novērtēt"
"Rate Percent", "Procentus likmei"
"Reset", "Reset"
"Row Total", "Rinda Kopā"
"Sales", "Sales"
"Save Class", "Save Class"
"Save Rate", "Save Rate"
"Save Rule", "Save noteikums"
"Save and Continue Edit", "Saglabāt un turpināt rediģēt"
"Shipping & Handling (Excl.Tax)", "Piegāde un apstrāde (Excl.Tax)"
"Shipping & Handling (Incl.Tax)", "Piegāde un apstrāde (Incl.Tax)"
"Shipping & Handling Tax", "Piegāde un apstrāde nodokli"
"Shipping (Excl. Tax)", "Piegādes (IZŅEMOT nodokļu)"
"Shipping (Incl. Tax)", "Piegādes (t.sk. nodokļu)"
"Shipping Excl. Tax (%s)", "Piegādes Bez nodokļa (% s)."
"Shipping Incl. Tax (%s)", "Piegādes ar nodokli (% s)."
"Shipping Prices", "Piegādes cenas"
"Shopping Cart Display Settings", "Iepirkumu grozs Displeja iestatījumi"
"Sort Order", "Kārtot rīkojums"
"State", "Valsts"
"State/Region", "Valsts / reģions"
"Subtotal (Excl. Tax)", "Starpsumma (IZŅEMOT nodokļu)"
"Subtotal (Excl.Tax)", "Starpsumma (Excl.Tax)"
"Subtotal (Incl. Tax)", "Starpsumma (t.sk. nodokļu)"
"Subtotal (Incl.Tax)", "Starpsumma (Incl.Tax)"
"Tax", "Nodokļi"
"Tax Calculation Based On", "Nodokļu aprēķināšana, pamatojoties uz"
"Tax Calculation Method Based On", "Nodokļu aprēķina metode, pamatojoties uz"
"Tax Class for Shipping", "Nodokļu klase Shipping"
"Tax Classes", "Nodokļu klases"
"Tax Identifier", "Nodokļu identifikators"
"Tax Rate", "Nodokļa likme"
"Tax Rate Information", "Nodokļa likme informācija"
"Tax Rule Information", "Nodokļu noteikums informācija"
"Tax Rules", "Nodokļu likumi"
"Tax Section", "Nodokļu sadaļa"
"Tax Titles", "Nodokļu Nosaukumi"
"Tax rate cannot be removed. It exists in tax rule", "Nodokļu likmes nevar noņemt. Tā pastāv nodokļu noteikuma"
"Tax rates at the same priority are added, "Nodokļu likmes, tajā pašā prioritātes pievieno
"The tax class has been deleted.", "Nodokļu klase ir dzēsts."
"The tax class has been saved.", "Nodokļu klase ir saglabāts."
"The tax rate has been deleted.", "Nodokļa likme ir dzēsts."
"The tax rate has been imported.", "Nodokļa likme ir importēts."
"The tax rate has been saved.", "Nodokļa likme ir saglabāta."
"The tax rule has been deleted.", "Nodokļu noteikums ir svītrots."
"The tax rule has been saved.", "Nodokļu noteikums ir saglabāts."
"This class no longer exists", "Šajā klasē vairs nepastāv"
"This rule no longer exists", "Šis noteikums vairs nepastāv"
"This rule no longer exists.", "Šis noteikums vairs nepastāv."
"Total", "Kopā"
"Unit Price", "Vienības cena"
"Whether catalog prices entered by admin include tax.", "Vai katalogs cenas ievadītie admin neietver nodokļus."
"Whether shipping amounts entered by admin or obtained from gateways include tax.", "Vai kuģniecības summas ieraksta admin vai iegūti no vārtiem neietver nodokļus."
"Yes", "Jā"
"You cannot delete this tax class as it is used for %d customer groups.", "Jūs nevarat izdzēst šo nodokļu klasi, kā tas tiek izmantots% d klientu grupām."
"You cannot delete this tax class as it is used for %d products.", "Jūs nevarat izdzēst šo nodokļu klasi, kā tas tiek izmantots% d produktiem."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.", "Jūs nevarat izdzēst šo nodokļu klasi, kā tas tiek izmantots nodokļu noteikumos Jums ir izdzēst noteikumi tas tiek izmantots pirmais.".
"Zip/Post Code", "Zip / Pasta indekss"
"Zip/Post is Range", "Zip / Post ir diapazons"
