
" was not delivered nor scanned", "Nepiegādāja ne skenēts"
"""Per Order"" allows single handling fee for entire order. ""Per Package"" allows individual handling fee for each package.", "" "Par pasūtījumu" "pieļauj, ka viena maksai par visu pasūtījumu". "Lēcas" "ļauj individuālu apstrādes maksu par katru paketi."
"1 Day Freight", "1 diena kravu"
"2 Day", "2 diena"
"2 Day AM", "2 diena AM"
"2 Day Freight", "2 diena kravu"
"2Day", "2day"
"2nd Day Air", "2nd diena Air"
"2nd Day Air AM", "2nd diena Air AM"
"2nd Day Air AM Letter", "2nd diena Air AM vēstule"
"2nd Day Air Letter", "2nd diena Air vēstule"
"3 Day Freight", "3 diena kravu"
"3 Day Select", "3 diena Izvēlieties"
"Access ID", "Piekļuve ID"
"Access License Number", "Piekļuves licence skaits"
"Account ID", "Konta ID"
"Account Number", "Konta numurs"
"Additional Protection Configuration Value", "Papildu aizsardzība konfigurācija vērtība"
"Additional Protection Enabled", "Papildu aizsardzība Enabled"
"Additional Protection Min Subtotal", "Papildu aizsardzība Min Starpsumma"
"Additional Protection Value", "Papildu aizsardzības vērtība"
"Additional Protection Value Rounding Method", "Papildu aizsardzības vērtība Noapaļošana metode"
"Adult", "Pieaugušo"
"Adult Signature Required", "Pieaugušo Paraksts Nepieciešama"
"Allowed Methods", "Atļauts metodes"
"Allows breaking total order weight into smaller pieces if it exeeds %s %s to ensure accurate calculation of shipping charges.", "Ļauj laužot kopējo pasūtījumu svaru mazākos gabalos, ja tas exeeds% s% s, lai nodrošinātu precīzu aprēķinu kuģniecības maksas."
"Allows breaking total order weight into smaller pieces if it exeeds 70 kg to ensure accurate calculation of shipping charges.", "Ļauj laužot kopējo pasūtījumu svaru mazākos gabalos, ja tas exeeds 70 kg, lai nodrošinātu precīzu aprēķinu kuģniecības maksas."
"Bound Printed Matter", "Saistītais Printed Matter"
"Break bulk economy", "Break beztaras ekonomiku"
"Break bulk express", "Break beztaras Express"
"Business Service Center", "Business Service Center"
"Calculate Handling Fee", "Aprēķināt apstrādes maksu"
"Canada Standard", "Kanāda Standard"
"Cannot identify measure unit for %s", "Nevar noteikt mērvienība% s"
"Cannot identify weight unit for %s", "Nevar noteikt svara vienība% s"
"Cannot retrieve shipping rates", "Nevar paņemt pārvadājumu likmēm"
"Centimeters", "Centimetri"
"Commercial", "Tirdzniecības"
"Configuration", "Konfigurācija"
"Container", "Konteiners"
"Content Type", "Satura tips"
"Customer Packaging", "Klientu Iepakojums"
"Customer Supplied Package", "Nodrošina klients pakete"
"Customer services", "Klientu apkalpošana"
"DHL", "DHL"
"DHL (Deprecated)", "DHL (Nosodīts)"
"Debug", "Atkļūdošanas"
"Default Package Height", "Noklusētais pakete Augstums"
"Default Package Length", "Noklusētais pakete Garums"
"Default Package Width", "Noklusētais pakete platums"
"Delivered", "Pasludināts"
"Delivery Confirmation", "Piegāde apstiprināšana"
"Depth", "Dziļums"
"Destination Type", "Galamērķis Tips"
"Destination facility code is empty", "Galamērķis objekts kods ir tukšs"
"Development", "Attīstība"
"Direct", "Direct"
"Displayed Error Message", "Attēlots Error Message"
"Divide Order Weight", "Dalīt Order Svars"
"Documents", "Dokumenti"
"Domestic Shipment Days", "Iekšzemes Sūtījuma dienas"
"Domestic economy select", "Iekšzemes ekonomika izvēlieties"
"Domestic express", "Iekšzemes Express"
"Drop Box", "Drop Box"
"Dropoff", "Dropoff"
"Easy shop", "Easy veikals"
"Economy select", "Ekonomika izvēlieties"
"Empty response", "Tukša atbilde"
"Enable Negotiated Rates", "Aktivizēt apspriestos"
"Enabled for Checkout", "Enabled Checkout"
"Enables/Disables SSL verification of Magento server by UPS.", "Ieslēdz / izslēdz SSL pārbaudi Magento servera ar UPS."
"Error #%s : %s", "Kļūda #% s:% s"
"Error #%s : %s (%s)", "Kļūda #% s:% s (% s)"
"Error #%s: %s", "Kļūda #% s:% s"
"Europack", "Europack"
"Europe First Priority", "Eiropa pirmā prioritāte"
"Exchange rate %s (Base Currency) -> %s not found. DHL method %s skipped", "Valūtas kursa% s (Bāzes valūta) ->% s nav atrasts DHL metode% s izlaistas."
"Express", "Express"
"Express 10:30", "Express 10:30"
"Express 10:30 AM", "10:30 Express AM"
"Express 12:00", "Express 12:00"
"Express 9:00", "Express 09:00"
"Express Mail", "Express Mail"
"Express Saturday", "Express Sestdiena"
"Express Saver", "Express Saver"
"Express easy", "Express viegli"
"Express envelope", "Express aploksnē"
"Express worldwide", "Express pasaulē"
"Failed to parse xml document: %s", "Neizdevās parsēt XML dokumentu:% s"
"FedEx", "FedEx"
"FedEx 10kg Box", "FedEx 10kg Box"
"FedEx 25kg Box", "FedEx 25kg Box"
"FedEx Box", "FedEx Box"
"FedEx Envelope", "FedEx Aploksne"
"FedEx Pak", "FedEx Pak"
"FedEx Tube", "FedEx Tube"
"First Overnight", "Pirmā nakšņošanas"
"First-Class", "First-Class"
"Flat", "Flat"
"Flat-Rate Box", "Flat-Rate Box"
"Flat-Rate Envelope", "Flat-Rate Aploksne"
"Free Method", "Bezmaksas metode"
"Free Shipping with Minimum Order Amount", "Bezmaksas piegāde ar minimālā pasūtījuma summa"
"Freight", "Kravu"
"Freight worldwide", "Kravu pasaulē"
"Gateway URL", "Gateway URL"
"Gateway XML URL", "Gateway XML URL"
"Gift", "Dāvana"
"Girth", "Apkārtmērs"
"Globalmail business", "Globalmail bizness"
"Ground", "Zeme"
"Ground Commercial", "Zeme Tirdzniecības"
"Ground Residential", "Zeme Dzīvojamo"
"Handling Applied", "Apiešanās Lietišķā"
"Handling Fee", "Apiešanās maksa"
"Height", "Augstums"
"Height, "Augstums
"Home Delivery", "Mājas piegāde"
"Hub ID", "Rumbas ID"
"Inches", "Collas"
"Indirect", "Netiešā"
"International Economy", "Starptautiskā ekonomika"
"International Express", "Starptautiskā Express"
"International First", "Starptautiskā Pirmais"
"International Ground", "Starptautiskā Zemes"
"International Priority", "Starptautiskā Prioritāte"
"International Shipment Days", "Starptautiskie Sūtījuma dienas"
"Intl Economy Freight", "Starptautiskā ekonomika kravu"
"Intl Priority Freight", "Starptautiskā prioritāte kravu"
"Jetline", "Jetline"
"Jumbo box", "Jumbo box"
"Key", "Atslēga"
"Kilograms", "Kilogramiem"
"Large", "Liels"
"Large Express Box", "Liels Express Box"
"Length", "Garums"
"Letter", "Vēstule"
"Library", "Bibliotēka"
"Live", "Live"
"Machinable", "Mehāniski"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)", "Maksimālais Iepakojuma svars (lūdzu, konsultējieties ar savu kuģniecības pārvadātāju maksimālu atbalsta kuģniecības svaru)"
"Media Mail", "Mediju Pasts"
"Medical express", "Medicīnas Express"
"Medium Express Box", "Vidēja Express Box"
"Merchandise", "Preces"
"Meter Number", "Meter numurs"
"Minimum Order Amount for Free Shipping", "Minimālais pasūtījuma summa bezmaksas piegāde"
"Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)", "Minimālais Iepakojuma svars (lūdzu, konsultējieties ar savu kuģniecības pārvadātājam minimālo atbalstīto kuģniecības svaru)"
"Mode", "Mode"
"National Freight", "Valsts kravu"
"Next Afternoon", "Nākamais Pēcpusdiena"
"Next Day Air", "Nākamā diena Air"
"Next Day Air Early AM", "Nākamā diena Air Agri AM"
"Next Day Air Early AM Letter", "Nākamā diena Air Agri AM vēstule"
"Next Day Air Intra (Puerto Rico)", "Nākamā diena Air Intra (Puertoriko)"
"Next Day Air Letter", "Nākamā diena Air vēstule"
"Next Day Air Saver", "Nākamā diena Air Saver"
"Next Day Air Saver Letter", "Nākamā diena Air Saver vēstule"
"No", "Nē"
"No packages for request", "Nav paketes pieprasījuma"
"Non Documents", "Non Dokumenti"
"Non documents", "Non dokumenti"
"Non-rectangular", "Ne-taisnstūra"
"None", "Nav"
"Not Required", "Netiek prasīta"
"Order", "Rīkojums"
"Order #%s", "Rīkojums #% s"
"Origin of the Shipment", "Izcelsme sūtījums"
"Origin serviceAreaCode is missing", "Izcelsme serviceAreaCode ir pazudis"
"Other", "Citi"
"Others", "Citi"
"PAK", "PAK"
"Package", "Pakete"
"Package Description", "Iepakojuma apraksts"
"Package content is missing", "Iepakojuma saturs ir pazudis"
"Packages Request Type", "Pakas pieprasījuma tips"
"Packaging", "Iepakojums"
"Pallet", "Palešu"
"Parcel", "Sūtījums"
"Parcel Post", "Pasta paku"
"Password", "Parole"
"Pickup Method", "Pickup metode"
"Piece Id barcode is missing", "Piece ID svītrkodu ir pazudis"
"Piece number information is missing", "Piece numurs informācija ir pazudis"
"Please make sure to use only digits here. No dashes are allowed.", "Lūdzu pārliecinieties, lai izmantotu tikai ciparus šeit nav domuzīmes ir atļauti.".
"Please, "Lūdzu
"Pounds", "Mārciņas"
"Priority Mail", "Prioritāte Pasts"
"Priority Overnight", "Prioritāte Overnight"
"Product content code is invalid", "Produktu saturs kods ir nederīgs"
"Product name is missing", "Produkta nosaukums ir pazudis"
"Receiver", "Saņēmējs"
"Rectangular", "Taisnstūra"
"Reference code is missing", "Atsauces kods ir pazudis"
"Regular", "Regulāra"
"Regular Pickup", "Regulāra Pikaps"
"Request Courier", "Pieprasījums Courier"
