
"All Websites", "Visi vietnēs"
"Apply Discounts To FPT", "Piesakies Atlaides FPT"
"Apply Tax To FPT", "Piesakies nodoklis FPT"
"Display Prices In Emails", "Orientējošo cenu e-pasta"
"Display Prices In Product Lists", "Orientējošo cenu produktu saraksts"
"Display Prices In Sales Modules", "Orientējošo cenu pārdošanas Modules"
"Display Prices On Product View Page", "Parādīt cenas uz produktu grozu Page"
"Enable FPT", "Aktivizēt FPT"
"Excluding FPT", "Izņemot FPT"
"Excluding FPT, "Izņemot FPT
"Fixed Product Tax", "Fiksētā Produkts nodokli"
"Fixed Product Taxes", "Fiksēto produktu nodokļu"
"Include FPT In Subtotal", "Iekļaut FPT In Starpsumma"
"Including FPT and FPT description", "Ieskaitot FPT un FPT apraksts"
"Including FPT and FPT description [incl. FPT VAT]", "Ieskaitot FPT un FPT aprakstu [iesk. FPT PVN]"
"Including FPT only", "Ieskaitot FPT tikai"
"Total", "Kopā"
"Total Incl. Tax", "Kopā Iesk. Nodokli"
"Total incl. tax", "Kopā iesk. Nodoklis"
