
"%s", "%s"
"-- Please Select --", "- Lūdzu izvēlieties -"
"Actions", "Darbības"
"Add Layout Update", "Pievienot izkārtojums Update"
"Add New Widget Instance", "Pievienot jaunu logrīku tiesu instancē"
"All", "Visi"
"All Pages", "Visi Pages"
"All Product Types", "Visi produktu veidi"
"Anchor Categories", "Enkurs kategorijas"
"Apply", "Apply"
"Assign to Store Views", "Piešķirt uzglabāt skati"
"Big Image", "Big Image"
"Block Reference", "Block Reference"
"CMS", "CMS"
"Categories", "Kategorijas"
"Choose...", "Izvēlies ..."
"Close", "Aizvērt"
"Continue", "Turpināt"
"Default Template", "Noklusējuma veidne"
"Delete", "Dzēst"
"Design Package/Theme", "Dizains Iepakojums / Tēma"
"Export to:", "Eksports uz:"
"Frontend Properties", "PriekšpuseName Properties"
"Generic Pages", "Generic Pages"
"Images", "Attēli"
"Insert Widget", "Ievietot logrīku"
"Insert Widget...", "Ievietot logrīku ..."
"Layout Updates", "Izkārtojums atjauninājumi"
"Manage Widget Instances", "Pārvaldīt logrīku gadījumi"
"New Instance", "Jaunā tiesu instancē"
"New Widget Instance", "Jaunā Widget Instances"
"Next page", "Nākamā lapa"
"Non-Anchor Categories", "Ne-Anchor kategorijas"
"Not Selected", "Nav Atlasīts"
"Open Chooser", "Atvērt Chooser"
"Page", "Lapa"
"Please Select Block Reference First", "Lūdzu Izvēlieties Bloķēt Reference Pirmā"
"Previous page", "Iepriekšējā lapa"
"Products", "Produkti"
"Remove Layout Update", "Noņemt izkārtojums Update"
"Save and Continue Edit", "Saglabāt un turpināt rediģēt"
"Select All", "Select All"
"Select Visible", "Izvēlēties Redzams"
"Settings", "Uzstādījumi"
"Sort Order", "Kārtot rīkojums"
"Sort Order of widget instances in the same block reference", "Kārtot kārtība logdaļu gadījumiem pašā bloka norādi"
"Specific %s", "Īpašs% s"
"Specified Page", "Noteiktas Lapa"
"Template", "Veidne"
"The information in this tab has been changed.", "Šajā cilnē informācija ir mainīta."
"The widget instance has been deleted.", "Widget gadījums ir dzēsts."
"The widget instance has been saved.", "Widget gadījums ir saglabāts."
"This tab contains invalid data. Please solve the problem before saving.", "Šī cilne ir nederīgi dati Lūdzu atrisināt šo problēmu pirms saglabāšanas.".
"Thumbnail", "Sīktēlu"
"Total %d records found", "Kopā% d ierakstu"
"Type", "Tips"
"Unselect All", "Atcelt visu"
"Unselect Visible", "Noņemt atlasi Redzams"
"View", "Skats"
"Widget", "Logrīku"
"Widget ""%s""", "Widget" "% s" ""
"Widget ID", "Widget ID"
"Widget Insertion", "Widget ievietošana"
"Widget Instance", "Widget tiesu instancē"
"Widget Instance Title", "Widget instances Nosaukums"
"Widget Options", "Widget Options"
"Widget Type", "Widget Tips"
"Widget Type is not specified", "Widget tips nav norādīts"
"Widget instance is not full complete to create.", "Widget instancē nav pilns pilnīga izveidot."
"Widgets", "Logrīki"
"Wrong widget instance specified.", "Nepareiza Widget instancē norādīts."
"items selected", "Vienības atlasīts"
"of %s pages", "%s lapas"
"per page", "Par lapu"
