
" But cart has some errors.", "Bet grozs ir dažas kļūdas."
"""Description"" is more than %d characters long", "" "Apraksts" "ir vairāk nekā% d rakstzīmēm"
"""Title"" is more than %d characters long", "" "Nosaukums" "ir vairāk nekā% d rakstzīmēm"
"""id"" attribute is required for a ""%s"" field.", "" "Id" "atribūts ir vajadzīga" "% s" "lauks."
"""line_count"" attribute is required for ""multiline"" element.", "" "Line_count" "atribūts ir nepieciešams" "Multiline" "elements."
"""message"" attribute is required for ""%s"" validator rule.", "" "Ziņu" "atribūts ir nepieciešams" "% s" "validators noteikums."
"%1$s has been added to your wishlist.", "% 1 $ s ir pievienota vēlmju sarakstam."
"%1$s incl tax.", "% 1 $ s ar nodokli."
"%s API Key required.", "%s API atslēga nepieciešama."
"%s Application ID required.", "%s aplikācijas ID vajadzīgs."
"%s Secret Key required.", "%s Secret nepieciešama atslēga."
"%s attribute is required.", "%s ir nepieciešams atribūts."
"%s has been added to your cart.", "%s ir pievienota grozā."
"(Includes more countries than those listed below. As the application owner, "(Ietver vairāk valstis, kuras nav uzskaitītas zemāk. Kā pieteikuma īpašnieks
"*Subject to change", "* Veikt izmaiņas"
"10:40 AM", "10:40"
"80px x 80px", "80px x 80px"
"80x80 px", "80x80 px"
"<a href=""%s"" target=""_blank"">Login</a> to Urabn Airship.", "<a Href=""%s"" target=""_blank""> vārds </ a> Urabn dirižabli."
"A Catalog Only App will not support functions such as add to cart, "Katalogs Tikai App neatbalsta funkcijas, piemēram, pievienot grozam
"A new password has been sent.", "Jaunā parole ir nosūtīta."
"Account", "Konts"
"Account confirmation is required. Please check your email for the confirmation link.", "Konta apstiprinājums ir nepieciešams, lūdzu, pārbaudiet savu e-pastu uz apstiprinājuma saiti.".
"Account information has been saved.", "Konta informācija ir saglabāta."
"Action", "Darbība"
"Activate", "Aktivizēt"
"Activate PayPal Checkout", "Aktivizēt PayPal Pasūtīt"
"Activate PayPal MECL", "Aktivizēt PayPal MECL"
"Activation Key", "Aktivizēšanas Key"
"Add App", "Pievienot App"
"Add New Template", "Pievienot jaunu veidni"
"Add Page", "Pievienot lapu"
"Add to Cart", "Pievienot grozam"
"Add to Wishlist", "Pievienot vēlmju sarakstā"
"Additional Address", "Papildu Adrese"
"Address", "Adrese"
"Address 2", "Adrese 2"
"Address data not specified.", "Adrešu dati nav norādīts."
