
"All Credit Cards / Visa, "Visi Kredītkartes tips / Visa
"CartaSi (powered by Moneybookers) - Italy", "CartaSi (powered by Moneybookers) - Itālija"
"Carte Bleue (powered by Moneybookers) - France", "Maestro (powered by Moneybookers) - Francija"
"Customer ID", "Klienta ID"
"Dankort (powered by Moneybookers) - Denmark", "Dankort (powered by Moneybookers) - Dānija"
"EPS Online-Überweisung (powered by Moneybookers) - Austria", "EPS Online Überweisung (powered by Moneybookers) - Austrija"
"Enabled", "Enabled"
"Find out more about Online Bank Transfer", "Uzzini vairāk par Online bankas pārskaitījuma"
"Giropay (powered by Moneybookers) - Germany", "Giropay (powered by Moneybookers) - Vācija"
"Laser (powered by Moneybookers) - Ireland", "Laser (powered by Moneybookers) - Īrija"
"Lastschrift (ELV) (powered by Moneybookers) - Germany", "Lastschrift (ELV) (powered by Moneybookers) - Vācija"
"Loading secure payment page (SSL)", "Iekraušanas drošu maksājumu lapā (SSL)"
"Maestro (powered by Moneybookers) - United Kingdom, "Maestro (powered by Moneybookers) - Apvienotā Karaliste
"Moneybookers", "Moneybookers"
"Moneybookers Settings", "Moneybookers Settings"
"Moneybookers Transaction ID: %s", "Moneybookers Darījuma ID:% s"
"Moneybookers eWallet", "Moneybookers eWallet"
"More information about Moneybookers", "Vairāk informācijas par Moneybookers"
"Nordea Solo (powered by Moneybookers) - Finland", "Nordea Solo (powered by Moneybookers) - Somija"
"Nordea Solo (powered by Moneybookers) - Sweden", "Nordea Solo (powered by Moneybookers) - Zviedrija"
"Online Bank Transfer (powered by Moneybookers)", "Tiešsaistes bankas pārskaitījums (powered by Moneybookers)"
"Order ID", "Pasūtījuma ID"
"POLi (powered by Moneybookers) - Australia", "Poli (powered by Moneybookers) - Austrālija"
"Payment failed.", "Maksājumu neizdevās."
"Payment from Applicable Countries", "Maksājumu piemērojamajiem valstīs"
"Payment from Specific Countries", "Maksājumu no konkrētām valstīm"
"Payment has not been processed yet.", "Maksājums nav apstrādāts vēl."
"Payment was canceled.", "Maksājumu tika atcelts."
"Pending bank transfer created.", "Kamēr bankas pārskaitījums izveidots."
"Please pay your order now", "Lūdzam pievērst Jūsu pasūtījumu tagad"
"Postepay (powered by Moneybookers) - Italy", "Postepay (powered by Moneybookers) - Itālija"
"Powered by Moneybookers", "Powered by Moneybookers"
"Przelewy24 (powered by Moneybookers) - Poland", "Przelewy24 (powered by Moneybookers) - Polija"
"Sofortüberweisung (powered by Moneybookers) - Germany", "Sofortüberweisung (powered by Moneybookers) - Vācija"
"Sort Order", "Kārtot rīkojums"
"The amount has been authorized and captured by Moneybookers.", "Summa ir atļauts un piesavināties Moneybookers."
"The customer was redirected to Moneybookers.", "Klients tika novirzīts uz Moneybookers."
"The order has been canceled.", "Pasūtījums ir atcelts."
"Title", "Nosaukums"
"You will be redirected to our secure payment page when you place an order.", "Jums tiks novirzīts uz mūsu drošajā maksājumu lapā, kad jūs veikt pasūtījumu."
"eNETS (powered by Moneybookers) - Singapore", "ENETS (powered by Moneybookers) - Singapore"
"iDeal (powered by Moneybookers) - Netherlands", "IDeal (powered by Moneybookers) - Nīderlande"
