
"General", "General"
"Enable easy flags", "Aktivizēt viegli karogiem"
"Check items to add to the cart or", "Pārbaudiet vienumus pievienot grozam vai"
"Add to Wishlist", "Pievienot vēlmju sarakstā"
"Review by %s", "Pārskats par% s"
"(Posted on %s)", "(Raksts par% s)"
"Other people marked this product with these tags:", "Citi cilvēki atzīmēta šo produktu ar šīm birkām:"
"Add Your Tags:", "Pievienot jaunas birkas:"
"Add Tags", "Pievienot birkas"
"Use spaces to separate tags. Use single quotes (') for phrases.", "Izmantojiet atstarpes, lai atdalītu birkas, apostrofus pēdiņām (") par frāzes. ".
